BATTLE_MAP_ID	BATTLE_LEVEL	WORLD_MAP_ID
1	1	378
1	2	379
1	3	380
2	1	381
2	2	382
2	3	383
3	1	384
3	2	385
3	3	386
4	1	378
4	2	379
4	3	380
5	1	381
5	2	382
5	3	383
6	1	384
6	2	385
6	3	386
7	1	902
7	2	903
7	3	904
8	1	378
8	2	379
8	3	380
9	1	381
9	2	382
9	3	383
10	1	384
10	2	385
10	3	386
11	1	378
11	2	379
11	3	380
12	1	381
12	2	382
12	3	383
13	1	384
13	2	385
13	3	386
14	1	378
14	2	379
14	3	380
15	3	900
16	3	900
17	3	900
18	1	384
18	2	385
18	3	386
19	1	883
19	2	884
19	3	885
20	1	375
20	2	376
20	3	377
21	1	868
21	2	869
21	3	870
