worldId	worldName	pX	pY	description	npcId
176	L©m An	1606	3292	NPC Xa Phu	1
176	L©m An	1372	3329	NPC Xa Phu	1
176	L©m An	1601	2912	NPC Xa Phu	1
176	L©m An	1353	3014	NPC Xa Phu	1
176	L©m An	1532	3010	Vâ L©m TruyÒn nh©n	1
176	L©m An	1506	2984	LÔ Quan	1
176	L©m An	1683	3220	Thî rÌn	1
176	L©m An	1332	3060	Thî rÌn	1
176	L©m An	1520	2986	Thî rÌn	1
176	L©m An	1685	3319	D­îc §iÕm	203
176	L©m An	1474	3362	D­îc §iÕm	203
176	L©m An	1544	2964	D­îc §iÕm	203
176	L©m An	1615	2977	D­îc §iÕm	203
176	L©m An	1340	3165	TiÖm T¹p Hãa	384
176	L©m An	1457	3259	Sø Gi¶ KiÖt XuÊt	1
176	L©m An	1592	2944	ThÝ LuyÖn §­êng	1
176	L©m An	1371	3007	NhiÕp ThÝ TrÇn	1
176	L©m An	1387	2961	Hµng Rong	1
176	L©m An	1561	2980	D· TÈu	1
176	L©m An	1689	3291	Xa Phu C«ng Thµnh	1
176	L©m An	1654	3263	Ch­ëng §»ng Cung N÷	1
176	L©m An	1439	3268	Ch­ëng §»ng Cung N÷	1
176	L©m An	1384	2979	Ch­ëng §»ng Cung N÷	1
176	L©m An	1576	2958	Ch­ëng §»ng Cung N÷	1
176	L©m An	1314	3195	Thî rÌn ThÊn bÝ	1
176	L©m An	1412	3312	Vâ L©m Minh Chñ	1
176	L©m An	1442	3061	Chñ TiÒn Trang	1
176	L©m An	1478	3237	Néi C¸c Th­îng Th­	1
176	L©m An	1312	2848	ThÊn BÝ Th­¬ng Nh©n	1
176	L©m An	1657	3261	Ch­ëng §¨ng Cung N÷	1
176	L©m An	1577	2957	Ch­ëng §¨ng Cung N÷	1
176	L©m An	1439	3267	Ch­ëng §¨ng Cung N÷	1
176	L©m An	1385	2977	Ch­ëng §¨ng Cung N÷	1
1	Ph­îng T­êng	1647	3166	NPC Xa Phu	1
1	Ph­îng T­êng	1557	3108	NPC Xa Phu	1
1	Ph­îng T­êng	1520	3230	NPC Xa Phu	1
1	Ph­îng T­êng	1652	3281	NPC Xa Phu	1
1	Ph­îng T­êng	1623	3205	Vâ L©m TruyÒn nh©n	1
1	Ph­îng T­êng	1614	3152	LÔ Quan	1
1	Ph­îng T­êng	1618	3196	Thî rÌn	1
1	Ph­îng T­êng	1604	3190	D­îc §iÕm	203
1	Ph­îng T­êng	1559	3206	TiÖm T¹p Hãa	384
1	Ph­îng T­êng	1671	3218	Sø Gi¶ Liªn ®Êu	1
1	Ph­îng T­êng	1586	3229	ThÝ LuyÖn §­êng	1
1	Ph­îng T­êng	1507	3198	NhiÕp ThÝ TrÇn	1
1	Ph­îng T­êng	1619	3103	Hµng Rong	1
1	Ph­îng T­êng	1618	3090	D· TÈu	1
1	Ph­îng T­êng	1640	3270	Xa Phu C«ng Thµnh	1
162	§¹i Lý	1669	3124	NPC Xa Phu	1
162	§¹i Lý	1697	3279	NPC Xa Phu	1
162	§¹i Lý	1469	3269	NPC Xa Phu	1
162	§¹i Lý	1628	3184	Vâ L©m TruyÒn nh©n	1
162	§¹i Lý	1587	3221	LÔ Quan	1
162	§¹i Lý	15599	3262	Thî rÌn	1
162	§¹i Lý	1449	3211	D­îc §iÕm	203
162	§¹i Lý	1535	3201	TiÖm T¹p Hãa	384
162	§¹i Lý	1651	3226	Sø Gi¶ Liªn §Êu	1
162	§¹i Lý	1613	3190	ThÝ LuyÖn §­êng	1
162	§¹i Lý	1574	3227	NhiÕp ThÝ TrÇn	1
162	§¹i Lý	1671	3236	Hµng Rong	1
162	§¹i Lý	1651	3226	D· TÈu	1
162	§¹i Lý	1681	3276	Xa Phu C«ng Thµnh	1
99	VÜnh L¹c TrÊn	1646	3192	D· TÈu	1
99	VÜnh L¹c TrÊn	1614	3177	LÔ Quan	1
99	VÜnh L¹c TrÊn	1595	3227	HiÖu Thuèc	203
99	VÜnh L¹c TrÊn	1606	3282	T¹p Hãa	384
99	VÜnh L¹c TrÊn	1630	3304	Xa Phu	1
99	VÜnh L¹c TrÊn	1607	3161	Xa Phu	1
100	Chu Tiªn TrÊn	1616	3199	D· TÈu	1
100	Chu Tiªn TrÊn	1621	3181	LÔ Quan	1
100	Chu Tiªn TrÊn	1657	3124	HiÖu Thuèc	203
100	Chu Tiªn TrÊn	1641	3126	T¹p Hãa	384
100	Chu Tiªn TrÊn	1610	3097	Xa Phu	1
100	Chu Tiªn TrÊn	1678	3101	Xa Phu	1
100	Chu Tiªn TrÊn	1719	3217	Xa Phu	1
100	Chu Tiªn TrÊn	1603	3168	Xa Phu	1
101	§¹o H­¬ng Th«n	1677	3143	D· TÈu	1
101	§¹o H­¬ng Th«n	1671	3172	LÔ Quan	1
101	§¹o H­¬ng Th«n	1679	3196	HiÖu Thuèc	203
101	§¹o H­¬ng Th«n	1639	3144	T¹p Hãa	384
101	§¹o H­¬ng Th«n	1623	3098	Xa Phu	1
37	BiÖn Kinh	1630	3187	NPC Xa Phu	1
37	BiÖn Kinh	1704	3224	NPC Xa Phu	1
37	BiÖn Kinh	1595	2994	NPC Xa Phu	1
37	BiÖn Kinh	1860	2928	NPC Xa Phu	1
37	BiÖn Kinh	1755	3043	Vâ L©m TruyÒn nh©n	1
37	BiÖn Kinh	1806	3098	LÔ Quan	1
37	BiÖn Kinh	1712	3102	Thî rÌn	1
37	BiÖn Kinh	1747	3050	Thî rÌn	1
37	BiÖn Kinh	1773	3090	D­îc §iÕm	203
37	BiÖn Kinh	1786	3103	TiÖm T¹p Hãa	384
37	BiÖn Kinh	1776	3063	Sø Gi¶ KiÖt XuÊt	1
