mapId	camp	nodename
885	haudoanh2	2175_3183
885	haudoanh2	2158_3226
885	haudoanh2	2153_3235
885	haudoanh2	2120_3276
885	haudoanh2	2120_3264
885	haudoanh1	1527_3972
885	haudoanh1	1568_3954
885	haudoanh1	1561_3950
885	haudoanh1	1599_3886
885	haudoanh1	1592_3888
380	haudoanh1	1246_3557
380	haudoanh1	1255_3537
380	haudoanh1	1256_3520
380	haudoanh1	1294_3483
380	haudoanh1	1288_3488
380	haudoanh1	1237_3559
380	haudoanh2	1687_3057
380	haudoanh2	1675_3096
380	haudoanh2	1656_3104
380	haudoanh2	1592_3168
380	haudoanh2	1592_3152
380	haudoanh2	1671_3050
878	haudoanh2	2178_3184
878	haudoanh2	2157_3227
878	haudoanh2	2152_3232
878	haudoanh2	2128_3286
878	haudoanh2	2128_3264
878	haudoanh1	1529_3976
878	haudoanh1	1569_3959
878	haudoanh1	1568_3936
878	haudoanh1	1604_3893
878	haudoanh1	1592_3888
346	haudoanh2	2129_3172
346	haudoanh2	2123_3197
346	haudoanh2	2112_3200
346	haudoanh2	2078_3276
346	haudoanh2	2080_3264
346	haudoanh1	1715_4108
346	haudoanh1	1718_4066
346	haudoanh1	1704_4048
346	haudoanh1	1674_3978
346	haudoanh1	1672_3984
383	haudoanh2	2050_2587
383	haudoanh2	2035_2611
383	haudoanh2	2024_2608
383	haudoanh2	1989_2676
383	haudoanh2	2000_2640
383	haudoanh2	2045_2604
383	haudoanh1	1649_3150
383	haudoanh1	1660_3135
383	haudoanh1	1664_3104
383	haudoanh1	1705_3068
383	haudoanh1	1703_3091
383	haudoanh1	1629_3156
386	haudoanh1	1476_3107
386	haudoanh1	1491_3112
386	haudoanh1	1500_3088
386	haudoanh1	1489_2982
386	haudoanh1	1496_2992
386	haudoanh1	1463_3112
386	haudoanh2	1454_2286
386	haudoanh2	1438_2299
386	haudoanh2	1432_2304
386	haudoanh2	1458_2398
386	haudoanh2	1448_2368
386	haudoanh2	1481_2268
870	haudoanh1	1511_4185
870	haudoanh1	1546_4164
870	haudoanh1	1552_4144
870	haudoanh1	1602_4089
870	haudoanh1	1592_4096
870	haudoanh2	2161_3275
870	haudoanh2	2126_3301
870	haudoanh2	2112_3312
870	haudoanh2	2088_3386
870	haudoanh2	2088_3360
352	haudoanh2	1581_2598
352	haudoanh2	1574_2618
352	haudoanh2	1560_2624
352	haudoanh2	1535_2660
352	haudoanh2	1544_2640
352	haudoanh1	1212_3193
352	haudoanh1	1209_3172
352	haudoanh1	1208_3152
352	haudoanh1	1238_3115
352	haudoanh1	1232_3120
881	haudoanh1	1779_4021
881	haudoanh1	1800_3982
881	haudoanh1	1808_3952
881	haudoanh1	1837_3916
881	haudoanh1	1824_3920
881	haudoanh2	2401_3337
881	haudoanh2	2352_3364
881	haudoanh2	2336_3376
881	haudoanh2	2303_3442
881	haudoanh2	2304_3424
580	haudoanh1	1565_3352
580	haudoanh1	1555_3332
580	haudoanh1	1569_3308
580	haudoanh1	1569_3308
580	haudoanh1	1560_3320
580	haudoanh1	1642_3269
580	haudoanh1	1552_3329
580	haudoanh1	1552_3325
580	haudoanh1	1547_3320
580	haudoanh1	1535_3321
580	haudoanh1	1525_3324
580	haudoanh1	1526_3335
580	haudoanh1	1531_3346
580	haudoanh1	1532_3355
580	haudoanh1	1538_3365
580	haudoanh1	1547_3364
580	haudoanh1	1556_3356
580	haudoanh1	1563_3356
580	haudoanh1	1569_3364
580	haudoanh1	1577_3376
580	haudoanh1	1561_3330
580	haudoanh1	1567_3313
580	haudoanh1	1576_3298
581	haudoanh1	1565_3352
581	haudoanh1	1555_3332
581	haudoanh1	1569_3308
581	haudoanh1	1569_3308
581	haudoanh1	1560_3320
581	haudoanh1	1642_3269
581	haudoanh1	1552_3329
581	haudoanh1	1552_3325
581	haudoanh1	1547_3320
581	haudoanh1	1535_3321
581	haudoanh1	1525_3324
581	haudoanh1	1526_3335
581	haudoanh1	1531_3346
581	haudoanh1	1532_3355
581	haudoanh1	1538_3365
581	haudoanh1	1547_3364
581	haudoanh1	1556_3356
581	haudoanh1	1563_3356
581	haudoanh1	1569_3364
581	haudoanh1	1577_3376
581	haudoanh1	1561_3330
581	haudoanh1	1567_3313
581	haudoanh1	1576_3298
221	haudoanh1	1560_3238
221	haudoanh1	1573_3246
221	haudoanh1	1580_3255
221	haudoanh1	1580_3255
221	haudoanh1	1573_3246
221	haudoanh2	1907_3572
221	haudoanh2	1880_3554
221	haudoanh2	1874_3544
221	haudoanh2	1874_3544
221	haudoanh2	1880_3554
904	haudoanh2	2037_2583
904	haudoanh2	2035_2609
904	haudoanh2	2024_2624
904	haudoanh2	1989_2676
904	haudoanh2	2024_2624
904	haudoanh2	2047_2606
904	haudoanh1	1638_3149
904	haudoanh1	1660_3132
904	haudoanh1	1664_3104
904	haudoanh1	1704_3070
904	haudoanh1	1664_3104
904	haudoanh1	1634_3166
