PathName	X	Y	isExact
huong2giua	1444	3341	0
huong2giua	1452	3331	0
huong2giua	1461	3320	0
huong2giua	1471	3307	0
huong2giua	1482	3296	0
huong2giua	1491	3284	0
huong2giua	1503	3271	0
huong2giua	1512	3262	0
huong2giua	1522	3249	0
huong2giua	1530	3243	1
huong2giua	1534	3237	0
huong2giua	1543	3228	0
huong2giua	1559	3213	0
huong2giua	1570	3199	0
huong2trai	1461	3318	0
huong2trai	1457	3305	0
huong2trai	1455	3289	0
huong2trai	1456	3274	0
huong2trai	1460	3257	0
huong2trai	1464	3240	0
huong2trai	1470	3224	0
huong2trai	1478	3210	0
huong2trai	1487	3197	0
huong2trai	1498	3181	0
huong2trai	1506	3167	0
huong2trai	1515	3155	0
huong2trai	1525	3143	0
huong2trai	1538	3154	0
huong2trai	1542	3163	1
huong2trai	1546	3170	0
huong2trai	1554	3181	0
huong2trai	1568	3196	0
huong2trai	1571	3197	0
huong2phai	1457	3329	0
huong2phai	1477	3330	0
huong2phai	1491	3330	0
huong2phai	1515	3331	0
huong2phai	1523	3323	0
huong2phai	1534	3316	0
huong2phai	1549	3315	0
huong2phai	1561	3308	0
huong2phai	1574	3298	0
huong2phai	1585	3291	0
huong2phai	1596	3278	0
huong2phai	1606	3265	0
huong2phai	1613	3253	0
huong2phai	1615	3240	0
huong2phai	1607	3225	0
huong2phai	1599	3211	0
huong2phai	1590	3198	0
huong2phai	1583	3188	0
huong2phai	1571	3195	0
huong2phai	1569	3198	0
huong2phai	1609	3228	1
huong1phai	1344	3464	0
huong1phai	1348	3479	1
huong1phai	1336	3450	0
huong1phai	1340	3462	0
huong1phai	1347	3478	0
huong1phai	1355	3487	0
huong1phai	1369	3483	0
huong1phai	1383	3475	0
huong1phai	1392	3460	0
huong1phai	1400	3447	0
huong1phai	1405	3430	0
huong1phai	1410	3417	0
huong1phai	1416	3404	0
huong1phai	1419	3388	0
huong1phai	1423	3372	0
huong1phai	1431	3357	0
huong1phai	1438	3338	0
huong1phai	1450	3334	0
huong1phai	1457	3325	0
huong2tt	1571	3198	0
huong2tt	1568	3191	0
huong2tt	1559	3181	0
huong2tt	1561	3173	0
huong2tt	1569	3175	0
huong2tt	1582	3181	0
huong2tt	1590	3189	0
huong2tt	1589	3208	0
huong2tt	1580	3220	0
huong2tt	1568	3221	0
huong2tt	1556	3213	0
huong2tt	1553	3189	0
huong2tt	1558	3209	0
huong2tt	1565	3204	0
huong2tt	1571	3198	0
huong2tt	1582	3185	0
huong1tt	1346	3429	0
huong1tt	1348	3423	0
