node_name	linked_nodes	is_exact	type
1552_3474	1561_3455	0	0
1561_3455	1552_3474,1569_3434	0	0
1569_3434	1561_3455,1580_3417	0	0
1580_3417	1569_3434,1587_3406	0	0
1587_3406	1580_3417,1603_3392	0	0
1603_3392	1587_3406,1619_3373	0	0
1619_3373	1603_3392,1629_3358	0	0
1629_3358	1619_3373,1642_3347	0	0
1642_3347	1629_3358,1654_3328	0	0
1654_3328	1642_3347,1666_3317	0	0
1666_3317	1651_3302,1654_3328,1670_3321	0	0
1651_3302	1640_3282,1666_3317	0	0
1640_3282	1628_3268,1638_3286,1651_3302	0	0
1628_3268	1619_3252,1629_3262,1640_3282	0	0
1619_3252	1608_3238,1628_3268	0	0
1608_3238	1599_3237,1614_3236,1619_3252	0	0
1599_3237	1608_3238,1614_3236	0	0
1614_3236	1599_3237,1608_3238,1614_3236,1627_3217,1629_3262	0	0
1627_3217	1614_3236	0	0
1629_3262	1614_3236,1628_3268,1638_3286	0	0
1638_3286	1629_3262,1640_3282,1659_3308	0	0
1659_3308	1638_3286,1680_3329	0	0
1680_3329	1659_3308,1670_3321,1680_3329,1690_3352,1696_3356	0	0
1696_3356	1680_3329,1690_3352,1702_3370	0	0
1702_3370	1696_3356,1701_3376,1725_3397	0	0
1725_3397	1702_3370,1722_3392,1741_3410	0	0
1741_3410	1722_3392,1725_3397	0	0
1722_3392	1701_3376,1725_3397,1741_3410	0	0
1701_3376	1690_3352,1702_3370,1722_3392	0	0
1690_3352	1680_3329,1696_3356,1701_3376	0	0
1670_3321	1666_3317,1670_3321,1680_3329,1685_3299	0	0
1685_3299	1670_3321,1700_3286	0	0
1700_3286	1685_3299,1720_3264	0	0
1720_3264	1700_3286,1728_3244	0	0
1728_3244	1720_3264,1748_3225	0	0
1748_3225	1727_3215,1728_3244	0	0
1727_3215	1714_3190,1748_3225	0	0
1714_3190	1707_3173,1727_3215	0	0
1707_3173	1698_3162,1714_3190	0	0
1698_3162	1679_3142,1707_3173	0	0
1679_3142	1665_3119,1698_3162	0	0
1665_3119	1667_3110,1670_3125,1679_3142	0	0
1667_3110	1665_3119,1670_3125	0	0
1670_3125	1665_3119,1667_3110,1682_3151	0	0
1682_3151	1670_3125,1695_3151	0	0
1695_3151	1682_3151,1707_3138	0	0
1707_3138	1695_3151,1719_3142	0	0
1719_3142	1707_3138,1726_3130	0	0
1726_3130	1719_3142,1737_3115	0	0
1737_3115	1726_3130,1756_3107	0	0
1756_3107	1737_3115,1765_3087	0	0
1765_3087	1756_3107,1779_3062	0	0
1779_3062	1765_3087,1792_3065	0	0
1792_3065	1779_3062	0	0
