node_name	linked_nodes	is_exact	type
1608_3215	1621_3209	0	0
1621_3209	1608_3215,1636_3197	0	0
1636_3197	1621_3209,1652_3179	0	0
1652_3179	1630_3156,1636_3197	0	0
1630_3156	1609_3141,1652_3179	0	0
1609_3141	1604_3121,1630_3156	0	0
1604_3121	1609_3141,1610_3110	0	0
1610_3110	1604_3121,1622_3093	0	0
1622_3093	1610_3110,1630_3088	0	0
1630_3088	1622_3093,1643_3071	0	0
1643_3071	1630_3088,1662_3054	0	0
1662_3054	1643_3071,1685_3071	0	0
1685_3071	1662_3054,1708_3088	0	0
1708_3088	1685_3071,1727_3109	0	0
1727_3109	1708_3088,1745_3118	0	0
1745_3118	1727_3109,1751_3108	0	0
1751_3108	1745_3118,1763_3097	0	0
1763_3097	1751_3108,1778_3081	0	0
1778_3081	1763_3097,1764_3061	0	0
1764_3061	1770_3028,1778_3081	0	0
1770_3028	1764_3061,1775_3015	0	0
1775_3015	1770_3028,1796_3009	0	0
1796_3009	1775_3015,1813_2988	0	0
1813_2988	1796_3009,1832_3010	0	0
1832_3010	1813_2988,1846_3026	0	0
1846_3026	1832_3010,1862_3049	0	0
1862_3049	1846_3026,1858_3052,1878_3065	0	0
1878_3065	1858_3052,1862_3049,1878_3065,1890_3088,1890_3096	0	0
1890_3088	1878_3065,1890_3096,1902_3119	0	0
1902_3119	1890_3088,1909_3137	0	0
1909_3137	1896_3158,1902_3119,1905_3133	0	0
1896_3158	1888_3178,1909_3137	0	0
1888_3178	1879_3201,1886_3185,1896_3158	0	0
1879_3201	1867_3219,1888_3178	0	0
1867_3219	1850_3243,1872_3214,1879_3201	0	0
1850_3243	1845_3261,1867_3219	0	0
1845_3261	1830_3278,1842_3264,1850_3243	0	0
1830_3278	1821_3270,1845_3261	0	0
1821_3270	1830_3278,1842_3264	0	0
1842_3264	1821_3270,1845_3261,1855_3233	0	0
1855_3233	1842_3264,1872_3214	0	0
1872_3214	1855_3233,1867_3219,1886_3185	0	0
1886_3185	1872_3214,1888_3178,1900_3165	0	0
1900_3165	1886_3185,1905_3133	0	0
1905_3133	1888_3106,1900_3165,1909_3137	0	0
1888_3106	1890_3096,1905_3133	0	0
1890_3096	1878_3065,1888_3106,1890_3088	0	0
1858_3052	1844_3078,1862_3049,1878_3065	0	0
1844_3078	1824_3101,1858_3052	0	0
1824_3101	1808_3127,1844_3078	0	0
1808_3127	1792_3149,1824_3101	0	0
1792_3149	1782_3151,1808_3127	0	0
1782_3151	1761_3175,1792_3149	0	0
1761_3175	1747_3193,1782_3151	0	0
1747_3193	1751_3216,1761_3175	0	0
1751_3216	1747_3193,1766_3232	0	0
1766_3232	1751_3216,1755_3247	0	0
1755_3247	1741_3263,1766_3232	0	0
1741_3263	1738_3280,1755_3247	0	0
1738_3280	1727_3292,1741_3263	0	0
1727_3292	1738_3280	0	0
