node_name	linked_nodes	is_exact	type
1580_3417	1580_3417,1591_3407,1595_3405	0	0
1595_3405	1580_3417,1591_3407,1612_3427	0	0
1612_3427	1591_3407,1595_3405,1612_3427,1627_3441	0	0
1627_3441	1612_3427,1627_3441,1637_3434,1642_3426	0	0
1642_3426	1627_3441,1661_3405	0	0
1661_3405	1642_3426,1675_3394	0	0
1675_3394	1655_3419,1661_3405,1675_3381,1675_3394,1689_3374	0	0
1675_3381	1660_3366,1675_3394	0	0
1660_3366	1650_3359,1675_3381	0	0
1650_3359	1638_3346,1660_3366	0	0
1638_3346	1633_3354,1650_3359	0	0
1633_3354	1622_3351,1638_3346	0	0
1622_3351	1615_3362,1633_3354	0	0
1615_3362	1602_3377,1622_3351	0	0
1602_3377	1582_3355,1615_3362	0	0
1582_3355	1575_3347,1602_3377	0	0
1575_3347	1582_3355,1592_3326	0	0
1592_3326	1575_3347,1601_3306	0	0
1601_3306	1587_3294,1592_3326	0	0
1587_3294	1570_3277,1601_3306	0	0
1570_3277	1570_3262,1587_3294	0	0
1570_3262	1570_3277,1584_3251	0	0
1584_3251	1570_3262,1597_3235	0	0
1597_3235	1584_3251,1606_3225	0	0
1606_3225	1597_3235,1618_3248	0	0
1618_3248	1606_3225,1621_3255	0	0
1621_3255	1618_3248,1634_3256	0	0
1634_3256	1621_3255,1647_3234	0	0
1647_3234	1634_3256,1661_3241	0	0
1661_3241	1647_3234,1671_3253	0	0
1671_3253	1661_3241,1685_3272	0	0
1685_3272	1671_3253,1671_3287,1685_3272,1704_3255,1710_3248	0	0
1704_3255	1685_3272,1717_3239	0	0
1717_3239	1704_3255,1728_3225	0	0
1728_3225	1717_3239,1728_3231	0	0
1728_3231	1710_3248,1728_3225	0	0
1710_3248	1685_3272,1728_3231	0	0
1671_3287	1685_3272,1693_3309	0	0
1693_3309	1671_3287,1714_3334	0	0
1714_3334	1693_3309,1718_3344	0	0
1718_3344	1708_3361,1714_3334	0	0
1708_3361	1689_3374,1718_3344	0	0
1689_3374	1675_3394,1708_3361	0	0
1655_3419	1637_3434,1675_3394	0	0
1637_3434	1627_3441,1655_3419	0	0
1591_3407	1580_3417,1595_3405,1612_3427	0	0
