node_name	linked_nodes	is_exact	type
1675_3361	1688_3341	0	0
1688_3341	1674_3326,1675_3361,1687_3348	0	0
1674_3326	1644_3298,1688_3341	0	0
1644_3298	1625_3276,1674_3326	0	0
1625_3276	1601_3254,1644_3298	0	0
1601_3254	1577_3226,1625_3276	0	0
1577_3226	1593_3207,1601_3254	0	0
1593_3207	1577_3226,1616_3183	0	0
1616_3183	1593_3207,1633_3169	0	0
1633_3169	1616_3183,1645_3180	0	0
1645_3180	1633_3169,1655_3193	0	0
1655_3193	1645_3180,1675_3175	0	0
1675_3175	1655_3193,1698_3155	0	0
1698_3155	1675_3175,1716_3139	0	0
1716_3139	1698_3155,1729_3132	0	0
1729_3132	1716_3139,1753_3139	0	0
1753_3139	1729_3132,1770_3160	0	0
1770_3160	1753_3139,1796_3184	0	0
1796_3184	1770_3160,1801_3189	0	0
1801_3189	1796_3184,1814_3184	0	0
1814_3184	1801_3189,1831_3202	0	0
1831_3202	1814_3184,1852_3221	0	0
1852_3221	1831_3202,1875_3248	0	0
1875_3248	1852_3221,1885_3262	0	0
1885_3262	1875_3248,1880_3275	0	0
1880_3275	1864_3295,1885_3262	0	0
1864_3295	1847_3276,1880_3275	0	0
1847_3276	1828_3260,1864_3295	0	0
1828_3260	1821_3253,1847_3276	0	0
1821_3253	1806_3271,1828_3260	0	0
1806_3271	1788_3286,1821_3253	0	0
1788_3286	1775_3304,1806_3271	0	0
1775_3304	1756_3319,1788_3286	0	0
1756_3319	1742_3338,1775_3304	0	0
1742_3338	1756_3319,1761_3358	0	0
1761_3358	1742_3338,1745_3375	0	0
1745_3375	1731_3387,1761_3358	0	0
1731_3387	1709_3363,1745_3375	0	0
1709_3363	1687_3348,1731_3387	0	0
1687_3348	1688_3341,1705_3325,1709_3363	0	0
1705_3325	1687_3348,1726_3304	0	0
1726_3304	1705_3325,1737_3287	0	0
1737_3287	1726_3304,1743_3269	0	0
1743_3269	1737_3287,1749_3255	0	0
1749_3255	1731_3230,1743_3269	0	0
1731_3230	1711_3212,1749_3255	0	0
1711_3212	1690_3230,1731_3230	0	0
1690_3230	1682_3229,1711_3212	0	0
1682_3229	1672_3231,1690_3230	0	0
1672_3231	1658_3245,1682_3229	0	0
1658_3245	1672_3231,1675_3266	0	0
1675_3266	1658_3245,1695_3286	0	0
1695_3286	1675_3266,1718_3307	0	0
1718_3307	1695_3286	0	0
