node_name	linked_nodes	is_exact	type
1499_3312	1516_3297	0	0
1516_3297	1499_3312,1533_3317	0	0
1533_3317	1516_3297,1550_3301	0	0
1550_3301	1533_3317,1568_3286	0	0
1568_3286	1550_3301,1585_3305	0	0
1585_3305	1568_3286,1593_3313	0	0
1593_3313	1585_3305,1599_3316	0	0
1599_3316	1593_3313,1610_3313	0	0
1610_3313	1599_3316,1627_3310	0	0
1627_3310	1610_3313,1640_3291	0	0
1640_3291	1627_3310,1657_3314	0	0
1657_3314	1640_3291,1677_3326	0	0
1677_3326	1657_3314,1676_3332,1676_3341	0	0
1676_3341	1675_3348,1675_3359,1677_3326	0	0
1675_3359	1661_3374,1666_3367,1675_3348,1675_3359,1676_3341	0	0
1661_3374	1646_3393,1675_3359	0	0
1646_3393	1661_3374,1663_3410	0	0
1663_3410	1646_3393,1682_3429	0	0
1682_3429	1663_3410,1671_3450	0	0
1671_3450	1659_3470,1682_3429	0	0
1659_3470	1647_3453,1671_3450	0	0
1647_3453	1634_3444,1659_3470	0	0
1634_3444	1622_3438,1647_3453	0	0
1622_3438	1609_3455,1634_3444	0	0
1609_3455	1608_3469,1622_3438	0	0
1608_3469	1609_3455,1621_3485	0	0
1621_3485	1608_3469,1619_3498	0	0
1619_3498	1621_3485,1639_3524	0	0
1639_3524	1619_3498,1657_3544	0	0
1657_3544	1639_3524,1673_3545	0	0
1673_3545	1657_3544,1687_3523	0	0
1687_3523	1673_3545,1696_3518	0	0
1696_3518	1687_3523,1719_3536	0	0
1719_3536	1696_3518,1731_3517	0	0
1731_3517	1719_3536,1743_3504	0	0
1743_3504	1731_3517,1739_3484	0	0
1739_3484	1732_3476,1743_3504	0	0
1732_3476	1710_3453,1739_3484	0	0
1710_3453	1706_3437,1732_3476	0	0
1706_3437	1698_3422,1710_3453	0	0
1698_3422	1690_3419,1706_3437	0	0
1690_3419	1684_3420,1698_3422	0	0
1684_3420	1674_3415,1690_3419	0	0
1674_3415	1657_3401,1684_3420	0	0
1657_3401	1654_3386,1674_3415	0	0
1654_3386	1657_3401,1666_3367	0	0
1666_3367	1654_3386,1675_3359	0	0
1675_3348	1675_3359,1676_3332,1676_3341	0	0
1676_3332	1675_3348,1677_3326,1685_3331	0	0
1685_3331	1676_3332,1694_3330	0	0
1694_3330	1685_3331,1709_3326	0	0
1709_3326	1694_3330,1719_3311	0	0
1719_3311	1709_3326,1731_3298	0	0
1731_3298	1719_3311,1730_3284	0	0
1730_3284	1707_3261,1731_3298	0	0
1707_3261	1704_3254,1730_3284	0	0
1704_3254	1696_3228,1707_3261	0	0
1696_3228	1704_3254,1713_3208	0	0
1713_3208	1693_3191,1696_3228	0	0
1693_3191	1672_3170,1713_3208	0	0
1672_3170	1654_3151,1693_3191	0	0
1654_3151	1636_3166,1672_3170	0	0
1636_3166	1654_3151	0	0
