node_name	linked_nodes	is_exact	type
1538_4028	1538_3991	0	0
1538_3991	1536_3965,1538_4028	0	0
1536_3965	1535_3935,1538_3991	0	0
1535_3935	1517_3924,1536_3941,1536_3965	0	0
1517_3924	1512_3906,1535_3935	0	0
1512_3906	1513_3882,1517_3924	0	0
1513_3882	1512_3906,1527_3863	0	0
1527_3863	1513_3882,1531_3839,1534_3866	0	0
1531_3839	1527_3863,1533_3807	0	0
1533_3807	1520_3802,1531_3839,1533_3814	0	0
1520_3802	1512_3792,1525_3808,1533_3807	0	0
1512_3792	1520_3802,1525_3808	0	0
1525_3808	1512_3792,1520_3802,1530_3785	0	0
1530_3785	1525_3808,1527_3768	0	0
1527_3768	1527_3761,1527_3772,1530_3785	0	0
1527_3761	1526_3730,1527_3768	0	0
1526_3730	1520_3707,1527_3761,1529_3735	0	0
1520_3707	1515_3677,1515_3693,1520_3707,1526_3730,1529_3735	0	0
1515_3677	1503_3667,1513_3639,1515_3677,1520_3707,1522_3673	0	0
1522_3673	1507_3673,1515_3677	0	0
1507_3673	1503_3667,1522_3673	0	0
1503_3667	1507_3673,1515_3677	0	0
1513_3639	1512_3644,1515_3677,1516_3614	0	0
1516_3614	1513_3639,1523_3613	0	0
1523_3613	1516_3614,1518_3596	0	0
1518_3596	1519_3574,1521_3600,1523_3613	0	0
1519_3574	1502_3561,1518_3596	0	0
1502_3561	1495_3552,1496_3548,1502_3561,1519_3574,1525_3584	0	0
1495_3552	1496_3548,1499_3530,1502_3561	0	0
1499_3530	1494_3509,1495_3552	0	0
1494_3509	1493_3481,1493_3485,1494_3509,1499_3530,1500_3543	0	0
1493_3485	1493_3481,1494_3509,1505_3469	0	0
1505_3469	1493_3485,1514_3446	0	0
1514_3446	1505_3469,1511_3441	0	0
1511_3441	1514_3434,1514_3446	0	0
1514_3434	1511_3441,1519_3426	0	0
1519_3426	1514_3434,1521_3409	0	0
1521_3409	1519_3426,1523_3392	0	0
1523_3392	1519_3375,1521_3409	0	0
1519_3375	1523_3392,1527_3343	0	0
1527_3343	1519_3375,1530_3312	0	0
1530_3312	1527_3343,1533_3282	0	0
1533_3282	1530_3312,1560_3277	0	0
1560_3277	1533_3282,1574_3258	0	0
1574_3258	1560_3277,1596_3236	0	0
1596_3236	1574_3258,1613_3218	0	0
1613_3218	1596_3236,1630_3201	0	0
1630_3201	1613_3218,1639_3184	0	0
1639_3184	1630_3201,1652_3178	0	0
1652_3178	1639_3184,1667_3154	0	0
1667_3154	1652_3178,1681_3142	0	0
1681_3142	1667_3154,1699_3122	0	0
1699_3122	1681_3142,1691_3122,1716_3112	0	0
1716_3112	1691_3122,1699_3122	0	0
1691_3122	1682_3113,1699_3122,1716_3112	0	0
1682_3113	1663_3090,1691_3122	0	0
1663_3090	1652_3078,1682_3113	0	0
1652_3078	1644_3059,1663_3090	0	0
1644_3059	1638_3030,1652_3078	0	0
1638_3030	1630_3007,1644_3059	0	0
1630_3007	1613_2996,1638_3030	0	0
1613_2996	1602_3012,1630_3007	0	0
1602_3012	1597_3038,1613_2996	0	0
1597_3038	1599_3063,1602_3012	0	0
1599_3063	1590_3075,1597_3038	0	0
1590_3075	1575_3061,1599_3063	0	0
1575_3061	1563_3055,1590_3075	0	0
1563_3055	1556_3023,1575_3061	0	0
1556_3023	1546_3011,1563_3055	0	0
1546_3011	1540_2994,1556_3023	0	0
1540_2994	1531_2961,1546_3011	0	0
1531_2961	1519_2968,1540_2994	0	0
1519_2968	1504_2979,1531_2961	0	0
1504_2979	1495_3004,1519_2968	0	0
1495_3004	1486_3031,1504_2979	0	0
1486_3031	1468_3013,1495_3004	0	0
1468_3013	1460_2985,1486_3031	0	0
1460_2985	1448_2981,1468_3013	0	0
1448_2981	1429_2978,1460_2985	0	0
1429_2978	1409_2988,1448_2981	0	0
1409_2988	1388_2997,1429_2978	0	0
1388_2997	1379_3026,1409_2988	0	0
1379_3026	1384_3053,1388_2997	0	0
1384_3053	1379_3026,1409_3069	0	0
1409_3069	1384_3053,1413_3091	0	0
1413_3091	1396_3108,1409_3069	0	0
1396_3108	1400_3140,1413_3091	0	0
1400_3140	1396_3108,1417_3156	0	0
1417_3156	1400_3140,1442_3156	0	0
1442_3156	1417_3156,1445_3180	0	0
1445_3180	1427_3201,1442_3156	0	0
1427_3201	1439_3230,1445_3180	0	0
1439_3230	1427_3201,1451_3258	0	0
1451_3258	1439_3230,1442_3256	0	0
1442_3256	1435_3281,1451_3258	0	0
1435_3281	1423_3299,1442_3256	0	0
1423_3299	1435_3281,1442_3321	0	0
1442_3321	1423_3299,1438_3334	0	0
1438_3334	1430_3361,1442_3321	0	0
