node_name	linked_nodes	is_exact	type
1787_2980	1769_2990	0	0
1769_2990	1762_3010,1787_2980	0	0
1762_3010	1749_3025,1769_2990	0	0
1749_3025	1733_3042,1762_3010	0	0
1733_3042	1729_3036,1735_3055,1749_3025	0	0
1735_3055	1721_3075,1733_3042,1739_3057	0	0
1721_3075	1704_3094,1735_3055	0	0
1704_3094	1687_3084,1721_3075	0	0
1687_3084	1671_3066,1704_3094	0	0
1671_3066	1655_3054,1687_3084	0	0
1655_3054	1642_3054,1671_3066	0	0
1642_3054	1625_3072,1655_3054	0	0
1625_3072	1613_3093,1642_3054	0	0
1613_3093	1619_3111,1625_3072	0	0
1619_3111	1613_3093,1628_3122	0	0
1628_3122	1619_3111,1642_3131	0	0
1642_3131	1628_3122,1639_3149	0	0
1639_3149	1630_3157,1642_3131	0	0
1630_3157	1609_3170,1639_3149	0	0
1609_3170	1607_3196,1630_3157	0	0
1607_3196	1609_3170,1626_3208	0	0
1626_3208	1607_3196,1645_3218	0	0
1645_3218	1626_3208,1654_3204	0	0
1654_3204	1645_3218,1666_3197	0	0
1666_3197	1654_3204,1683_3206	0	0
1683_3206	1666_3197,1697_3216	0	0
1697_3216	1683_3206,1704_3207	0	0
1704_3207	1697_3216,1714_3190	0	0
1714_3190	1704_3207,1723_3177	0	0
1723_3177	1714_3190,1736_3156	0	0
1736_3156	1723_3177,1745_3133	0	0
1745_3133	1736_3156,1756_3115	0	0
1756_3115	1745_3133,1764_3096	0	0
1764_3096	1756_3073,1756_3115	0	0
1756_3073	1739_3057,1764_3096	0	0
1739_3057	1729_3036,1735_3055,1756_3073	0	0
1729_3036	1733_3042,1735_3022,1739_3057	0	0
1735_3022	1729_3036,1762_3022	0	0
1762_3022	1735_3022,1776_3029	0	0
1776_3029	1762_3022,1794_3049	0	0
1794_3049	1776_3029,1817_3067	0	0
1817_3067	1794_3049,1824_3085	0	0
1824_3085	1816_3099,1817_3067	0	0
1816_3099	1808_3119,1824_3085	0	0
1808_3119	1796_3140,1816_3099	0	0
1796_3140	1785_3158,1808_3119	0	0
1785_3158	1772_3185,1796_3140	0	0
1772_3185	1756_3204,1785_3158	0	0
1756_3204	1740_3227,1772_3185	0	0
1740_3227	1717_3228,1756_3204	0	0
1717_3228	1705_3218,1740_3227	0	0
1705_3218	1717_3228	0	0
