node_name	linked_nodes	is_exact	type
1741_3033	1753_3040	0	0
1753_3040	1741_3033,1770_3056	0	0
1770_3056	1753_3040,1785_3077	0	0
1785_3077	1770_3056,1797_3076	0	0
1797_3076	1785_3077,1816_3098	0	0
1816_3098	1797_3076,1824_3107	0	0
1824_3107	1816_3098,1817_3122	0	0
1817_3122	1803_3140,1824_3107	0	0
1803_3140	1789_3159,1817_3122	0	0
1789_3159	1780_3167,1803_3140	0	0
1780_3167	1776_3188,1789_3159	0	0
1776_3188	1759_3210,1780_3167	0	0
1759_3210	1745_3236,1776_3188	0	0
1745_3236	1735_3255,1759_3210	0	0
1735_3255	1721_3246,1745_3236	0	0
1721_3246	1703_3233,1735_3255	0	0
1703_3233	1694_3228,1721_3246	0	0
1694_3228	1679_3207,1703_3233	0	0
1679_3207	1660_3198,1694_3228	0	0
1660_3198	1654_3205,1679_3207	0	0
1654_3205	1638_3217,1660_3198	0	0
1638_3217	1621_3204,1654_3205	0	0
1621_3204	1611_3196,1638_3217	0	0
1611_3196	1621_3204,1622_3172	0	0
1622_3172	1611_3196,1643_3146	0	0
1643_3146	1622_3172,1657_3144	0	0
1657_3144	1643_3146,1673_3156	0	0
1673_3156	1657_3144,1691_3170	0	0
1691_3170	1673_3156,1710_3189	0	0
1710_3189	1691_3170,1721_3168	0	0
1721_3168	1710_3189,1735_3148	0	0
1735_3148	1721_3168,1751_3126	0	0
1751_3126	1735_3148,1742_3105	0	0
1742_3105	1721_3086,1751_3126	0	0
1721_3086	1706_3069,1742_3105	0	0
1706_3069	1696_3057,1721_3086	0	0
1696_3057	1706_3069	0	0
