node_name	linked_nodes	is_exact	type
1578_3334	1563_3333	0	0
1563_3333	1545_3328,1578_3334	0	0
1545_3328	1526_3311,1563_3333	0	0
1526_3311	1513_3307,1545_3328	0	0
1513_3307	1495_3306,1526_3311	0	0
1495_3306	1483_3289,1513_3307	0	0
1483_3289	1488_3257,1495_3306	0	0
1488_3257	1482_3235,1483_3289	0	0
1482_3235	1487_3209,1488_3257	0	0
1487_3209	1482_3235,1503_3203	0	0
1503_3203	1487_3209,1509_3172	0	0
1509_3172	1503_3203,1510_3158	0	0
1510_3158	1509_3172,1522_3165	0	0
1522_3165	1510_3158,1535_3177	0	0
1535_3177	1522_3165,1545_3206	0	0
1545_3206	1535_3177,1544_3222	0	0
1544_3222	1528_3242,1545_3206	0	0
1528_3242	1530_3262,1544_3222	0	0
1530_3262	1528_3242,1544_3281	0	0
1544_3281	1530_3262,1555_3277	0	0
1555_3277	1544_3281,1566_3245	0	0
1566_3245	1555_3277,1591_3230	0	0
1591_3230	1566_3245,1592_3246	0	0
1592_3246	1591_3230,1608_3257	0	0
1608_3257	1592_3246,1624_3281	0	0
1624_3281	1608_3257,1643_3260	0	0
1643_3260	1624_3281,1660_3247	0	0
1660_3247	1643_3260,1675_3221	0	0
1675_3221	1660_3247,1688_3193	0	0
1688_3193	1675_3221,1695_3180	0	0
1695_3180	1688_3193,1714_3204	0	0
1714_3204	1695_3180,1721_3226	0	0
1721_3226	1714_3204,1721_3239	0	0
1721_3239	1712_3254,1721_3226	0	0
1712_3254	1706_3284,1721_3239	0	0
1706_3284	1700_3300,1712_3254	0	0
1700_3300	1698_3323,1706_3284	0	0
1698_3323	1690_3334,1700_3300	0	0
1690_3334	1687_3343,1698_3323	0	0
1687_3343	1663_3327,1690_3334	0	0
1663_3327	1653_3309,1687_3343	0	0
1653_3309	1654_3290,1663_3327	0	0
1654_3290	1653_3309,1669_3279	0	0
1669_3279	1654_3290,1677_3274	0	0
1677_3274	1669_3279	0	0
