node_name	linked_nodes	is_exact	type
1698_3363	1697_3348	0	0
1697_3348	1683_3345,1698_3363	0	0
1683_3345	1675_3353,1697_3348	0	0
1675_3353	1657_3366,1683_3345	0	0
1657_3366	1644_3372,1675_3353	0	0
1644_3372	1631_3379,1657_3366	0	0
1631_3379	1620_3383,1644_3372	0	0
1620_3383	1608_3398,1631_3379	0	0
1608_3398	1595_3391,1620_3383	0	0
1595_3391	1586_3377,1608_3398	0	0
1586_3377	1572_3367,1595_3391	0	0
1572_3367	1569_3350,1586_3377	0	0
1569_3350	1569_3329,1572_3367	0	0
1569_3329	1569_3350,1571_3304	0	0
1571_3304	1569_3329,1583_3293	0	0
1583_3293	1571_3304,1587_3288	0	0
1587_3288	1583_3293,1600_3300	0	0
1600_3300	1587_3288,1612_3315	0	0
1612_3315	1600_3300,1624_3331	0	0
1624_3331	1612_3315,1631_3325	0	0
1631_3325	1624_3331,1644_3316	0	0
1644_3316	1631_3325,1661_3316	0	0
1661_3316	1644_3316,1667_3298	0	0
1667_3298	1661_3316,1673_3269	0	0
1673_3269	1667_3298,1683_3250	0	0
1683_3250	1673_3269,1686_3223	0	0
1686_3223	1682_3206,1683_3250	0	0
1682_3206	1672_3201,1686_3223	0	0
1672_3201	1660_3201,1682_3206	0	0
1660_3201	1649_3206,1672_3201	0	0
1649_3206	1645_3220,1660_3201	0	0
1645_3220	1639_3232,1649_3206	0	0
1639_3232	1623_3226,1645_3220	0	0
1623_3226	1611_3217,1639_3232	0	0
1611_3217	1605_3235,1623_3226	0	0
1605_3235	1594_3256,1611_3217	0	0
1594_3256	1584_3257,1605_3235	0	0
1584_3257	1594_3256	0	0
