node_name	linked_nodes	is_exact	type
1594_3216	1605_3200	0	0
1605_3200	1594_3216,1626_3185	0	0
1626_3185	1605_3200,1645_3175	0	0
1645_3175	1626_3185,1655_3176	0	0
1655_3176	1645_3175,1670_3194	0	0
1670_3194	1655_3176,1689_3217	0	0
1689_3217	1670_3194,1706_3227	0	0
1706_3227	1689_3217,1713_3245	0	0
1713_3245	1706_3227,1710_3269	0	0
1710_3269	1708_3291,1713_3245	0	0
1708_3291	1710_3269,1720_3310	0	0
1720_3310	1708_3291,1713_3333	0	0
1713_3333	1709_3347,1720_3310	0	0
1709_3347	1697_3370,1713_3333	0	0
1697_3370	1683_3392,1709_3347	0	0
1683_3392	1665_3421,1697_3370	0	0
1665_3421	1659_3427,1683_3392	0	0
1659_3427	1642_3438,1665_3421	0	0
1642_3438	1619_3461,1659_3427	0	0
1619_3461	1601_3461,1642_3438	0	0
1601_3461	1588_3443,1619_3461	0	0
1588_3443	1574_3417,1601_3461	0	0
1574_3417	1574_3396,1588_3443	0	0
1574_3396	1574_3417,1587_3383	0	0
1587_3383	1574_3396,1607_3372	0	0
1607_3372	1587_3383,1616_3370	0	0
1616_3370	1607_3372,1613_3346	0	0
1613_3346	1595_3335,1616_3370	0	0
1595_3335	1589_3315,1613_3346	0	0
1589_3315	1593_3301,1595_3335	0	0
1593_3301	1589_3315,1606_3291	0	0
1606_3291	1593_3301,1621_3270	0	0
1621_3270	1606_3291,1634_3279	0	0
1634_3279	1621_3270,1642_3297	0	0
1642_3297	1634_3279,1661_3317	0	0
1661_3317	1642_3297	0	0
