node_name	linked_nodes	is_exact	type
1589_3188	1600_3202	0	0
1600_3202	1589_3188,1619_3223	0	0
1619_3223	1600_3202,1636_3241	0	0
1636_3241	1619_3223,1636_3241,1640_3226,1648_3259,1651_3264	0	0
1651_3264	1636_3241,1648_3259,1670_3275	0	0
1670_3275	1648_3259,1651_3264,1670_3275,1680_3248,1684_3297	0	0
1680_3248	1670_3275,1684_3234	0	0
1684_3234	1680_3248,1686_3206	0	0
1686_3206	1684_3234,1697_3184	0	0
1697_3184	1686_3206,1695_3156	0	0
1695_3156	1697_3184,1707_3140	0	0
1707_3140	1695_3156,1724_3156	0	0
1724_3156	1707_3140,1731_3155	0	0
1731_3155	1724_3156,1746_3152	0	0
1746_3152	1731_3155,1759_3153	0	0
1759_3153	1746_3152,1781_3161	0	0
1781_3161	1759_3153,1794_3178	0	0
1794_3178	1781_3161,1792_3188	0	0
1792_3188	1776_3204,1794_3178	0	0
1776_3204	1761_3219,1792_3188	0	0
1761_3219	1754_3236,1776_3204	0	0
1754_3236	1745_3248,1761_3219	0	0
1745_3248	1754_3236,1754_3266	0	0
1754_3266	1745_3248,1764_3272	0	0
1764_3272	1754_3266,1772_3269	0	0
1772_3269	1764_3272,1784_3273	0	0
1784_3273	1772_3269,1780_3288	0	0
1780_3288	1765_3306,1784_3273	0	0
1765_3306	1746_3323,1780_3288	0	0
1746_3323	1725_3340,1765_3306	0	0
1725_3340	1716_3321,1746_3323	0	0
1716_3321	1699_3307,1725_3340	0	0
1699_3307	1684_3297,1716_3321	0	0
1684_3297	1670_3275,1699_3307	0	0
1648_3259	1636_3241,1651_3264,1670_3275	0	0
1640_3226	1636_3241,1647_3209	0	0
1647_3209	1635_3192,1640_3226	0	0
1635_3192	1628_3176,1647_3209	0	0
1628_3176	1621_3175,1635_3192	0	0
1621_3175	1598_3193,1628_3176	0	0
1598_3193	1621_3175	0	0
