node_name	linked_nodes	is_exact	type
1765_3576	1750_3578	0	0
1750_3578	1736_3559,1765_3576	0	0
1736_3559	1720_3545,1750_3578	0	0
1720_3545	1717_3522,1736_3559	0	0
1717_3522	1716_3487,1720_3545	0	0
1716_3487	1698_3472,1717_3522	0	0
1698_3472	1687_3439,1716_3487	0	0
1687_3439	1671_3435,1698_3472	0	0
1671_3435	1661_3426,1687_3439	0	0
1661_3426	1645_3406,1671_3435	0	0
1645_3406	1629_3390,1661_3426	0	0
1629_3390	1631_3361,1645_3406	0	0
1631_3361	1629_3390,1642_3346	0	0
1642_3346	1631_3361,1655_3338	0	0
1655_3338	1642_3346,1680_3329	0	0
1680_3329	1655_3338,1670_3306	0	0
1670_3306	1659_3281,1680_3329	0	0
1659_3281	1654_3277,1657_3287,1670_3306	0	0
1654_3277	1659_3281,1662_3242	0	0
1662_3242	1654_3277,1662_3229	0	0
1662_3229	1654_3213,1662_3242	0	0
1654_3213	1661_3194,1662_3229	0	0
1661_3194	1654_3213,1669_3184	0	0
1669_3184	1661_3194,1673_3151	0	0
1673_3151	1669_3184,1671_3131	0	0
1671_3131	1653_3119,1673_3151	0	0
1653_3119	1640_3096,1671_3131	0	0
1640_3096	1625_3090,1653_3119	0	0
1625_3090	1613_3071,1640_3096	0	0
1613_3071	1613_3058,1625_3090	0	0
1613_3058	1613_3071,1620_3031	0	0
1620_3031	1613_3058,1637_3024	0	0
1637_3024	1620_3031,1658_3023	0	0
1658_3023	1637_3024,1663_3009	0	0
1663_3009	1408_3016,1658_3023	0	0
1408_3016	1425_3029,1663_3009	0	0
1425_3029	1408_3016,1451_3059	0	0
1451_3059	1425_3029,1460_3085	0	0
1460_3085	1451_3059,1471_3100	0	0
1471_3100	1460_3085,1488_3120	0	0
1488_3120	1471_3100,1488_3127	0	0
1488_3127	1476_3138,1488_3120	0	0
1476_3138	1452_3164,1488_3127	0	0
1452_3164	1443_3173,1476_3138	0	0
1443_3173	1452_3164,1457_3194	0	0
1457_3194	1443_3173,1472_3207	0	0
1472_3207	1457_3194,1480_3213	0	0
1480_3213	1472_3207,1494_3198	0	0
1494_3198	1480_3213,1513_3179	0	0
1513_3179	1494_3198,1521_3168	0	0
1521_3168	1513_3179,1530_3154	0	0
1530_3154	1521_3168,1525_3148,1532_3159	0	0
1525_3148	1530_3154,1532_3159	0	0
1532_3159	1525_3148,1530_3154,1556_3183	0	0
1556_3183	1532_3159,1562_3190	0	0
1562_3190	1556_3183,1576_3181	0	0
1576_3181	1562_3190,1581_3198	0	0
1581_3198	1576_3181,1590_3215	0	0
1590_3215	1581_3198,1600_3221	0	0
1600_3221	1590_3215,1612_3236	0	0
1612_3236	1600_3221,1637_3269	0	0
1637_3269	1612_3236,1657_3287	0	0
1657_3287	1637_3269,1659_3281,1687_3317	0	0
1687_3317	1657_3287,1714_3339	0	0
1714_3339	1687_3317,1723_3378	0	0
1723_3378	1714_3339,1735_3403	0	0
1735_3403	1723_3378,1745_3393	0	0
1745_3393	1735_3403,1768_3389	0	0
1768_3389	1745_3393,1779_3389	0	0
1779_3389	1768_3389,1794_3413	0	0
1794_3413	1779_3389,1786_3436	0	0
1786_3436	1768_3456,1794_3413	0	0
1768_3456	1762_3471,1786_3436	0	0
1762_3471	1768_3456,1773_3496	0	0
1773_3496	1762_3471,1790_3503	0	0
1790_3503	1773_3496,1804_3494	0	0
1804_3494	1790_3503,1821_3474	0	0
1821_3474	1804_3494,1833_3472	0	0
1833_3472	1821_3474,1845_3457	0	0
1845_3457	1833_3472,1862_3463	0	0
1862_3463	1845_3457,1861_3500	0	0
1861_3500	1856_3517,1862_3463	0	0
1856_3517	1830_3540,1861_3500	0	0
1830_3540	1829_3560,1856_3517	0	0
1829_3560	1830_3540,1844_3589	0	0
1844_3589	1829_3560,1855_3593	0	0
1855_3593	1844_3589	0	0
