node_name	linked_nodes	is_exact	type
1701_3407	1683_3394	0	0
1683_3394	1665_3385,1701_3407	0	0
1665_3385	1643_3386,1683_3394	0	0
1643_3386	1622_3383,1665_3385	0	0
1622_3383	1603_3363,1643_3386	0	0
1603_3363	1586_3367,1622_3383	0	0
1586_3367	1567_3369,1603_3363	0	0
1567_3369	1543_3376,1586_3367	0	0
1543_3376	1527_3355,1567_3369	0	0
1527_3355	1515_3334,1543_3376	0	0
1515_3334	1508_3323,1527_3355	0	0
1508_3323	1491_3296,1515_3334	0	0
1491_3296	1476_3271,1508_3323	0	0
1476_3271	1472_3248,1491_3296	0	0
1472_3248	1473_3219,1476_3271	0	0
1473_3219	1472_3248,1479_3200	0	0
1479_3200	1473_3219,1491_3184	0	0
1491_3184	1479_3200,1504_3173	0	0
1504_3173	1491_3184,1522_3155	0	0
1522_3155	1504_3173,1549_3131	0	0
1549_3131	1522_3155,1551_3123	0	0
1551_3123	1549_3131,1567_3108	0	0
1567_3108	1551_3123,1592_3104	0	0
1592_3104	1567_3108,1614_3106	0	0
1614_3106	1592_3104,1636_3123	0	0
1636_3123	1614_3106,1651_3142	0	0
1651_3142	1636_3123,1658_3170	0	0
1658_3170	1651_3142,1668_3190	0	0
1668_3190	1651_3202,1658_3170	0	0
1651_3202	1639_3214,1668_3190	0	0
1639_3214	1627_3190,1651_3202	0	0
1627_3190	1621_3167,1639_3214	0	0
1621_3167	1612_3160,1627_3190	0	0
1612_3160	1595_3149,1621_3167	0	0
1595_3149	1581_3153,1612_3160	0	0
1581_3153	1563_3167,1595_3149	0	0
1563_3167	1546_3190,1581_3153	0	0
1546_3190	1563_3167,1565_3204	0	0
1565_3204	1546_3190,1587_3230	0	0
1587_3230	1565_3204,1599_3255	0	0
1599_3255	1587_3230,1612_3272	0	0
1612_3272	1599_3255,1602_3294	0	0
1602_3294	1585_3296,1612_3272	0	0
1585_3296	1567_3292,1602_3294	0	0
1567_3292	1549_3285,1585_3296	0	0
1549_3285	1567_3292	0	0
