node_name	linked_nodes	is_exact	type
1752_3197	1759_3182	0	0
1759_3182	1752_3197,1757_3158	0	0
1757_3158	1746_3140,1759_3182	0	0
1746_3140	1729_3123,1757_3158	0	0
1729_3123	1719_3117,1746_3140	0	0
1719_3117	1704_3131,1729_3123	0	0
1704_3131	1695_3140,1719_3117	0	0
1695_3140	1686_3128,1704_3131	0	0
1686_3128	1675_3117,1695_3140	0	0
1675_3117	1660_3099,1686_3128	0	0
1660_3099	1639_3076,1675_3117	0	0
1639_3076	1633_3064,1660_3099	0	0
1633_3064	1639_3076,1646_3050	0	0
1646_3050	1633_3064,1667_3027	0	0
1667_3027	1646_3050,1690_3020	0	0
1690_3020	1667_3027,1693_2999	0	0
1693_2999	1690_3020,1697_2979	0	0
1697_2979	1678_2955,1693_2999	0	0
1678_2955	1658_2938,1697_2979	0	0
1658_2938	1640_2918,1678_2955	0	0
1640_2918	1629_2922,1639_2913,1658_2938	0	0
1629_2922	1619_2935,1640_2918	0	0
1619_2935	1602_2922,1619_2935,1629_2922,1639_2913	0	0
1602_2922	1585_2902,1602_2922,1619_2935	0	0
1585_2902	1578_2890,1585_2902,1586_2878,1602_2922	0	0
1578_2890	1567_2887,1585_2902	0	0
1567_2887	1546_2901,1578_2890	0	0
1546_2901	1528_2912,1539_2900,1567_2887	0	0
1528_2912	1519_2928,1529_2918,1546_2901	0	0
1519_2928	1516_2925,1522_2955,1528_2912	0	0
1522_2955	1516_2925,1519_2928	0	0
1516_2925	1519_2928,1522_2955,1529_2918	0	0
1529_2918	1516_2925,1528_2912,1539_2900	0	0
1539_2900	1527_2881,1529_2918,1546_2901	0	0
1527_2881	1528_2858,1539_2900	0	0
1528_2858	1527_2881,1545_2844	0	0
1545_2844	1528_2858,1547_2823	0	0
1547_2823	1545_2844,1564_2818	0	0
1564_2818	1547_2823,1580_2835	0	0
1580_2835	1564_2818,1596_2859	0	0
1596_2859	1580_2835,1586_2878	0	0
1586_2878	1585_2902,1596_2859	0	0
1639_2913	1619_2935,1640_2918,1653_2895	0	0
1653_2895	1639_2913,1662_2881	0	0
1662_2881	1653_2895,1681_2866	0	0
1681_2866	1662_2881,1673_2838	0	0
1673_2838	1665_2827,1681_2866	0	0
1665_2827	1668_2805,1673_2838	0	0
1668_2805	1665_2827,1675_2788	0	0
1675_2788	1666_2762,1668_2805	0	0
1666_2762	1675_2788,1679_2742	0	0
1679_2742	1666_2762	0	0
