node_name	linked_nodes	is_exact	type
1949_4920	1934_4901,1949_4920,1950_4937	0	0
1950_4937	1948_4950,1949_4920,1950_4937,1968_4957	0	0
1968_4957	1950_4937,1979_4946	0	0
1979_4946	1968_4957,1992_4947	0	0
1992_4947	1979_4946,2008_4931	0	0
2008_4931	1992_4947,2023_4914	0	0
2023_4914	2008_4931,2039_4900	0	0
2039_4900	2023_4914,2055_4882	0	0
2055_4882	2039_4900,2068_4870	0	0
2068_4870	2055_4882,2072_4872	0	0
2072_4872	2068_4870,2081_4882	0	0
2081_4882	2072_4872,2094_4867	0	0
2094_4867	2081_4882,2106_4851	0	0
2106_4851	2094_4867,2110_4829	0	0
2110_4829	2106_4851,2128_4828	0	0
2128_4828	2110_4829,2143_4840	0	0
2143_4840	2128_4828,2157_4830	0	0
2157_4830	2143_4840,2177_4811	0	0
2177_4811	2157_4830,2189_4807	0	0
2189_4807	2177_4811,2208_4809	0	0
2208_4809	2189_4807,2222_4809	0	0
2222_4809	2208_4809,2228_4780	0	0
2228_4780	2222_4809,2244_4775	0	0
2244_4775	2228_4780,2258_4792	0	0
2258_4792	2244_4775,2250_4786,2258_4792,2270_4781	0	0
2270_4781	2258_4792,2270_4781,2276_4784	0	0
2276_4784	2270_4781	0	0
2250_4786	2236_4777,2258_4792	0	0
2236_4777	2223_4796,2250_4786	0	0
2223_4796	2223_4820,2236_4777	0	0
2223_4820	2223_4796,2239_4834	0	0
2239_4834	2223_4820,2250_4863	0	0
2250_4863	2239_4834,2264_4889	0	0
2264_4889	2250_4863,2265_4907	0	0
2265_4907	2264_4889,2283_4939	0	0
2283_4939	2265_4907,2294_4952	0	0
2294_4952	2283_4939,2315_4976	0	0
2315_4976	2294_4952,2325_4985	0	0
2325_4985	2315_4976,2339_4971	0	0
2339_4971	2325_4985,2343_4967	0	0
2343_4967	2339_4971,2365_4988	0	0
2365_4988	2343_4967,2394_4959	0	0
2394_4959	2365_4988,2387_4949	0	0
2387_4949	2394_4959,2406_4932	0	0
2406_4932	2387_4949,2424_4945	0	0
2424_4945	2406_4932,2451_4915	0	0
2451_4915	2424_4945,2438_4900	0	0
2438_4900	2429_4908,2451_4915	0	0
2429_4908	2390_4873,2438_4900	0	0
2390_4873	2368_4848,2429_4908	0	0
2368_4848	2390_4873,2396_4817	0	0
2396_4817	2368_4848,2420_4793	0	0
2420_4793	2396_4817,2446_4769	0	0
2446_4769	2420_4793,2459_4755	0	0
2459_4755	2446_4769,2469_4765	0	0
2469_4765	2459_4755,2494_4744	0	0
2494_4744	2469_4765,2529_4711	0	0
2529_4711	2494_4744,2545_4719	0	0
2545_4719	2529_4711,2570_4692	0	0
2570_4692	2545_4719,2584_4678	0	0
2584_4678	2570_4692,2619_4714	0	0
2619_4714	1914_4879,2584_4678	0	0
1914_4879	1934_4901,2619_4714	0	0
1934_4901	1914_4879,1949_4920	0	0
1948_4950	1950_4937,1953_4957	0	0
1953_4957	1932_4979,1948_4950	0	0
1932_4979	1914_4997,1953_4957	0	0
1914_4997	1897_4980,1932_4979	0	0
1897_4980	1883_4998,1914_4997	0	0
1883_4998	1880_5002,1897_4980	0	0
1880_5002	1861_4992,1883_4998	0	0
1861_4992	1855_5016,1880_5002	0	0
1855_5016	1851_5042,1861_4992	0	0
1851_5042	1838_5059,1855_5016	0	0
1838_5059	1825_5082,1851_5042	0	0
1825_5082	1816_5110,1838_5059	0	0
1816_5110	1825_5082,1836_5135	0	0
1836_5135	1816_5110,1849_5153	0	0
1849_5153	1836_5135,1839_5176	0	0
1839_5176	1823_5167,1849_5153	0	0
1823_5167	1819_5160,1839_5176	0	0
1819_5160	1805_5154,1823_5167	0	0
1805_5154	1786_5151,1819_5160	0	0
1786_5151	1776_5146,1805_5154	0	0
1776_5146	1784_5174,1786_5151	0	0
1784_5174	1776_5146,1800_5196	0	0
1800_5196	1784_5174,1818_5214	0	0
1818_5214	1800_5196,1841_5237	0	0
1841_5237	1818_5214,1868_5264	0	0
1868_5264	1841_5237,1885_5283	0	0
1885_5283	1868_5264,1881_5308	0	0
1881_5308	1859_5338,1882_5314,1885_5283	0	0
1859_5338	1857_5354,1881_5308	0	0
1857_5354	1859_5338,1870_5334	0	0
1870_5334	1857_5354,1882_5314	0	0
1882_5314	1870_5334,1881_5308,1899_5299	0	0
1899_5299	1882_5314,1919_5278	0	0
1919_5278	1899_5299,1935_5265	0	0
1935_5265	1919_5278,1961_5271	0	0
1961_5271	1935_5265,1972_5270	0	0
1972_5270	1961_5271	0	0
