node_name	linked_nodes	is_exact	type
2433_3731	2439_3712	0	0
2439_3712	2433_3731,2434_3663	0	0
2434_3663	2414_3646,2439_3712	0	0
2414_3646	2411_3621,2434_3663	0	0
2411_3621	2395_3597,2414_3646	0	0
2395_3597	2393_3563,2411_3621	0	0
2393_3563	2395_3597,2400_3546	0	0
2400_3546	2393_3563,2421_3548	0	0
2421_3548	2400_3546,2442_3564	0	0
2442_3564	2421_3548,2442_3599	0	0
2442_3599	2442_3564,2473_3610	0	0
2473_3610	2442_3599,2475_3584	0	0
2475_3584	2473_3610,2477_3553	0	0
2477_3553	2470_3514,2475_3584	0	0
2470_3514	2474_3475,2477_3553	0	0
2474_3475	2469_3442,2470_3514	0	0
2469_3442	2474_3417,2474_3475	0	0
2474_3417	2460_3402,2469_3442	0	0
2460_3402	2444_3404,2474_3417	0	0
2444_3404	2426_3404,2460_3402	0	0
2426_3404	2409_3410,2444_3404	0	0
2409_3410	2401_3397,2426_3404	0	0
2401_3397	2389_3365,2409_3410	0	0
2389_3365	2389_3358,2401_3397	0	0
2389_3358	2367_3358,2389_3365	0	0
2367_3358	2351_3349,2389_3358	0	0
2351_3349	2345_3315,2367_3358	0	0
2345_3315	2333_3287,2351_3349	0	0
2333_3287	2316_3286,2345_3315	0	0
2316_3286	2308_3288,2333_3287	0	0
2308_3288	2316_3286,2346_3301	0	0
2346_3301	2308_3288,2358_3280	0	0
2358_3280	2346_3301,2370_3256	0	0
2370_3256	2358_3280,2395_3262	0	0
2395_3262	2370_3256,2414_3238	0	0
2414_3238	2395_3262,2421_3215	0	0
2421_3215	2414_3238,2424_3187	0	0
2424_3187	2400_3177,2418_3186,2421_3215	0	0
2400_3177	2376_3198,2424_3187	0	0
2376_3198	2348_3206,2400_3177	0	0
2348_3206	2331_3229,2376_3198	0	0
2331_3229	2311_3234,2328_3232,2348_3206	0	0
2311_3234	2309_3222,2331_3229	0	0
2309_3222	2311_3234,2328_3232	0	0
2328_3232	2309_3222,2331_3229,2345_3220	0	0
2345_3220	2328_3232,2360_3208	0	0
2360_3208	2345_3220,2386_3192	0	0
2386_3192	2360_3208,2418_3186	0	0
2418_3186	2386_3192,2424_3187,2445_3184	0	0
2445_3184	2418_3186,2458_3184	0	0
2458_3184	2445_3184,2461_3207	0	0
2461_3207	2458_3184,2486_3215	0	0
2486_3215	2461_3207,2510_3221	0	0
2510_3221	2486_3215,2520_3235	0	0
2520_3235	2510_3221,2511_3261	0	0
2511_3261	2502_3283,2520_3235	0	0
2502_3283	2495_3281,2511_3261	0	0
2495_3281	2476_3287,2502_3283	0	0
2476_3287	2455_3281,2495_3281	0	0
2455_3281	2436_3280,2476_3287	0	0
2436_3280	2455_3281	0	0
