node_name	linked_nodes	is_exact	type
1590_3215	1610_3199	0	0
1610_3199	1590_3215,1627_3216	0	0
1627_3216	1610_3199,1631_3217,1649_3192	0	0
1649_3192	1627_3216,1628_3167,1634_3206,1649_3192	0	0
1628_3167	1649_3192	0	0
1634_3206	1631_3217,1649_3192	0	0
1631_3217	1606_3239,1627_3216,1634_3206	0	0
1606_3239	1624_3257,1631_3217	0	0
1624_3257	1606_3239,1636_3267	0	0
1636_3267	1624_3257,1654_3247	0	0
1654_3247	1636_3267,1673_3235	0	0
1673_3235	1654_3247,1673_3235,1678_3242,1697_3208	0	0
1697_3208	1673_3235,1718_3228	0	0
1718_3228	1697_3208,1736_3211	0	0
1736_3211	1718_3228,1748_3223	0	0
1748_3223	1736_3211,1763_3210	0	0
1763_3210	1748_3223,1772_3222	0	0
1772_3222	1763_3210,1789_3204	0	0
1789_3204	1772_3222,1802_3221	0	0
1802_3221	1789_3204,1791_3240	0	0
1791_3240	1771_3258,1802_3221	0	0
1771_3258	1780_3272,1791_3240	0	0
1780_3272	1769_3282,1771_3258	0	0
1769_3282	1758_3296,1780_3272	0	0
1758_3296	1737_3279,1769_3282	0	0
1737_3279	1720_3288,1758_3296	0	0
1720_3288	1709_3306,1737_3279	0	0
1709_3306	1684_3281,1720_3288	0	0
1684_3281	1698_3266,1709_3306	0	0
1698_3266	1678_3242,1684_3281	0	0
1678_3242	1673_3235,1698_3266	0	0
