Node	X	Y	Connected_Nodes
1630_3178	1630	3178	1635_3186,1666_3237
1635_3186	1635	3186	1630_3178,1642_3195,1624_3197
1642_3195	1642	3195	1635_3186,1645_3205
1645_3205	1645	3205	1642_3195,1645_3218
1645_3218	1645	3218	1645_3205,1652_3224,1639_3229
1652_3224	1652	3224	1645_3218,1659_3231
1659_3231	1659	3231	1652_3224,1663_3226,1666_3237
1663_3226	1663	3226	1659_3231
1666_3237	1666	3237	1630_3178,1659_3231,1674_3244
1674_3244	1674	3244	1666_3237,1681_3249
1681_3249	1681	3249	1674_3244,1684_3245
1684_3245	1684	3245	1681_3249
1639_3229	1639	3229	1645_3218,1635_3224,1642_3236,1631_3236
1635_3224	1635	3224	1639_3229
1642_3236	1642	3236	1639_3229
1631_3236	1631	3236	1639_3229,1625_3248
1625_3248	1625	3248	1631_3236,1619_3253
1619_3253	1619	3253	1625_3248,1611_3256
1611_3256	1611	3256	1619_3253,1608_3250,1604_3249
1608_3250	1608	3250	1611_3256
1604_3249	1604	3249	1611_3256,1597_3239
1597_3239	1597	3239	1604_3249,1601_3222
1601_3222	1601	3222	1597_3239,1606_3228,1601_3210,1608_3214
1606_3228	1606	3228	1601_3222
1601_3210	1601	3210	1601_3222
1608_3214	1608	3214	1601_3222,1616_3206
1616_3206	1616	3206	1608_3214,1624_3197
1624_3197	1624	3197	1635_3186,1616_3206,1627_3201
1627_3201	1627	3201	1624_3197
