node_name	linked_nodes	is_exact	type
1633_3235	1623_3248	0	0
1623_3248	1617_3254,1633_3235	0	0
1617_3254	1611_3251,1623_3248	0	0
1611_3251	1601_3241,1617_3254	0	0
1601_3241	1594_3227,1611_3251	0	0
1594_3227	1601_3241,1602_3211	0	0
1602_3211	1594_3227,1616_3206	0	0
1616_3206	1602_3211,1620_3194	0	0
1620_3194	1616_3206,1626_3186	0	0
1626_3186	1620_3194,1633_3182	0	0
1633_3182	1626_3186,1633_3182,1639_3191,1640_3171,1647_3166	0	0
1640_3171	1633_3182,1655_3156	0	0
1655_3156	1640_3171,1653_3152,1660_3134	0	0
1660_3134	1655_3156,1662_3138,1671_3121	0	0
1671_3121	1660_3134,1677_3123,1684_3115	0	0
1684_3115	1671_3121,1694_3095	0	0
1694_3095	1684_3115,1690_3099,1703_3090	0	0
1703_3090	1694_3095,1717_3090	0	0
1717_3090	1703_3090,1727_3073	0	0
1727_3073	1717_3090,1741_3061	0	0
1741_3061	1727_3073,1760_3057	0	0
1760_3057	1741_3061,1772_3076	0	0
1772_3076	1760_3057,1785_3093	0	0
1785_3093	1772_3076,1798_3084	0	0
1798_3084	1785_3093,1803_3065	0	0
1803_3065	1798_3084,1814_3063	0	0
1814_3063	1803_3065,1824_3078	0	0
1824_3078	1814_3063,1840_3076	0	0
1840_3076	1824_3078,1860_3074	0	0
1860_3074	1840_3076,1857_3070,1865_3056	0	0
1865_3056	1860_3074,1869_3041	0	0
1869_3041	1857_3070,1865_3056	0	0
1857_3070	1844_3086,1860_3074,1869_3041	0	0
1844_3086	1844_3099,1857_3070	0	0
1844_3099	1838_3105,1844_3086	0	0
1838_3105	1816_3103,1844_3099	0	0
1816_3103	1818_3116,1838_3105	0	0
1818_3116	1814_3149,1816_3103	0	0
1814_3149	1808_3174,1818_3116	0	0
1808_3174	1801_3204,1814_3149	0	0
1801_3204	1803_3227,1808_3174	0	0
1803_3227	1787_3245,1801_3204	0	0
1787_3245	1777_3263,1803_3227	0	0
1777_3263	1755_3259,1787_3245	0	0
1755_3259	1742_3258,1777_3263	0	0
1742_3258	1742_3279,1755_3259	0	0
1742_3279	1720_3282,1742_3258	0	0
1720_3282	1704_3281,1742_3279	0	0
1704_3281	1695_3263,1720_3282	0	0
1695_3263	1684_3247,1704_3281	0	0
1684_3247	1672_3238,1695_3263	0	0
1672_3238	1662_3228,1684_3247	0	0
1662_3228	1650_3221,1672_3238	0	0
1650_3221	1644_3213,1662_3228	0	0
1644_3213	1639_3191,1650_3221	0	0
1639_3191	1633_3182,1644_3213	0	0
1647_3166	1633_3182,1649_3143	0	0
1649_3143	1647_3166,1663_3123	0	0
1663_3123	1649_3143,1659_3103	0	0
1659_3103	1642_3089,1663_3123	0	0
1642_3089	1624_3084,1659_3103	0	0
1624_3084	1613_3062,1642_3089	0	0
1613_3062	1623_3043,1624_3084	0	0
1623_3043	1610_3028,1613_3062,1627_3043	0	0
1610_3028	1590_3024,1623_3043	0	0
1590_3024	1572_3019,1595_3028,1610_3028	0	0
1572_3019	1562_3042,1590_3024	0	0
1562_3042	1549_3030,1572_3019	0	0
1549_3030	1535_3021,1555_3031,1562_3042	0	0
1535_3021	1523_3036,1533_3017,1549_3030	0	0
1523_3036	1516_3046,1535_3021	0	0
1516_3046	1500_3042,1523_3036	0	0
1500_3042	1485_3025,1516_3046	0	0
1485_3025	1478_3034,1500_3042	0	0
1478_3034	1468_3035,1485_3025	0	0
1468_3035	1457_3051,1478_3034	0	0
1457_3051	1451_3054,1468_3035	0	0
1451_3054	1442_3061,1457_3051	0	0
1442_3061	1439_3035,1451_3054	0	0
1439_3035	1429_3042,1442_3061	0	0
1429_3042	1415_3044,1439_3035	0	0
1415_3044	1407_3025,1429_3042	0	0
1407_3025	1400_3005,1415_3044	0	0
1400_3005	1398_2988,1407_3025	0	0
1398_2988	1400_3005,1416_2983	0	0
1416_2983	1398_2988,1425_2959	0	0
1425_2959	1416_2983,1433_2946	0	0
1433_2946	1425_2959,1443_2961	0	0
1443_2961	1433_2946,1454_2966	0	0
1454_2966	1443_2961,1459_2962	0	0
1459_2962	1454_2966,1465_2942	0	0
1465_2942	1459_2962,1478_2945	0	0
1478_2945	1465_2942,1492_2958	0	0
1492_2958	1478_2945,1503_2958	0	0
1503_2958	1492_2958,1515_2965	0	0
1515_2965	1503_2958,1510_2978	0	0
1510_2978	1515_2965,1516_2997	0	0
1516_2997	1510_2978,1527_3002	0	0
1527_3002	1516_2997,1533_3017	0	0
1533_3017	1527_3002,1535_3021,1546_3017	0	0
1546_3017	1533_3017,1555_3031	0	0
1555_3031	1546_3017,1549_3030,1568_3033	0	0
1568_3033	1555_3031,1581_3029	0	0
1581_3029	1568_3033,1595_3028	0	0
1595_3028	1581_3029,1590_3024,1618_3030	0	0
1618_3030	1595_3028,1627_3043	0	0
1627_3043	1618_3030,1623_3043,1644_3055	0	0
1644_3055	1627_3043,1658_3067	0	0
1658_3067	1644_3055,1667_3078	0	0
1667_3078	1658_3067,1680_3085	0	0
1680_3085	1667_3078,1690_3099	0	0
1690_3099	1680_3085,1694_3095,1701_3106	0	0
1701_3106	1690_3099,1703_3122	0	0
1703_3122	1690_3135,1701_3106	0	0
1690_3135	1677_3123,1703_3122	0	0
1677_3123	1662_3138,1671_3121,1690_3135	0	0
1662_3138	1653_3152,1660_3134,1677_3123	0	0
1653_3152	1655_3156,1662_3138	0	0
1630_3178	1635_3186,1666_3237	0	1
1635_3186	1630_3178,1642_3195,1624_3197	0	1
1642_3195	1635_3186,1645_3205	0	1
1645_3205	1642_3195,1645_3218	0	1
1645_3218	1645_3205,1652_3224,1639_3229	0	1
1652_3224	1645_3218,1659_3231	0	1
1659_3231	1652_3224,1663_3226,1666_3237	0	1
1663_3226	1659_3231	0	1
1666_3237	1630_3178,1659_3231,1674_3244	0	1
1674_3244	1666_3237,1681_3249	0	1
1681_3249	1674_3244,1684_3245	0	1
1684_3245	1681_3249	0	1
1639_3229	1645_3218,1635_3224,1642_3236,1631_3236	0	1
1635_3224	1639_3229	0	1
1642_3236	1639_3229	0	1
1631_3236	1639_3229,1625_3248	0	1
1625_3248	1631_3236,1619_3253	0	1
1619_3253	1625_3248,1611_3256	0	1
1611_3256	1619_3253,1608_3250,1604_3249	0	1
1608_3250	1611_3256	0	1
1604_3249	1611_3256,1597_3239	0	1
1597_3239	1604_3249,1601_3222	0	1
1601_3222	1597_3239,1606_3228,1601_3210,1608_3214	0	1
1606_3228	1601_3222	0	1
1601_3210	1601_3222	0	1
1608_3214	1601_3222,1616_3206	0	1
1616_3206	1608_3214,1624_3197	0	1
1624_3197	1635_3186,1616_3206,1627_3201	0	1
1627_3201	1624_3197	0	1
