node_name	linked_nodes	is_exact	type
326_1293	344_1310	0	0
344_1310	326_1293,362_1329	0	0
362_1329	344_1310,371_1320	0	0
371_1320	362_1329,404_1358	0	0
404_1358	371_1320,382_1371,404_1358,418_1379,973_1069	0	0
418_1379	404_1358,442_1394	0	0
442_1394	418_1379,464_1418	0	0
464_1418	442_1394,481_1434	0	0
481_1434	464_1418,479_1430,498_1452	0	0
498_1452	481_1434,515_1469	0	0
515_1469	498_1452,510_1463,515_1469,524_1487,530_1488	0	0
530_1488	515_1469,524_1487,552_1485	0	0
552_1485	530_1488,565_1463	0	0
565_1463	552_1485,586_1455	0	0
586_1455	565_1463,602_1480	0	0
602_1480	586_1455,621_1502	0	0
621_1502	602_1480,607_1535	0	0
607_1535	595_1560,621_1502	0	0
595_1560	607_1535,611_1589	0	0
611_1589	595_1560,639_1614	0	0
639_1614	611_1589,654_1632	0	0
654_1632	628_1632,639_1614	0	0
628_1632	620_1654,654_1632	0	0
620_1654	593_1647,628_1632	0	0
593_1647	580_1616,620_1654	0	0
580_1616	559_1604,593_1647	0	0
559_1604	539_1607,580_1616	0	0
539_1607	532_1575,559_1604	0	0
532_1575	520_1542,539_1607	0	0
520_1542	512_1523,532_1575	0	0
512_1523	520_1542,523_1496	0	0
523_1496	512_1523,524_1487	0	0
524_1487	515_1469,523_1496,530_1488	0	0
510_1463	490_1444,515_1469	0	0
490_1444	479_1430,510_1463	0	0
479_1430	470_1439,481_1434,490_1444	0	0
470_1439	459_1452,479_1430	0	0
459_1452	442_1466,470_1439	0	0
442_1466	434_1477,459_1452	0	0
434_1477	442_1466,447_1491	0	0
447_1491	434_1477,451_1488	0	0
451_1488	447_1491,449_1399	0	0
449_1399	451_1488,458_1386	0	0
458_1386	449_1399,462_1370	0	0
462_1370	458_1351,458_1386	0	0
458_1351	457_1328,462_1370	0	0
457_1328	458_1351,469_1309	0	0
469_1309	457_1328,463_1289	0	0
463_1289	467_1260,469_1309	0	0
