node_name	linked_nodes	is_exact	type
1559_3201	1577_3216	0	0
1577_3216	1559_3201,1584_3225	0	0
1584_3225	1577_3216,1599_3215	0	0
1599_3215	1584_3225,1594_3218,1607_3198	0	0
1607_3198	1598_3183,1599_3215	0	0
1598_3183	1584_3164,1607_3198	0	0
1584_3164	1594_3149,1598_3183	0	0
1594_3149	1584_3164,1607_3136	0	0
1607_3136	1594_3149,1621_3124	0	0
1621_3124	1607_3136,1634_3122	0	0
1634_3122	1621_3124,1650_3136	0	0
1650_3136	1634_3122,1670_3159	0	0
1670_3159	1650_3136,1684_3144	0	0
1684_3144	1670_3159,1702_3157	0	0
1702_3157	1684_3144,1714_3169	0	0
1714_3169	1702_3157,1730_3188	0	0
1730_3188	1714_3169,1715_3206	0	0
1715_3206	1702_3213,1730_3188	0	0
1702_3213	1683_3193,1715_3206	0	0
1683_3193	1664_3207,1702_3213	0	0
1664_3207	1653_3222,1683_3193	0	0
1653_3222	1647_3226,1664_3207	0	0
1647_3226	1630_3244,1653_3222	0	0
1630_3244	1623_3249,1647_3226	0	0
1623_3249	1613_3240,1630_3244	0	0
1613_3240	1594_3218,1623_3249	0	0
1594_3218	1599_3215,1613_3240	0	0
