node_name	linked_nodes	is_exact	type
1501_3295	1485_3276	0	0
1485_3276	1468_3264,1501_3295	0	0
1468_3264	1451_3245,1485_3276	0	0
1451_3245	1441_3235,1468_3264	0	0
1441_3235	1451_3220,1451_3245	0	0
1451_3220	1441_3235,1462_3209	0	0
1462_3209	1450_3192,1451_3220	0	0
1450_3192	1460_3179,1462_3209	0	0
1460_3179	1450_3192,1473_3190	0	0
1473_3190	1460_3179,1484_3194	0	0
1484_3194	1473_3190,1494_3179	0	0
1494_3179	1484_3166,1484_3194	0	0
1484_3166	1473_3151,1494_3179	0	0
1473_3151	1481_3147,1484_3166	0	0
1481_3147	1473_3151,1490_3136	0	0
1490_3136	1481_3147,1487_3124	0	0
1487_3124	1490_3136,1497_3115	0	0
1497_3115	1487_3124,1521_3136	0	0
1521_3136	1497_3115,1513_3146	0	0
1513_3146	1511_3157,1521_3136	0	0
1511_3157	1513_3146,1529_3175	0	0
1529_3175	1511_3157,1547_3191	0	0
1547_3191	1529_3175,1559_3180	0	0
1559_3180	1547_3191,1574_3172	0	0
1574_3172	1559_3180,1586_3182	0	0
1586_3182	1574_3172,1604_3200	0	0
1604_3200	1586_3182,1603_3210	0	0
1603_3210	1603_3215,1604_3200	0	0
1603_3215	1603_3210,1618_3231	0	0
1618_3231	1603_3215,1609_3248	0	0
1609_3248	1617_3259,1618_3231	0	0
1617_3259	1602_3278,1609_3248	0	0
1602_3278	1592_3280,1617_3259	0	0
1592_3280	1578_3266,1602_3278	0	0
1578_3266	1564_3247,1592_3280	0	0
1564_3247	1555_3238,1578_3266	0	0
1555_3238	1564_3247	0	0
