node_name	linked_nodes	is_exact	type
1161_2622	1158_2635	0	0
1158_2635	1155_2665,1161_2622	0	0
1155_2665	1158_2635,1162_2677	0	0
1162_2677	1155_2665,1159_2706	0	0
1159_2706	1150_2708,1162_2677	0	0
1150_2708	1141_2720,1159_2706	0	0
1141_2720	1141_2743,1150_2708	0	0
1141_2743	1141_2720,1160_2760	0	0
1160_2760	1141_2743,1179_2770	0	0
1179_2770	1160_2760,1194_2785	0	0
1194_2785	1179_2770,1209_2802	0	0
1209_2802	1194_2785,1227_2806	0	0
1227_2806	1209_2802,1239_2812	0	0
1239_2812	1227_2806,1257_2796	0	0
1257_2796	1239_2812,1278_2780	0	0
1278_2780	1257_2796,1289_2762	0	0
1289_2762	1278_2780,1283_2733	0	0
1283_2733	1280_2711,1289_2762	0	0
1280_2711	1280_2697,1283_2733	0	0
1280_2697	1280_2711,1292_2685	0	0
1292_2685	1280_2697,1309_2671	0	0
1309_2671	1292_2685,1324_2682	0	0
1324_2682	1309_2671,1350_2682	0	0
1350_2682	1324_2682,1367_2675	0	0
1367_2675	1350_2682,1386_2661	0	0
1386_2661	1367_2675,1393_2674	0	0
1393_2674	1386_2661,1409_2678	0	0
1409_2678	1393_2674,1429_2702	0	0
1429_2702	1409_2678,1435_2701	0	0
1435_2701	1429_2702,1450_2724	0	0
1450_2724	1435_2701,1467_2731	0	0
1467_2731	1450_2724,1484_2753	0	0
1484_2753	1467_2731,1494_2766	0	0
1494_2766	1484_2753,1492_2791	0	0
1492_2791	1484_2818,1494_2766	0	0
1484_2818	1484_2847,1492_2791	0	0
1484_2847	1484_2818,1507_2870	0	0
1507_2870	1484_2847,1523_2899	0	0
1523_2899	1498_2916,1507_2870	0	0
1498_2916	1483_2945,1523_2899	0	0
1483_2945	1467_2961,1498_2916	0	0
1467_2961	1458_2958,1483_2945	0	0
1458_2958	1439_2963,1467_2961	0	0
1439_2963	1421_2964,1458_2958	0	0
1421_2964	1407_2975,1439_2963	0	0
1407_2975	1385_2988,1421_2964	0	0
1385_2988	1374_3005,1407_2975	0	0
1374_3005	1370_3037,1385_2988	0	0
1370_3037	1374_3005,1384_3065	0	0
1384_3065	1370_3037,1400_3073	0	0
1400_3073	1384_3065,1420_3069	0	0
1420_3069	1400_3073,1440_3053	0	0
1440_3053	1420_3069,1452_3062	0	0
1452_3062	1440_3053,1466_3075	0	0
1466_3075	1452_3062,1474_3068	0	0
1474_3068	1466_3075,1497_3068	0	0
1497_3068	1474_3068,1511_3054	0	0
1511_3054	1497_3068,1519_3086	0	0
1519_3086	1511_3054,1537_3113	0	0
1537_3113	1519_3086,1531_3110	0	0
1531_3110	1525_3118,1537_3113	0	0
1525_3118	1523_3136,1531_3110	0	0
1523_3136	1522_3156,1525_3118	0	0
1522_3156	1523_3136,1556_3118	0	0
1556_3118	1522_3156,1575_3100	0	0
1575_3100	1556_3118,1596_3083	0	0
1596_3083	1575_3100,1610_3072	0	0
1610_3072	1596_3083,1626_3046	0	0
1626_3046	1610_3072,1637_3023	0	0
1637_3023	1626_3046,1648_3030	0	0
1648_3030	1637_3023,1657_3024	0	0
1657_3024	1648_3030,1674_3028	0	0
1674_3028	1657_3024,1689_3032	0	0
1689_3032	1674_3028,1705_3013	0	0
1705_3013	1689_3032,1716_3001	0	0
1716_3001	1705_3013,1734_2987	0	0
1734_2987	1716_3001,1750_2981	0	0
1750_2981	1734_2987,1763_3000	0	0
1763_3000	1750_2981,1774_3011	0	0
1774_3011	1763_3000,1789_3008	0	0
1789_3008	1774_3011,1796_2994	0	0
1796_2994	1789_3008,1803_2959	0	0
1803_2959	1796_2994,1811_2933	0	0
1811_2933	1803_2959,1814_2918	0	0
1814_2918	1811_2933,1832_2908	0	0
1832_2908	1814_2918,1848_2903	0	0
1848_2903	1832_2908,1859_2908	0	0
1859_2908	1848_2903,1873_2927	0	0
1873_2927	1859_2908,1876_2935	0	0
1876_2935	1873_2927,1879_2960	0	0
1879_2960	1876_2935,1886_2960	0	0
1886_2960	1879_2960,1899_2955	0	0
1899_2955	1886_2960,1918_2948	0	0
1918_2948	1899_2955,1917_2932	0	0
1917_2932	1916_2902,1918_2948	0	0
1916_2902	1909_2885,1917_2932	0	0
1909_2885	1901_2857,1916_2902	0	0
1901_2857	1881_2827,1909_2885	0	0
1881_2827	1872_2807,1901_2857	0	0
1872_2807	1857_2789,1881_2827	0	0
1857_2789	1849_2779,1872_2807	0	0
1849_2779	1839_2756,1857_2789	0	0
1839_2756	1826_2741,1849_2779	0	0
1826_2741	1813_2722,1839_2756	0	0
1813_2722	1792_2691,1826_2741	0	0
1792_2691	1774_2668,1813_2722	0	0
1774_2668	1755_2650,1792_2691	0	0
1755_2650	1736_2644,1774_2668	0	0
1736_2644	1718_2630,1755_2650	0	0
1718_2630	1701_2622,1736_2644	0	0
1701_2622	1690_2614,1718_2630	0	0
1690_2614	1675_2614,1701_2622	0	0
1675_2614	1660_2605,1690_2614	0	0
1660_2605	1636_2606,1675_2614	0	0
1636_2606	1619_2608,1660_2605	0	0
1619_2608	1599_2602,1636_2606	0	0
1599_2602	1584_2612,1619_2608	0	0
1584_2612	1573_2615,1599_2602	0	0
1573_2615	1554_2625,1584_2612	0	0
1554_2625	1533_2637,1573_2615	0	0
1533_2637	1515_2663,1554_2625	0	0
1515_2663	1515_2680,1533_2637	0	0
1515_2680	1515_2663,1531_2696	0	0
1531_2696	1515_2680,1545_2713	0	0
1545_2713	1531_2696,1564_2715	0	0
1564_2715	1545_2713,1583_2708	0	0
1583_2708	1564_2715,1598_2728	0	0
1598_2728	1583_2708	0	0
