node_name	linked_nodes	is_exact	type
1508_3005	1521_3023	0	0
1521_3023	1508_3005,1532_3028	0	0
1532_3028	1521_3023,1541_3044	0	0
1541_3044	1532_3028,1555_3060	0	0
1555_3060	1541_3044,1569_3064	0	0
1569_3064	1555_3060,1582_3069	0	0
1582_3069	1569_3064,1593_3058	0	0
1593_3058	1582_3069,1604_3062	0	0
1604_3062	1593_3058,1615_3060	0	0
1615_3060	1604_3062,1628_3049	0	0
1628_3049	1615_3060,1640_3048	0	0
1640_3048	1628_3049,1643_3035	0	0
1643_3035	1634_3019,1640_3048	0	0
1634_3019	1618_3009,1643_3035	0	0
1618_3009	1613_2992,1634_3019	0	0
1613_2992	1594_3007,1618_3009	0	0
1594_3007	1585_3005,1613_2992	0	0
1585_3005	1570_3009,1594_3007	0	0
1570_3009	1554_2988,1585_3005	0	0
1554_2988	1544_2965,1570_3009	0	0
1544_2965	1533_2948,1554_2988	0	0
1533_2948	1527_2939,1544_2965	0	0
1527_2939	1514_2953,1533_2948	0	0
1514_2953	1505_2955,1527_2939	0	0
1505_2955	1490_2964,1514_2953	0	0
1490_2964	1470_2966,1505_2955	0	0
1470_2966	1457_2983,1490_2964	0	0
1457_2983	1455_3004,1470_2966	0	0
1455_3004	1457_2983,1465_3015	0	0
1465_3015	1455_3004,1481_3025	0	0
1481_3025	1465_3015,1493_3051	0	0
1493_3051	1481_3025,1504_3063	0	0
1504_3063	1493_3051,1521_3083	0	0
1521_3083	1504_3063,1533_3095	0	0
1533_3095	1521_3083,1544_3109	0	0
1544_3109	1533_3095,1548_3119	0	0
1548_3119	1544_3109,1562_3132	0	0
1562_3132	1548_3119,1584_3154	0	0
1584_3154	1562_3132,1588_3142	0	0
1588_3142	1584_3154,1590_3130	0	0
1590_3130	1588_3142,1601_3131	0	0
1601_3131	1590_3130,1617_3122	0	0
1617_3122	1601_3131,1628_3122	0	0
1628_3122	1617_3122,1646_3137	0	0
1646_3137	1628_3122,1655_3148	0	0
1655_3148	1646_3137,1651_3164	0	0
1651_3164	1637_3182,1655_3148	0	0
1637_3182	1648_3199,1651_3164	0	0
1648_3199	1637_3182,1661_3211	0	0
1661_3211	1648_3199,1681_3197	0	0
1681_3197	1661_3211,1691_3203	0	0
1691_3203	1681_3197,1706_3221	0	0
1706_3221	1691_3203,1714_3240	0	0
1714_3240	1706_3221,1726_3252	0	0
1726_3252	1714_3240,1737_3250	0	0
1737_3250	1726_3252,1755_3237	0	0
1755_3237	1737_3250,1773_3227	0	0
1773_3227	1755_3237,1790_3221	0	0
1790_3221	1773_3227,1799_3207	0	0
1799_3207	1790_3221,1816_3192	0	0
1816_3192	1799_3207,1827_3181	0	0
1827_3181	1816_3192,1844_3165	0	0
1844_3165	1827_3181,1844_3139	0	0
1844_3139	1823_3118,1844_3165	0	0
1823_3118	1812_3102,1844_3139	0	0
1812_3102	1797_3087,1823_3118	0	0
1797_3087	1786_3069,1812_3102	0	0
1786_3069	1778_3057,1797_3087	0	0
1778_3057	1764_3038,1786_3069	0	0
1764_3038	1774_3017,1778_3057	0	0
1774_3017	1764_3038,1794_3012	0	0
1794_3012	1774_3017,1795_2997	0	0
1795_2997	1792_2977,1794_3012	0	0
1792_2977	1776_2959,1795_2997	0	0
1776_2959	1765_2957,1792_2977	0	0
1765_2957	1753_2950,1776_2959	0	0
1753_2950	1725_2925,1765_2957	0	0
1725_2925	1710_2909,1753_2950	0	0
1710_2909	1693_2910,1725_2925	0	0
1693_2910	1681_2900,1710_2909	0	0
1681_2900	1666_2880,1693_2910	0	0
1666_2880	1648_2855,1681_2900	0	0
1648_2855	1634_2830,1666_2880	0	0
1634_2830	1636_2819,1648_2855	0	0
1636_2819	1634_2830,1655_2805	0	0
1655_2805	1636_2819,1673_2792	0	0
1673_2792	1655_2805,1699_2780	0	0
1699_2780	1673_2792,1710_2790	0	0
1710_2790	1699_2780,1727_2814	0	0
1727_2814	1710_2790,1747_2835	0	0
1747_2835	1727_2814,1766_2857	0	0
1766_2857	1747_2835,1779_2869	0	0
1779_2869	1766_2857,1792_2882	0	0
1792_2882	1779_2869,1813_2906	0	0
1813_2906	1792_2882,1815_2926	0	0
1815_2926	1813_2906,1825_2952	0	0
1825_2952	1815_2926,1838_2973	0	0
1838_2973	1825_2952,1850_2993	0	0
1850_2993	1838_2973,1855_3011	0	0
1855_3011	1850_2993,1864_3033	0	0
1864_3033	1855_3011,1875_3049	0	0
1875_3049	1864_3033	0	0
