node_name	linked_nodes	is_exact	type
1605_3191	1617_3189	0	0
1617_3189	1605_3191,1631_3196	0	0
1631_3196	1617_3189,1640_3210	0	0
1640_3210	1631_3196,1654_3214	0	0
1654_3214	1640_3210,1668_3203	0	0
1668_3203	1654_3214,1672_3195	0	0
1672_3195	1661_3175,1668_3203	0	0
1661_3175	1648_3160,1672_3195	0	0
1648_3160	1634_3149,1661_3175	0	0
1634_3149	1625_3137,1648_3160	0	0
1625_3137	1613_3143,1634_3149	0	0
1613_3143	1600_3150,1625_3137	0	0
1600_3150	1585_3135,1613_3143	0	0
1585_3135	1569_3115,1600_3150	0	0
1569_3115	1562_3098,1585_3135	0	0
1562_3098	1569_3115,1581_3076	0	0
1581_3076	1562_3098,1600_3089	0	0
1600_3089	1581_3076,1618_3086	0	0
1618_3086	1600_3089,1633_3102	0	0
1633_3102	1618_3086,1644_3108	0	0
1644_3108	1633_3102,1670_3090	0	0
1670_3090	1644_3108,1688_3104	0	0
1688_3104	1670_3090,1701_3113	0	0
1701_3113	1688_3104,1715_3113	0	0
1715_3113	1701_3113,1732_3101	0	0
1732_3101	1715_3113,1732_3101,1746_3125,1747_3074,1747_3079	0	0
1747_3079	1732_3101,1739_3063,1747_3074	0	0
1739_3063	1729_3048,1737_3059,1747_3079	0	0
1729_3048	1724_3039,1739_3063	0	0
1724_3039	1710_3044,1724_3039,1728_3031,1729_3048,1737_3059	0	0
1710_3044	1693_3053,1724_3039	0	0
1693_3053	1680_3044,1710_3044	0	0
1680_3044	1672_3032,1693_3053	0	0
1672_3032	1675_3004,1680_3044	0	0
1675_3004	1672_3032,1694_2990	0	0
1694_2990	1675_3004,1714_2987	0	0
1714_2987	1694_2990,1728_2999	0	0
1728_2999	1714_2987,1733_3014	0	0
1733_3014	1728_2999,1728_3031	0	0
1728_3031	1724_3039,1733_3014	0	0
1737_3059	1724_3039,1739_3063,1747_3074	0	0
1747_3074	1732_3101,1737_3059,1747_3079	0	0
1746_3125	1732_3101,1770_3145	0	0
1770_3145	1746_3125,1792_3170	0	0
1792_3170	1770_3145,1808_3188	0	0
1808_3188	1792_3170,1800_3218	0	0
1800_3218	1788_3230,1808_3188	0	0
1788_3230	1800_3218,1807_3247	0	0
1807_3247	1788_3230,1813_3262	0	0
1813_3262	1797_3286,1807_3247	0	0
1797_3286	1784_3295,1813_3262	0	0
1784_3295	1772_3288,1797_3286	0	0
1772_3288	1758_3277,1784_3295	0	0
1758_3277	1742_3267,1772_3288	0	0
1742_3267	1728_3281,1758_3277	0	0
1728_3281	1713_3292,1742_3267	0	0
1713_3292	1716_3319,1728_3281	0	0
1716_3319	1713_3292,1733_3337	0	0
1733_3337	1716_3319,1719_3359	0	0
1719_3359	1707_3366,1733_3337	0	0
1707_3366	1696_3373,1719_3359	0	0
1696_3373	1707_3366	0	0
