node_name	linked_nodes	is_exact	type
1351_3097	1363_3115	0	0
1363_3115	1351_3097,1388_3106	0	0
1388_3106	1363_3115,1408_3085	0	0
1408_3085	1388_3106,1422_3062	0	0
1422_3062	1408_3085,1410_3043	0	0
1410_3043	1409_3024,1422_3062	0	0
1409_3024	1410_3043,1425_3005	0	0
1425_3005	1409_3024,1444_2985	0	0
1444_2985	1425_3005,1467_2998	0	0
1467_2998	1444_2985,1481_3023	0	0
1481_3023	1467_2998,1487_3022,1505_3007	0	0
1505_3007	1481_3023,1502_3003,1532_3021	0	0
1532_3021	1505_3007,1548_3018	0	0
1548_3018	1532_3021,1560_3017	0	0
1560_3017	1548_3018,1572_3037	0	0
1572_3037	1560_3017,1589_3051	0	0
1589_3051	1568_3028,1572_3037	0	0
1568_3028	1556_3008,1589_3051	0	0
1556_3008	1537_3028,1568_3028	0	0
1537_3028	1523_3017,1556_3008	0	0
1523_3017	1502_3003,1537_3028	0	0
1502_3003	1487_3022,1505_3007,1523_3017	0	0
1487_3022	1474_3031,1481_3023,1502_3003	0	0
1474_3031	1464_3057,1487_3022	0	0
1464_3057	1474_3031,1483_3079	0	0
1483_3079	1464_3057,1500_3095	0	0
1500_3095	1483_3079,1521_3113	0	0
1521_3113	1500_3095,1534_3119	0	0
1534_3119	1521_3113,1550_3105	0	0
1550_3105	1534_3119,1568_3091	0	0
1568_3091	1550_3105,1582_3097	0	0
1582_3097	1568_3091,1591_3111	0	0
1591_3111	1582_3097,1590_3128	0	0
1590_3128	1581_3138,1591_3111	0	0
1581_3138	1562_3156,1590_3128	0	0
1562_3156	1573_3180,1581_3138	0	0
1573_3180	1562_3156,1591_3201	0	0
1591_3201	1573_3180,1578_3206	0	0
1578_3206	1552_3228,1591_3201	0	0
1552_3228	1553_3210,1578_3206	0	0
1553_3210	1539_3193,1552_3228	0	0
1539_3193	1521_3185,1553_3210	0	0
1521_3185	1506_3166,1539_3193	0	0
1506_3166	1490_3154,1521_3185	0	0
1490_3154	1479_3156,1506_3166	0	0
1479_3156	1463_3169,1490_3154	0	0
1463_3169	1445_3159,1479_3156	0	0
1445_3159	1430_3141,1463_3169	0	0
1430_3141	1419_3132,1445_3159	0	0
1419_3132	1405_3119,1430_3141	0	0
1405_3119	1398_3109,1419_3132	0	0
1398_3109	1405_3119	0	0
