node_name	linked_nodes	is_exact	type
1618_3292	1617_3263	0	0
1617_3263	1608_3241,1618_3292	0	0
1608_3241	1617_3263,1620_3220	0	0
1620_3220	1608_3241,1637_3195	0	0
1637_3195	1620_3220,1649_3163	0	0
1649_3163	1637_3195,1656_3125	0	0
1656_3125	1642_3111,1649_3163,1651_3124	0	0
1642_3111	1623_3122,1656_3125	0	0
1623_3122	1611_3106,1630_3125,1642_3111	0	0
1611_3106	1623_3122,1630_3125	0	0
1630_3125	1611_3106,1623_3122,1651_3124	0	0
1651_3124	1630_3125,1656_3125,1672_3132	0	0
1672_3132	1651_3124,1698_3143	0	0
1698_3143	1672_3132,1709_3141	0	0
1709_3141	1698_3143,1720_3125	0	0
1720_3125	1709_3141,1727_3099	0	0
1727_3099	1720_3125,1751_3101	0	0
1751_3101	1727_3099,1751_3101,1759_3074,1759_3079,1763_3127	0	0
1759_3074	1751_3101,1759_3079,1762_3047	0	0
1762_3047	1759_3074,1760_3051,1762_3016	0	0
1762_3016	1746_2995,1747_2988,1760_3051,1762_3016,1762_3047	0	0
1746_2995	1745_2965,1747_2988,1762_3016	0	0
1745_2965	1742_2948,1746_2995	0	0
1742_2948	1745_2965,1747_2988	0	0
1747_2988	1742_2948,1746_2995,1762_3016	0	0
1760_3051	1759_3079,1762_3016,1762_3047	0	0
1759_3079	1751_3101,1759_3074,1760_3051	0	0
1763_3127	1751_3101,1751_3157	0	0
1751_3157	1734_3176,1763_3127	0	0
1734_3176	1716_3199,1751_3157	0	0
1716_3199	1710_3225,1734_3176	0	0
1710_3225	1716_3199,1724_3256	0	0
1724_3256	1710_3225,1754_3257	0	0
1754_3257	1724_3256,1761_3223	0	0
1761_3223	1754_3257,1781_3235	0	0
1781_3235	1761_3223,1810_3254	0	0
1810_3254	1781_3235,1823_3258	0	0
1823_3258	1808_3243,1810_3254	0	0
1808_3243	1790_3230,1823_3258	0	0
1790_3230	1772_3204,1808_3243	0	0
1772_3204	1783_3190,1790_3230	0	0
1783_3190	1772_3204,1794_3170	0	0
1794_3170	1783_3190,1803_3150	0	0
1803_3150	1794_3170,1803_3110	0	0
1803_3110	1803_3150,1811_3079	0	0
1811_3079	1803_3110,1832_3079	0	0
1832_3079	1811_3079,1847_3095	0	0
1847_3095	1832_3079,1862_3112	0	0
1862_3112	1847_3095,1874_3121	0	0
1874_3121	1862_3112,1895_3113	0	0
1895_3113	1874_3121,1914_3111	0	0
1914_3111	1895_3113,1937_3128	0	0
1937_3128	1914_3111,1958_3151	0	0
1958_3151	1937_3128,1981_3156	0	0
1981_3156	1958_3151,1988_3131	0	0
1988_3131	1981_3156,2009_3126	0	0
2009_3126	1988_3131,2030_3148	0	0
2030_3148	2009_3126,2043_3149	0	0
2043_3149	2030_3148,2045_3126	0	0
2045_3126	2043_3149,2059_3106	0	0
2059_3106	2045_3126,2059_3075	0	0
2059_3075	2042_3061,2059_3106	0	0
2042_3061	2025_3037,2059_3075	0	0
2025_3037	2003_3019,2042_3061	0	0
2003_3019	1984_2994,2025_3037	0	0
1984_2994	1977_2983,2003_3019	0	0
1977_2983	1982_2950,1984_2994	0	0
1982_2950	1977_2983,1988_2918	0	0
1988_2918	1982_2950,1988_2893	0	0
1988_2893	1988_2918,2000_2874	0	0
2000_2874	1988_2893,2012_2842	0	0
2012_2842	1996_2812,2000_2874	0	0
1996_2812	1986_2796,2012_2842	0	0
1986_2796	1996_2812,2003_2768	0	0
2003_2768	1986_2796,2017_2735	0	0
2017_2735	2000_2710,2003_2768	0	0
2000_2710	1988_2702,2017_2735	0	0
1988_2702	1979_2712,2000_2710	0	0
1979_2712	1969_2738,1988_2702	0	0
1969_2738	1957_2736,1979_2712	0	0
1957_2736	1939_2714,1969_2738	0	0
1939_2714	1922_2700,1957_2736	0	0
1922_2700	1906_2674,1939_2714	0	0
1906_2674	1896_2651,1922_2700	0	0
1896_2651	1903_2627,1906_2674	0	0
1903_2627	1896_2651,1900_2598	0	0
1900_2598	1888_2579,1903_2627	0	0
1888_2579	1868_2564,1900_2598	0	0
1868_2564	1845_2560,1888_2579	0	0
1845_2560	1827_2584,1868_2564	0	0
1827_2584	1807_2597,1845_2560	0	0
1807_2597	1804_2622,1827_2584	0	0
1804_2622	1807_2597,1812_2648	0	0
1812_2648	1804_2622,1831_2668	0	0
1831_2668	1812_2648,1849_2694	0	0
1849_2694	1831_2668,1861_2712	0	0
1861_2712	1849_2694,1852_2730	0	0
1852_2730	1854_2757,1861_2712	0	0
1854_2757	1852_2730,1866_2778	0	0
1866_2778	1854_2757,1864_2806	0	0
1864_2806	1857_2824,1866_2778	0	0
1857_2824	1838_2824,1864_2806	0	0
1838_2824	1821_2804,1857_2824	0	0
1821_2804	1806_2781,1838_2824	0	0
1806_2781	1793_2753,1821_2804	0	0
1793_2753	1777_2734,1806_2781	0	0
1777_2734	1762_2715,1793_2753	0	0
1762_2715	1744_2694,1777_2734	0	0
1744_2694	1730_2671,1762_2715	0	0
1730_2671	1714_2651,1744_2694	0	0
1714_2651	1714_2634,1730_2671	0	0
1714_2634	1714_2651,1720_2616	0	0
1720_2616	1714_2634,1725_2596	0	0
1725_2596	1720_2616	0	0
