node_name	linked_nodes	is_exact	type
1552_2928	1564_2918	0	0
1564_2918	1552_2928,1564_2894	0	0
1564_2894	1552_2873,1564_2918	0	0
1552_2873	1538_2854,1564_2894	0	0
1538_2854	1522_2860,1552_2873	0	0
1522_2860	1505_2878,1538_2854	0	0
1505_2878	1500_2892,1522_2860	0	0
1500_2892	1492_2913,1505_2878	0	0
1492_2913	1490_2938,1500_2892	0	0
1490_2938	1492_2913,1508_2956	0	0
1508_2956	1490_2938,1516_2979	0	0
1516_2979	1508_2956,1527_2991	0	0
1527_2991	1516_2979,1518_3017	0	0
1518_3017	1507_3030,1527_2991	0	0
1507_3030	1490_3053,1518_3017	0	0
1490_3053	1475_3078,1507_3030	0	0
1475_3078	1451_3074,1490_3053	0	0
1451_3074	1440_3090,1475_3078	0	0
1440_3090	1431_3113,1451_3074	0	0
1431_3113	1440_3090,1446_3134	0	0
1446_3134	1431_3113,1467_3146	0	0
1467_3146	1446_3134,1485_3164	0	0
1485_3164	1467_3146,1507_3176	0	0
1507_3176	1485_3164,1521_3167	0	0
1521_3167	1507_3176,1546_3179	0	0
1546_3179	1521_3167,1560_3183	0	0
1560_3183	1546_3179,1565_3156	0	0
1565_3156	1560_3183,1573_3140	0	0
1573_3140	1565_3156,1594_3117	0	0
1594_3117	1573_3140,1609_3088	0	0
1609_3088	1594_3117,1623_3074	0	0
1623_3074	1609_3088,1635_3077	0	0
1635_3077	1623_3074,1661_3071	0	0
1661_3071	1635_3077,1674_3060	0	0
1674_3060	1661_3071,1690_3046	0	0
1690_3046	1674_3060,1704_3038	0	0
1704_3038	1690_3046,1721_3058	0	0
1721_3058	1704_3038,1741_3070	0	0
1741_3070	1721_3058,1750_3078	0	0
1750_3078	1741_3070,1765_3061	0	0
1765_3061	1750_3078,1771_3054	0	0
1771_3054	1761_3027,1765_3061	0	0
1761_3027	1771_3002,1771_3054	0	0
1771_3002	1761_3027,1772_2978	0	0
1772_2978	1771_3002,1783_2953	0	0
1783_2953	1772_2978,1793_2933	0	0
1793_2933	1783_2953,1807_2932	0	0
1807_2932	1793_2933	0	0
