node_name	linked_nodes	is_exact	type
1784_2992	1807_3017	0	0
1807_3017	1784_2992,1827_3034	0	0
1827_3034	1807_3017,1851_3062	0	0
1851_3062	1827_3034,1863_3084	0	0
1863_3084	1851_3062,1863_3118	0	0
1863_3118	1863_3084,1870_3155	0	0
1870_3155	1863_3118,1881_3158	0	0
1881_3158	1870_3155,1895_3142	0	0
1895_3142	1881_3158,1912_3134	0	0
1912_3134	1895_3142,1930_3157	0	0
1930_3157	1912_3134,1943_3170	0	0
1943_3170	1930_3157,1941_3189	0	0
1941_3189	1933_3216,1943_3170	0	0
1933_3216	1927_3238,1941_3189	0	0
1927_3238	1912_3275,1933_3216	0	0
1912_3275	1899_3292,1927_3238	0	0
1899_3292	1884_3322,1912_3275	0	0
1884_3322	1870_3355,1899_3292	0	0
1870_3355	1855_3376,1884_3322	0	0
1855_3376	1833_3403,1870_3355	0	0
1833_3403	1828_3423,1855_3376	0	0
1828_3423	1819_3459,1833_3403	0	0
1819_3459	1812_3489,1828_3423	0	0
1812_3489	1819_3459,1823_3519	0	0
1823_3519	1812_3489,1842_3541	0	0
1842_3541	1823_3519,1861_3555	0	0
1861_3555	1842_3541,1883_3576	0	0
1883_3576	1861_3555,1899_3565	0	0
1899_3565	1883_3576,1921_3551	0	0
1921_3551	1899_3565,1936_3532	0	0
1936_3532	1921_3551,1949_3507	0	0
1949_3507	1936_3532,1954_3460	0	0
1954_3460	1949_3507,1987_3466	0	0
1987_3466	1954_3460,2002_3439	0	0
2002_3439	1987_3466,2026_3457	0	0
2026_3457	2002_3439,2052_3473	0	0
2052_3473	2026_3457,2065_3449	0	0
2065_3449	2052_3473,2086_3428	0	0
2086_3428	2065_3449,2104_3414	0	0
2104_3414	2086_3428,2118_3440	0	0
2118_3440	2104_3414,2140_3459	0	0
2140_3459	2118_3440,2154_3481	0	0
2154_3481	2140_3459,2154_3506	0	0
2154_3506	2131_3538,2154_3481	0	0
2131_3538	2112_3562,2154_3506	0	0
2112_3562	2096_3581,2131_3538	0	0
2096_3581	2069_3607,2112_3562	0	0
2069_3607	2055_3624,2096_3581	0	0
2055_3624	2022_3604,2069_3607	0	0
2022_3604	2012_3599,2055_3624	0	0
2012_3599	1787_2946,2022_3604	0	0
1787_2946	1774_2972,2012_3599	0	0
1774_2972	1753_2998,1787_2946	0	0
1753_2998	1734_3013,1774_2972	0	0
1734_3013	1715_3035,1753_2998	0	0
1715_3035	1702_3060,1734_3013	0	0
1702_3060	1695_3069,1715_3035	0	0
1695_3069	1669_3084,1702_3060	0	0
1669_3084	1660_3109,1695_3069	0	0
1660_3109	1669_3084,1683_3137	0	0
1683_3137	1660_3109,1669_3157	0	0
1669_3157	1646_3184,1683_3137	0	0
1646_3184	1626_3210,1669_3157	0	0
1626_3210	1638_3232,1646_3184	0	0
1638_3232	1626_3210,1654_3252	0	0
1654_3252	1638_3232,1677_3246	0	0
1677_3246	1654_3252,1689_3223	0	0
1689_3223	1677_3246,1703_3198	0	0
1703_3198	1689_3223,1719_3177	0	0
1719_3177	1703_3198,1737_3155	0	0
1737_3155	1719_3177,1730_3126	0	0
1730_3126	1737_3155	0	0
