node_name	linked_nodes	is_exact	type
1444_3162	1465_3169	0	0
1465_3169	1444_3162,1499_3177	0	0
1499_3177	1465_3169,1527_3178	0	0
1527_3178	1499_3177,1548_3180	0	0
1548_3180	1527_3178,1577_3185	0	0
1577_3185	1548_3180,1593_3179	0	0
1593_3179	1577_3185,1594_3145	0	0
1594_3145	1593_3125,1593_3179	0	0
1593_3125	1576_3128,1594_3145	0	0
1576_3128	1557_3115,1593_3125	0	0
1557_3115	1567_3082,1576_3128	0	0
1567_3082	1557_3115,1586_3055	0	0
1586_3055	1567_3082,1601_3030	0	0
1601_3030	1586_3055,1630_3026	0	0
1630_3026	1601_3030,1638_3024	0	0
1638_3024	1612_3013,1630_3026	0	0
1612_3013	1594_3007,1638_3024	0	0
1594_3007	1588_2996,1612_3013	0	0
1588_2996	1589_2973,1594_3007	0	0
1589_2973	1588_2996,1602_2939	0	0
1602_2939	1589_2973,1618_2924	0	0
1618_2924	1602_2939,1641_2920	0	0
1641_2920	1618_2924,1659_2909	0	0
1659_2909	1641_2920,1671_2867	0	0
1671_2867	1659_2909,1675_2851	0	0
1675_2851	1657_2840,1671_2867	0	0
1657_2840	1642_2837,1675_2851	0	0
1642_2837	1642_2805,1657_2840	0	0
1642_2805	1642_2837,1647_2777	0	0
1647_2777	1642_2805,1647_2764	0	0
1647_2764	1647_2777,1666_2758	0	0
1666_2758	1647_2764,1693_2750	0	0
1693_2750	1666_2758,1702_2728	0	0
1702_2728	1693_2750,1714_2707	0	0
1714_2707	1702_2728,1722_2685	0	0
1722_2685	1714_2707,1719_2671	0	0
1719_2671	1722_2685,1732_2649	0	0
1732_2649	1719_2671,1750_2629	0	0
1750_2629	1732_2649,1767_2611	0	0
1767_2611	1750_2629,1773_2597	0	0
1773_2597	1767_2611,1770_2585	0	0
1770_2585	1771_2549,1773_2597	0	0
1771_2549	1770_2585,1803_2558	0	0
1803_2558	1771_2549,1835_2558	0	0
1835_2558	1803_2558,1856_2561	0	0
1856_2561	1835_2558,1880_2554	0	0
1880_2554	1856_2561,1892_2555	0	0
1892_2555	1880_2554,1893_2590	0	0
1893_2590	1892_2555,1892_2618	0	0
1892_2618	1893_2590,1901_2643	0	0
1901_2643	1892_2618,1919_2671	0	0
1919_2671	1901_2643,1929_2691	0	0
