node_name	linked_nodes	is_exact	type
1583_3198	1562_3174	0	0
1562_3174	1547_3182,1583_3198	0	0
1547_3182	1535_3207,1562_3174	0	0
1535_3207	1547_3182,1555_3229	0	0
1555_3229	1535_3207,1554_3249	0	0
1554_3249	1544_3264,1555_3229	0	0
1544_3264	1522_3271,1554_3249	0	0
1522_3271	1509_3243,1544_3264	0	0
1509_3243	1502_3222,1522_3271	0	0
1502_3222	1509_3243,1511_3191	0	0
1511_3191	1502_3222,1518_3157	0	0
1518_3157	1511_3191,1527_3124	0	0
1527_3124	1518_3157,1537_3102	0	0
1537_3102	1524_3080,1527_3124	0	0
1524_3080	1509_3059,1537_3102	0	0
1509_3059	1496_3069,1507_3052,1524_3080	0	0
1496_3069	1474_3093,1509_3059	0	0
1474_3093	1460_3114,1478_3089,1496_3069	0	0
1460_3114	1441_3138,1447_3135,1460_3114,1474_3093,1478_3089	0	0
1441_3138	1422_3165,1438_3145,1447_3135,1460_3114	0	0
1422_3165	1406_3184,1441_3138	0	0
1406_3184	1394_3190,1410_3179,1422_3165	0	0
1394_3190	1369_3180,1406_3184	0	0
1369_3180	1354_3177,1394_3190	0	0
1354_3177	1343_3193,1369_3180	0	0
1343_3193	1339_3218,1354_3177	0	0
1339_3218	1328_3240,1343_3193	0	0
1328_3240	1328_3265,1339_3218	0	0
1328_3265	1328_3240,1348_3285	0	0
1348_3285	1328_3265,1368_3317	0	0
1368_3317	1348_3285,1378_3326	0	0
1378_3326	1368_3317,1390_3357	0	0
1390_3357	1378_3326,1412_3376	0	0
1412_3376	1390_3357,1425_3401	0	0
1425_3401	1412_3376,1437_3430	0	0
1437_3430	1425_3401,1450_3441	0	0
1450_3441	1437_3430,1465_3458	0	0
1465_3458	1450_3441,1480_3462	0	0
1480_3462	1465_3458,1480_3479	0	0
1480_3479	1480_3462,1492_3501	0	0
1492_3501	1480_3479,1509_3526	0	0
1509_3526	1492_3501,1518_3541	0	0
1518_3541	1509_3526,1525_3563	0	0
1525_3563	1518_3541,1545_3575	0	0
1545_3575	1525_3563,1566_3600	0	0
1566_3600	1545_3575,1579_3598	0	0
1579_3598	1566_3600,1590_3582	0	0
1590_3582	1579_3598,1600_3563	0	0
1600_3563	1590_3582,1616_3545	0	0
1616_3545	1600_3563,1622_3531	0	0
1622_3531	1616_3545,1637_3510	0	0
1637_3510	1622_3531,1650_3490	0	0
1650_3490	1637_3510,1657_3480	0	0
1657_3480	1650_3490,1675_3447	0	0
1675_3447	1657_3480,1689_3421	0	0
1689_3421	1675_3447,1706_3405	0	0
1706_3405	1689_3421,1719_3393	0	0
1719_3393	1706_3405,1724_3373	0	0
1724_3373	1719_3393,1739_3357	0	0
1739_3357	1724_3373,1758_3349	0	0
1758_3349	1739_3357,1771_3321	0	0
1771_3321	1758_3349,1779_3310	0	0
1779_3310	1771_3321,1789_3308	0	0
1789_3308	1779_3310,1802_3293	0	0
1802_3293	1789_3308,1813_3270	0	0
1813_3270	1802_3293,1825_3251	0	0
1825_3251	1813_3270,1840_3234	0	0
1840_3234	1825_3251,1834_3207	0	0
1834_3207	1827_3196,1840_3234	0	0
1827_3196	1813_3165,1834_3207	0	0
1813_3165	1798_3149,1827_3196	0	0
1798_3149	1778_3124,1813_3165	0	0
1778_3124	1755_3100,1798_3149	0	0
1755_3100	1740_3066,1778_3124	0	0
1740_3066	1729_3055,1755_3100	0	0
1729_3055	1713_3038,1740_3066	0	0
1713_3038	1701_3022,1729_3055	0	0
1701_3022	1689_3008,1713_3038	0	0
1689_3008	1678_3031,1701_3022	0	0
1678_3031	1666_3059,1689_3008	0	0
1666_3059	1652_3042,1678_3031	0	0
1652_3042	1650_3025,1666_3059	0	0
1650_3025	1637_2998,1652_3042	0	0
1637_2998	1623_2987,1650_3025	0	0
1623_2987	1610_2973,1637_2998	0	0
1610_2973	1603_2991,1623_2987	0	0
1603_2991	1594_2996,1610_2973	0	0
1594_2996	1580_2993,1603_2991	0	0
1580_2993	1570_2988,1594_2996	0	0
1570_2988	1565_2965,1580_2993	0	0
1565_2965	1556_2955,1570_2988	0	0
1556_2955	1542_2967,1565_2965	0	0
1542_2967	1538_2988,1556_2955	0	0
1538_2988	1529_3012,1542_2967	0	0
1529_3012	1513_3041,1538_2988	0	0
1513_3041	1507_3052,1529_3012	0	0
1507_3052	1487_3076,1509_3059,1513_3041	0	0
1487_3076	1478_3089,1507_3052	0	0
1478_3089	1460_3114,1474_3093,1487_3076	0	0
1447_3135	1438_3145,1441_3138,1460_3114	0	0
1438_3145	1410_3179,1441_3138,1447_3135	0	0
1410_3179	1383_3195,1406_3184,1438_3145	0	0
1383_3195	1390_3213,1410_3179	0	0
1390_3213	1383_3195,1409_3241	0	0
1409_3241	1390_3213,1430_3265	0	0
1430_3265	1409_3241,1441_3281	0	0
1441_3281	1430_3265,1447_3301	0	0
1447_3301	1441_3281,1456_3317	0	0
1456_3317	1447_3301,1465_3326	0	0
1465_3326	1456_3317,1486_3345	0	0
1486_3345	1465_3326,1490_3362	0	0
1490_3362	1486_3345,1502_3374	0	0
1502_3374	1490_3362,1514_3375	0	0
1514_3375	1502_3374,1526_3369	0	0
1526_3369	1514_3375,1530_3351	0	0
1530_3351	1526_3369,1543_3347	0	0
1543_3347	1530_3351,1565_3340	0	0
