node_name	linked_nodes	is_exact	type
1415_3397	1403_3381	0	0
1403_3381	1388_3366,1415_3397	0	0
1388_3366	1373_3346,1403_3381	0	0
1373_3346	1362_3326,1388_3366	0	0
1362_3326	1373_3346,1375_3305	0	0
1375_3305	1362_3326,1391_3287	0	0
1391_3287	1375_3305,1402_3274	0	0
1402_3274	1391_3287,1408_3266	0	0
1408_3266	1402_3274,1410_3254	0	0
1410_3254	1408_3266,1415_3234	0	0
1415_3234	1410_3254,1428_3219	0	0
1428_3219	1415_3234,1447_3218	0	0
1447_3218	1428_3219,1459_3230	0	0
1459_3230	1447_3218,1484_3260	0	0
1484_3260	1459_3230,1498_3268	0	0
1498_3268	1484_3260,1506_3259	0	0
1506_3259	1498_3268,1523_3252	0	0
1523_3252	1506_3259,1543_3260	0	0
1543_3260	1523_3252,1548_3248	0	0
1548_3248	1543_3260,680_2863	0	0
680_2863	1548_3248,709_2888	0	0
709_2888	680_2863,723_2907	0	0
723_2907	709_2888,718_2927	0	0
718_2927	707_2957,723_2907	0	0
707_2957	712_2972,718_2927	0	0
712_2972	707_2957,723_2986	0	0
723_2986	712_2972,735_3005	0	0
735_3005	723_2986,744_3018	0	0
744_3018	735_3005,757_3012	0	0
757_3012	744_3018,767_3015	0	0
767_3015	757_3012,778_3023	0	0
778_3023	767_3015,788_3038	0	0
788_3038	778_3023,802_3051	0	0
802_3051	788_3038,820_3071	0	0
820_3071	802_3051,826_3084	0	0
826_3084	820_3071,835_3077	0	0
835_3077	826_3084,852_3069	0	0
852_3069	835_3077,867_3053	0	0
867_3053	852_3069,884_3039	0	0
884_3039	867_3053,892_3033	0	0
892_3033	884_3039,905_3044	0	0
905_3044	892_3033,922_3057	0	0
922_3057	905_3044,938_3075	0	0
938_3075	922_3057,954_3094	0	0
954_3094	938_3075,968_3097	0	0
968_3097	954_3094,976_3091	0	0
976_3091	968_3097,988_3097	0	0
988_3097	1000_3110,976_3091	0	0
1000_3110	1012_3126,988_3097	0	0
1012_3126	1000_3110,1024_3149	0	0
1024_3149	1012_3126,1037_3139	0	0
1037_3139	1024_3149,1053_3130	0	0
1053_3130	1037_3139,1068_3114	0	0
1068_3114	1053_3130,1062_3093,1068_3114,1077_3126,958_2692	0	0
1062_3093	1061_3084,1068_3114	0	0
1061_3084	1062_3093,1064_3081,1070_3067	0	0
1070_3067	1061_3084,1072_3063,1081_3058	0	0
1081_3058	1070_3067,1096_3041	0	0
1096_3041	1081_3058,1087_3051,1096_3041,1112_3031	0	0
1112_3031	1096_3041,1112_3031,1122_3032	0	0
1122_3032	1112_3031	0	0
1087_3051	1072_3063,1096_3041	0	0
1072_3063	1064_3081,1070_3067,1087_3051	0	0
1064_3081	1041_3062,1061_3084,1072_3063	0	0
1041_3062	1030_3053,1064_3081	0	0
1030_3053	1018_3032,1041_3062	0	0
1018_3032	1025_3011,1030_3053	0	0
1025_3011	1018_3032,1039_2991	0	0
1039_2991	1025_3011,1042_2959	0	0
1042_2959	1039_2991,1041_2943	0	0
1041_2943	1026_2920,1042_2959	0	0
1026_2920	1017_2910,1041_2943	0	0
1017_2910	1026_2920,999_2886	0	0
999_2886	1002_2863,1017_2910	0	0
1002_2863	996_2832,999_2886	0	0
996_2832	1002_2863,974_2804	0	0
974_2804	951_2778,996_2832	0	0
951_2778	928_2750,974_2804	0	0
928_2750	928_2721,951_2778	0	0
928_2721	928_2750,941_2709	0	0
941_2709	928_2721,958_2692	0	0
958_2692	1068_3114,941_2709	0	0
1077_3126	1068_3114,1095_3140	0	0
1095_3140	1077_3126,1106_3155	0	0
1106_3155	1095_3140,1123_3149	0	0
1123_3149	1106_3155,1140_3137	0	0
1140_3137	1123_3149,1161_3120	0	0
1161_3120	1140_3137,1179_3128	0	0
1179_3128	1161_3120,1196_3146	0	0
1196_3146	1179_3128,1216_3149	0	0
1216_3149	1196_3146,1228_3138	0	0
1228_3138	1216_3149,1249_3131	0	0
1249_3131	1228_3138,1270_3138	0	0
1270_3138	1249_3131,1286_3153	0	0
1286_3153	1270_3138,1299_3155	0	0
1299_3155	1286_3153,1313_3162	0	0
1313_3162	1299_3155,1345_3194	0	0
1345_3194	1313_3162,1361_3195	0	0
1361_3195	1345_3194,1369_3197	0	0
1369_3197	1361_3195,1385_3184	0	0
1385_3184	1369_3197,1396_3176	0	0
1396_3176	1385_3184,1411_3170	0	0
1411_3170	1396_3176,1427_3184	0	0
1427_3184	1411_3170,1437_3192	0	0
1437_3192	1427_3184,1454_3209	0	0
1454_3209	1437_3192,1465_3183	0	0
1465_3183	1454_3209,1467_3141	0	0
1467_3141	1465_3183,1473_3117	0	0
1473_3117	1467_3141,1486_3102	0	0
1486_3102	1473_3117,1497_3086	0	0
1497_3086	1486_3102,1498_3059	0	0
1498_3059	1487_3038,1497_3086	0	0
1487_3038	1474_3025,1498_3059	0	0
1474_3025	1487_3038	0	0
