node_name	linked_nodes	is_exact	type
1522_2955	1514_2931	0	0
1514_2931	1522_2955,1527_2917	0	0
1527_2917	1514_2931,1536_2901	0	0
1536_2901	1527_2917,1530_2887	0	0
1530_2887	1522_2874,1536_2901	0	0
1522_2874	1530_2887,1532_2857	0	0
1532_2857	1522_2874,1544_2845	0	0
1544_2845	1532_2857,1542_2821	0	0
1542_2821	1544_2845,1557_2817	0	0
1557_2817	1542_2821,1571_2831	0	0
1571_2831	1557_2817,1588_2855	0	0
1588_2855	1571_2831,1594_2865	0	0
1594_2865	1583_2889,1588_2855	0	0
1583_2889	1580_2897,1594_2865	0	0
1580_2897	1583_2889,1600_2923	0	0
1600_2923	1580_2897,1615_2930	0	0
1615_2930	1600_2923,1634_2920	0	0
1634_2920	1615_2930,1645_2909	0	0
1645_2909	1634_2920,1645_2909,1647_2932,1649_2894,1664_2881	0	0
1664_2881	1645_2909,1649_2894,1664_2881,1680_2873,1681_2863	0	0
1680_2873	1664_2881,1677_2852	0	0
1677_2852	1667_2829,1675_2848,1680_2873	0	0
1667_2829	1664_2822,1667_2829,1670_2800,1675_2848,1677_2852	0	0
1664_2822	1667_2829,1670_2805	0	0
1670_2805	1664_2822,1670_2800,1677_2784	0	0
1677_2784	1665_2764,1670_2805,1676_2788	0	0
1665_2764	1665_2764,1676_2788,1677_2784,1679_2742	0	0
1679_2742	1665_2764	0	0
1676_2788	1665_2764,1670_2800,1677_2784	0	0
1670_2800	1667_2829,1670_2805,1676_2788	0	0
1675_2848	1667_2829,1677_2852,1681_2863	0	0
1681_2863	1664_2881,1675_2848	0	0
1649_2894	1645_2909,1664_2881	0	0
1647_2932	1645_2909,1662_2946	0	0
1662_2946	1647_2932,1682_2958	0	0
1682_2958	1662_2946,1696_2982	0	0
1696_2982	1682_2958,1691_3004	0	0
1691_3004	1688_3020,1696_2982	0	0
1688_3020	1676_3027,1691_3004	0	0
1676_3027	1658_3036,1688_3020	0	0
1658_3036	1651_3044,1676_3027	0	0
1651_3044	1628_3073,1658_3036	0	0
1628_3073	1638_3082,1651_3044	0	0
1638_3082	1628_3073,1657_3100	0	0
1657_3100	1638_3082,1675_3113	0	0
1675_3113	1657_3100,1690_3133	0	0
1690_3133	1675_3113,1701_3140	0	0
1701_3140	1690_3133,1714_3127	0	0
1714_3127	1701_3140,1726_3125	0	0
1726_3125	1714_3127,1745_3140	0	0
1745_3140	1726_3125,1755_3156	0	0
1755_3156	1745_3140,1762_3183	0	0
1762_3183	1755_3156,1757_3198	0	0
1757_3198	1762_3183	0	0
