node_name	linked_nodes	is_exact	type
1644_2906	1624_2928	0	0
1624_2928	1612_2945,1644_2906	0	0
1612_2945	1595_2942,1624_2928	0	0
1595_2942	1586_2930,1612_2945	0	0
1586_2930	1566_2909,1595_2942	0	0
1566_2909	1556_2902,1586_2930	0	0
1556_2902	1546_2886,1566_2909	0	0
1546_2886	1534_2900,1556_2902	0	0
1534_2900	1523_2900,1546_2886	0	0
1523_2900	1513_2894,1534_2900	0	0
1513_2894	1501_2892,1523_2900	0	0
1501_2892	1483_2900,1513_2894	0	0
1483_2900	1473_2906,1501_2892	0	0
1473_2906	1456_2924,1483_2900	0	0
1456_2924	1447_2953,1473_2906	0	0
1447_2953	1435_2968,1456_2924	0	0
1435_2968	1423_2970,1447_2953	0	0
1423_2970	1406_2990,1435_2968	0	0
1406_2990	1400_3006,1423_2970	0	0
1400_3006	1387_3001,1406_2990	0	0
1387_3001	1377_3002,1400_3006	0	0
1377_3002	1363_3023,1387_3001	0	0
1363_3023	1365_3045,1377_3002	0	0
1365_3045	1363_3023,1378_3068	0	0
1378_3068	1365_3045,1395_3080	0	0
1395_3080	1378_3068,1405_3077	0	0
1405_3077	1395_3080,1418_3077	0	0
1418_3077	1405_3077,1427_3063	0	0
1427_3063	1418_3077,1448_3057	0	0
1448_3057	1427_3063,1462_3059	0	0
1462_3059	1448_3057,1475_3063	0	0
1475_3063	1462_3059,1487_3081	0	0
1487_3081	1475_3063,1502_3100	0	0
1502_3100	1487_3081,1513_3090	0	0
1513_3090	1502_3100,1521_3080	0	0
1521_3080	1513_3090,1538_3069	0	0
1538_3069	1521_3080,1550_3057	0	0
1550_3057	1538_3069,1558_3041	0	0
1558_3041	1550_3057,1573_3035	0	0
1573_3035	1558_3041,1579_3002	0	0
1579_3002	1569_2985,1573_3035	0	0
1569_2985	1556_2964,1579_3002	0	0
1556_2964	1545_2959,1569_2985	0	0
1545_2959	1533_2970,1556_2964	0	0
1533_2970	1521_2968,1545_2959	0	0
1521_2968	1513_2981,1533_2970	0	0
1513_2981	1494_2987,1521_2968	0	0
1494_2987	1479_2975,1513_2981	0	0
1479_2975	1465_2983,1494_2987	0	0
1465_2983	1449_2962,1479_2975	0	0
1449_2962	1465_2983,1611_3332	0	0
1611_3332	1449_2962,1599_3296	0	0
1599_3296	1610_3296,1611_3332	0	0
1610_3296	1599_3296,1635_3289	0	0
1635_3289	1610_3296,1653_3281	0	0
1653_3281	1635_3289,1668_3269	0	0
1668_3269	1653_3281,1681_3248	0	0
1681_3248	1668_3269,1680_3219	0	0
1680_3219	1670_3188,1681_3248	0	0
1670_3188	1660_3163,1680_3219	0	0
1660_3163	1649_3142,1670_3188	0	0
1649_3142	1645_3129,1660_3163	0	0
1645_3129	1629_3133,1649_3142	0	0
1629_3133	1612_3146,1645_3129	0	0
1612_3146	1596_3150,1629_3133	0	0
1596_3150	1584_3142,1612_3146	0	0
1584_3142	1577_3117,1596_3150	0	0
1577_3117	1584_3142,1592_3100	0	0
1592_3100	1577_3117,1609_3088	0	0
1609_3088	1592_3100,1622_3080	0	0
1622_3080	1609_3088,1632_3064	0	0
1632_3064	1622_3080,1642_3046	0	0
1642_3046	1632_3064,1657_3070	0	0
1657_3070	1642_3046,1670_3085	0	0
1670_3085	1657_3070,1683_3107	0	0
1683_3107	1670_3085,1699_3126	0	0
1699_3126	1683_3107,1713_3144	0	0
1713_3144	1699_3126,1719_3160	0	0
1719_3160	1713_3144,1722_3177	0	0
1722_3177	1719_3160,1734_3205	0	0
1734_3205	1722_3177,1741_3226	0	0
1741_3226	1734_3205,1760_3250	0	0
1760_3250	1741_3226,1771_3244	0	0
1771_3244	1760_3250,1784_3232	0	0
1784_3232	1771_3244,1793_3217	0	0
1793_3217	1784_3232,1810_3204	0	0
1810_3204	1793_3217,1823_3191	0	0
1823_3191	1810_3204,1842_3178	0	0
1842_3178	1823_3191,1859_3162	0	0
1859_3162	1842_3178,1874_3147	0	0
1874_3147	1859_3162,1879_3120	0	0
1879_3120	1866_3094,1874_3147	0	0
1866_3094	1849_3083,1879_3120	0	0
1849_3083	1847_3066,1866_3094	0	0
1847_3066	1837_3039,1849_3083	0	0
1837_3039	1825_3018,1847_3066	0	0
1825_3018	1807_3001,1837_3039	0	0
1807_3001	1793_2982,1825_3018	0	0
1793_2982	1777_2960,1807_3001	0	0
1777_2960	1767_2946,1793_2982	0	0
1767_2946	1742_2926,1777_2960	0	0
1742_2926	1730_2909,1767_2946	0	0
1730_2909	1717_2908,1742_2926	0	0
1717_2908	1702_2880,1730_2909	0	0
1702_2880	1688_2862,1717_2908	0	0
1688_2862	1673_2839,1702_2880	0	0
1673_2839	1651_2844,1688_2862	0	0
1651_2844	1637_2826,1673_2839	0	0
1637_2826	1624_2834,1651_2844	0	0
1624_2834	1606_2846,1637_2826	0	0
1606_2846	1589_2843,1624_2834	0	0
1589_2843	1579_2857,1606_2846	0	0
1579_2857	1567_2861,1589_2843	0	0
1567_2861	1560_2870,1579_2857	0	0
1560_2870	1567_2861	0	0
