node_name	linked_nodes	is_exact	type
3351_3638	3351_3658	0	0
3351_3658	3351_3638,3358_3683	0	0
3358_3683	3351_3658,3361_3691	0	0
3361_3691	3358_3683,3385_3688	0	0
3385_3688	3361_3691,3406_3698	0	0
3406_3698	3385_3688,3421_3704	0	0
3421_3704	3406_3698,3423_3735	0	0
3423_3735	3403_3748,3421_3704	0	0
3403_3748	3380_3751,3423_3735	0	0
3380_3751	3365_3763,3403_3748	0	0
3365_3763	3349_3763,3380_3751	0	0
3349_3763	3327_3777,3365_3763	0	0
3327_3777	3305_3794,3349_3763	0	0
3305_3794	3270_3793,3327_3777	0	0
3270_3793	3254_3804,3305_3794	0	0
3254_3804	3237_3785,3270_3793	0	0
3237_3785	3211_3788,3254_3804	0	0
3211_3788	3186_3785,3237_3785	0	0
3186_3785	3163_3783,3211_3788	0	0
3163_3783	3144_3794,3186_3785	0	0
3144_3794	3132_3826,3163_3783	0	0
3132_3826	3144_3794,3152_3834	0	0
3152_3834	3132_3826,3174_3855	0	0
3174_3855	3152_3834,3188_3860	0	0
3188_3860	3174_3855,3191_3886	0	0
3191_3886	3188_3860,3191_3924	0	0
3191_3924	3191_3886,3197_3962	0	0
3197_3962	3178_3983,3191_3924	0	0
3178_3983	3163_4007,3197_3962	0	0
3163_4007	3149_4034,3178_3983	0	0
3149_4034	3150_4067,3163_4007	0	0
3150_4067	3149_4034,3153_4100	0	0
3153_4100	3150_4067,3162_4121	0	0
3162_4121	3153_4100,3162_4165	0	0
3162_4165	3162_4121,3169_4198	0	0
3169_4198	3162_4165,3172_4228	0	0
3172_4228	3164_4250,3169_4198	0	0
3164_4250	3172_4228,3189_4280	0	0
3189_4280	3164_4250,3218_4284	0	0
3218_4284	3189_4280,3239_4284	0	0
3239_4284	3218_4284,3240_4315	0	0
3240_4315	3239_4284,3239_4309,3245_4345	0	0
3245_4345	3239_4309,3240_4315,3245_4345,3247_4365,3250_4373	0	0
3250_4373	3245_4345,3250_4397	0	0
3250_4397	3247_4365,3250_4373,3250_4397,3263_4418	0	0
3263_4418	3250_4397	0	0
3247_4365	3245_4345,3250_4397	0	0
3239_4309	3240_4315,3242_4275,3245_4345	0	0
3242_4275	3239_4309,3262_4257	0	0
3262_4257	3242_4275,3276_4235	0	0
3276_4235	3262_4257,3304_4209	0	0
3304_4209	3276_4235,3322_4168	0	0
3322_4168	3304_4209,3337_4130	0	0
3337_4130	3322_4168,3352_4091	0	0
3352_4091	3337_4130,3388_4087	0	0
3388_4087	3352_4091,3408_4099	0	0
3408_4099	3388_4087,3428_4071	0	0
3428_4071	3408_4099,3458_4067	0	0
3458_4067	3428_4071,3479_4073	0	0
3479_4073	3099_3966,3458_4067	0	0
3099_3966	3110_3950,3479_4073	0	0
3110_3950	3099_3966,3106_3920	0	0
3106_3920	3105_3882,3110_3950	0	0
3105_3882	3100_3853,3106_3920	0	0
3100_3853	3093_3831,3105_3882	0	0
3093_3831	3098_3800,3100_3853	0	0
3098_3800	3093_3831,3104_3765	0	0
3104_3765	3098_3800,3118_3741	0	0
3118_3741	3104_3765,3120_3708	0	0
3120_3708	3118_3741,3123_3671	0	0
3123_3671	3120_3708,3125_3637	0	0
3125_3637	3123_3671,3134_3606	0	0
3134_3606	3125_3637,3153_3589	0	0
3153_3589	3134_3606,3177_3593	0	0
3177_3593	3153_3589,3211_3604	0	0
3211_3604	3177_3593,3232_3604	0	0
3232_3604	3211_3604,3249_3602	0	0
3249_3602	3232_3604,3270_3595	0	0
3270_3595	3249_3602,3278_3595	0	0
3278_3595	3270_3595,3280_3624	0	0
3280_3624	3278_3595,3295_3627	0	0
3295_3627	3280_3624,3326_3616	0	0
3326_3616	3295_3627,3346_3628	0	0
3346_3628	3326_3616,3370_3621	0	0
3370_3621	3346_3628,3395_3616	0	0
3395_3616	3370_3621,3414_3611	0	0
3414_3611	3395_3616,3424_3615	0	0
3424_3615	3414_3611,3424_3608,3436_3623	0	0
3436_3623	3424_3615,3443_3631	0	0
3443_3631	3424_3608,3436_3623	0	0
3424_3608	3424_3575,3424_3615,3443_3631	0	0
3424_3575	3424_3608,3430_3542	0	0
3430_3542	3424_3575,3426_3509	0	0
3426_3509	3418_3487,3430_3542	0	0
3418_3487	3403_3473,3426_3509	0	0
3403_3473	3383_3482,3418_3487	0	0
3383_3482	3369_3473,3403_3473	0	0
3369_3473	3352_3482,3383_3482	0	0
3352_3482	3369_3473	0	0
