node_name	linked_nodes	is_exact	type
1783_3314	1799_3332	0	0
1799_3332	1783_3314,1788_3346	0	0
1788_3346	1776_3359,1799_3332	0	0
1776_3359	1768_3369,1788_3346	0	0
1768_3369	1776_3359,1787_3390	0	0
1787_3390	1768_3369,1800_3400	0	0
1800_3400	1787_3390,1815_3420	0	0
1815_3420	1800_3400,1810_3434	0	0
1810_3434	1815_3420,1823_3447	0	0
1823_3447	1810_3434,1835_3464	0	0
1835_3464	1823_3447,1857_3484	0	0
1857_3484	1835_3464,1868_3495	0	0
1868_3495	1857_3484,1877_3507	0	0
1877_3507	1868_3495,1890_3514	0	0
1890_3514	1877_3507,1909_3537	0	0
1909_3537	1890_3514,1923_3521	0	0
1923_3521	1909_3537,1935_3507	0	0
1935_3507	1923_3521,1947_3516	0	0
1947_3516	1935_3507,1960_3504	0	0
1960_3504	1947_3516,1982_3485	0	0
1982_3485	1960_3504,2002_3469	0	0
2002_3469	1982_3485,2014_3450	0	0
2014_3450	2002_3469,2018_3432	0	0
2018_3432	2010_3421,2014_3450	0	0
2010_3421	2000_3416,2018_3432	0	0
2000_3416	1994_3415,2010_3421	0	0
1994_3415	1982_3425,2000_3416	0	0
1982_3425	1968_3440,1994_3415	0	0
1968_3440	1950_3453,1982_3425	0	0
1950_3453	1935_3473,1968_3440	0	0
1935_3473	1920_3488,1950_3453	0	0
1920_3488	1907_3475,1935_3473	0	0
1907_3475	1900_3467,1902_3471,1920_3488	0	0
1900_3467	1895_3464,1902_3471,1907_3475,1912_3453	0	0
1912_3453	1900_3467,1911_3457,1925_3441	0	0
1925_3441	1912_3453,1921_3444,1940_3426	0	0
1940_3426	1925_3441,1935_3429,1955_3410	0	0
1955_3410	1940_3426,1958_3401	0	0
1958_3401	1599_3197,1947_3422,1951_3396,1955_3410,1958_3401	0	0
1951_3396	1958_3401,1963_3379	0	0
1963_3379	1951_3396,1970_3369	0	0
1970_3369	1959_3351,1963_3379	0	0
1959_3351	1968_3329,1970_3369	0	0
1968_3329	1951_3309,1959_3351	0	0
1951_3309	1940_3299,1968_3329	0	0
1940_3299	1932_3301,1951_3309	0	0
1932_3301	1918_3315,1940_3299	0	0
1918_3315	1908_3326,1932_3301	0	0
1908_3326	1908_3339,1918_3315	0	0
1908_3339	1897_3356,1908_3326	0	0
1897_3356	1906_3371,1908_3339	0	0
1906_3371	1897_3356,1919_3384	0	0
1919_3384	1906_3371,1924_3391	0	0
1924_3391	1909_3408,1919_3384	0	0
1909_3408	1893_3424,1924_3391	0	0
1893_3424	1878_3447,1909_3408	0	0
1878_3447	1893_3424,1895_3464	0	0
1895_3464	1878_3447,1900_3467,1902_3471	0	0
1902_3471	1895_3464,1900_3467,1907_3475,1911_3457	0	0
1911_3457	1902_3471,1912_3453,1921_3444	0	0
1921_3444	1911_3457,1925_3441,1935_3429	0	0
1935_3429	1921_3444,1940_3426,1947_3422	0	0
1947_3422	1935_3429,1958_3401	0	0
1599_3197	1610_3194,1958_3401	0	0
1610_3194	1599_3197,1625_3208	0	0
1625_3208	1610_3194,1614_3225	0	0
1614_3225	1625_3208,1632_3241	0	0
1632_3241	1614_3225,1642_3241	0	0
1642_3241	1632_3241,1650_3234	0	0
1650_3234	1642_3241,1664_3241	0	0
1664_3241	1650_3234,1674_3254	0	0
1674_3254	1664_3241,1674_3266	0	0
1674_3266	1664_3279,1674_3254	0	0
1664_3279	1647_3296,1674_3266	0	0
1647_3296	1660_3315,1664_3279	0	0
1660_3315	1647_3296,1669_3313	0	0
1669_3313	1660_3315,1679_3299	0	0
1679_3299	1669_3313,1690_3299	0	0
1690_3299	1679_3299,1699_3288	0	0
1699_3288	1690_3299,1703_3277	0	0
1703_3277	1699_3288,1718_3263	0	0
1718_3263	1703_3277,1729_3257	0	0
1729_3257	1718_3263,1734_3236	0	0
1734_3236	1723_3218,1729_3257	0	0
1723_3218	1731_3203,1734_3236	0	0
1731_3203	1723_3218,1741_3189	0	0
1741_3189	1731_3203,1737_3179	0	0
1737_3179	1719_3159,1741_3189	0	0
1719_3159	1711_3149,1737_3179	0	0
1711_3149	1719_3159,1725_3134	0	0
1725_3134	1711_3149,1736_3127	0	0
1736_3127	1725_3134,1747_3128	0	0
1747_3128	1736_3127,1759_3141	0	0
1759_3141	1747_3128,1769_3148	0	0
1769_3148	1759_3141,1780_3132	0	0
1780_3132	1769_3148,1788_3137	0	0
1788_3137	1780_3132,1805_3157	0	0
1805_3157	1788_3137,1792_3174	0	0
1792_3174	1785_3184,1805_3157	0	0
1785_3184	1772_3195,1792_3174	0	0
1772_3195	1769_3204,1785_3184	0	0
1769_3204	1772_3195,1782_3219	0	0
1782_3219	1769_3204,1791_3235	0	0
1791_3235	1780_3249,1782_3219	0	0
1780_3249	1769_3263,1791_3235	0	0
1769_3263	1763_3270,1780_3249	0	0
1763_3270	1743_3287,1769_3263	0	0
1743_3287	1744_3299,1763_3270	0	0
1744_3299	1731_3315,1743_3287	0	0
1731_3315	1722_3324,1744_3299	0	0
1722_3324	1731_3315,1733_3336	0	0
1733_3336	1722_3324,1744_3347	0	0
1744_3347	1733_3336,1740_3360	0	0
1740_3360	1730_3372,1744_3347	0	0
1730_3372	1719_3362,1740_3360	0	0
1719_3362	1705_3348,1730_3372	0	0
1705_3348	1691_3334,1719_3362	0	0
1691_3334	1702_3320,1705_3348	0	0
1702_3320	1691_3334	0	0
