node_name	linked_nodes	is_exact	type
1696_2911	1712_2909	0	0
1712_2909	1696_2911,1724_2919	0	0
1724_2919	1712_2909,1738_2935	0	0
1738_2935	1724_2919,1751_2934	0	0
1751_2934	1738_2935,1762_2936	0	0
1762_2936	1751_2934,1761_2929,1764_2942,1765_2914	0	0
1765_2914	1762_2936,1770_2913,1778_2915	0	0
1778_2915	1765_2914,1770_2913,1776_2894,1778_2915,1793_2896	0	0
1776_2894	1775_2883,1778_2915	0	0
1775_2883	1765_2886,1776_2894	0	0
1765_2886	1754_2880,1775_2883	0	0
1754_2880	1741_2870,1765_2886	0	0
1741_2870	1729_2860,1754_2880	0	0
1729_2860	1717_2849,1741_2870	0	0
1717_2849	1700_2836,1729_2860	0	0
1700_2836	1685_2827,1717_2849	0	0
1685_2827	1669_2812,1700_2836	0	0
1669_2812	1657_2805,1685_2827	0	0
1657_2805	1645_2814,1669_2812	0	0
1645_2814	1630_2834,1657_2805	0	0
1630_2834	1617_2826,1632_2830,1645_2814	0	0
1617_2826	1600_2818,1608_2812,1617_2826,1630_2834,1632_2830	0	0
1608_2812	1604_2796,1617_2826	0	0
1604_2796	1608_2812,1609_2779	0	0
1609_2779	1604_2796,1619_2758	0	0
1619_2758	1609_2779,1620_2732	0	0
1620_2732	1603_2720,1619_2758	0	0
1603_2720	1592_2717,1620_2732	0	0
1592_2717	1574_2701,1603_2720	0	0
1574_2701	1570_2697,1592_2717	0	0
1570_2697	1574_2701,1575_2679	0	0
1575_2679	1570_2697,1577_2664	0	0
1577_2664	1562_2659,1575_2679	0	0
1562_2659	1549_2658,1577_2664	0	0
1549_2658	1537_2664,1562_2659	0	0
1537_2664	1518_2659,1549_2658	0	0
1518_2659	1506_2670,1537_2664	0	0
1506_2670	1492_2667,1518_2659	0	0
1492_2667	1471_2669,1506_2670	0	0
1471_2669	1467_2691,1492_2667	0	0
1467_2691	1471_2669,1480_2703	0	0
1480_2703	1467_2691,1485_2718	0	0
1485_2718	1480_2703,1494_2740	0	0
1494_2740	1485_2718,1503_2760	0	0
1503_2760	1494_2740,1503_2760,1522_2765	0	0
1522_2765	1503_2760,1525_2778	0	0
1525_2778	1522_2765,1523_2803	0	0
1523_2803	1520_2816,1525_2778	0	0
1520_2816	1510_2819,1523_2803	0	0
1510_2819	1497_2832,1520_2816	0	0
1497_2832	1500_2850,1510_2819	0	0
1500_2850	1497_2832,1517_2871	0	0
1517_2871	1500_2850,1531_2881	0	0
1531_2881	1517_2871,1538_2867	0	0
1538_2867	1531_2881,1547_2842	0	0
1547_2842	1538_2867,1569_2844	0	0
1569_2844	1547_2842,1581_2845	0	0
1581_2845	1569_2844,1591_2843	0	0
1591_2843	1581_2845,1600_2818	0	0
1600_2818	1591_2843,1617_2826	0	0
1632_2830	1617_2826,1630_2834,1641_2827	0	0
1641_2827	1632_2830,1786_2823	0	0
1786_2823	1641_2827,1799_2844	0	0
1799_2844	1786_2823,1799_2860	0	0
1799_2860	1784_2885,1799_2844	0	0
1784_2885	1793_2896,1799_2860	0	0
1793_2896	1778_2915,1784_2885	0	0
1770_2913	1761_2929,1765_2914,1778_2915	0	0
1761_2929	1762_2936,1764_2942,1770_2913	0	0
1764_2942	1761_2929,1762_2936,1773_2962	0	0
1773_2962	1764_2942,1770_2984	0	0
1770_2984	1759_2997,1773_2962	0	0
1759_2997	1745_2999,1770_2984	0	0
1745_2999	1726_3006,1759_2997	0	0
1726_3006	1707_2993,1745_2999	0	0
1707_2993	1696_2983,1726_3006	0	0
1696_2983	1684_2968,1707_2993	0	0
1684_2968	1672_2962,1689_2968,1696_2983	0	0
1672_2962	1659_2985,1672_2968,1684_2968	0	0
1659_2985	1652_3010,1672_2962	0	0
1652_3010	1643_3033,1659_2985	0	0
1643_3033	1652_3010,1652_3046	0	0
1652_3046	1643_3033,1650_3062	0	0
1650_3062	1638_3078,1652_3046	0	0
1638_3078	1647_3091,1650_3062	0	0
1647_3091	1638_3078,1646_3106	0	0
1646_3106	1637_3110,1647_3091	0	0
1637_3110	1625_3124,1646_3106	0	0
1625_3124	1610_3138,1637_3110	0	0
1610_3138	1618_3152,1625_3124	0	0
1618_3152	1610_3138,1626_3166	0	0
1626_3166	1618_3152,1638_3177	0	0
1638_3177	1626_3166,1632_3189	0	0
1632_3189	1622_3200,1638_3177	0	0
1622_3200	1610_3210,1632_3189	0	0
1610_3210	1601_3204,1622_3200	0	0
1601_3204	1586_3207,1610_3210	0	0
1586_3207	1567_3199,1601_3204	0	0
1567_3199	1555_3187,1586_3207	0	0
1555_3187	1537_3175,1567_3199	0	0
1537_3175	1519_3176,1555_3187	0	0
1519_3176	1506_3176,1537_3175	0	0
1506_3176	1495_3172,1519_3176	0	0
1495_3172	1495_3168,1495_3172,1506_3176	0	0
1495_3168	1479_3151,1495_3172	0	0
1479_3151	1487_3124,1495_3168	0	0
1487_3124	1479_3151,1504_3108	0	0
1504_3108	1487_3124,1523_3099	0	0
1523_3099	1504_3108,1527_3063	0	0
1527_3063	1523_3099,1533_3047	0	0
1533_3047	1527_3063,1529_3015	0	0
1529_3015	1533_3047,1549_3001	0	0
1549_3001	1529_3015,1572_2995	0	0
1572_2995	1549_3001,1585_2991	0	0
1585_2991	1572_2995,1613_2978	0	0
1613_2978	1585_2991,1629_2986	0	0
1629_2986	1613_2978,1644_3000	0	0
1644_3000	1629_2986,1663_2978	0	0
1663_2978	1644_3000,1672_2968	0	0
1672_2968	1663_2978,1672_2962,1689_2968	0	0
1689_2968	1672_2968,1684_2968,1699_2967	0	0
1699_2967	1689_2968,1708_2952	0	0
1708_2952	1699_2967,1708_2929	0	0
1708_2929	1708_2952	0	0
