node_name	linked_nodes	is_exact	type
1551_2992	1541_3013	0	0
1541_3013	1539_3038,1551_2992	0	0
1539_3038	1541_3013,1547_3060	0	0
1547_3060	1534_3075,1539_3038	0	0
1534_3075	1517_3086,1547_3060	0	0
1517_3086	1503_3102,1534_3075	0	0
1503_3102	1509_3117,1517_3086	0	0
1509_3117	1503_3102,1505_3119,1528_3138	0	0
1528_3138	1505_3119,1509_3117,1528_3138,1543_3140,1546_3135	0	0
1546_3135	1528_3138,1543_3140,1566_3133	0	0
1566_3133	1546_3135,1558_3133,1583_3132	0	0
1583_3132	1566_3133,1600_3109	0	0
1600_3109	1583_3132,1619_3100	0	0
1619_3100	1600_3109,1637_3086	0	0
1637_3086	1619_3100,1654_3094	0	0
1654_3094	1637_3086,1663_3094	0	0
1663_3094	1647_3084,1654_3094,1663_3094,1675_3094,1681_3082	0	0
1675_3094	1663_3094,1694_3092	0	0
1694_3092	1675_3094,1702_3113	0	0
1702_3113	1694_3092,1713_3130	0	0
1713_3130	1702_3113,1705_3143,1711_3124	0	0
1705_3143	1711_3124,1713_3130	0	0
1711_3124	1696_3101,1705_3143,1713_3130	0	0
1696_3101	1681_3082,1711_3124	0	0
1681_3082	1663_3094,1696_3101	0	0
1647_3084	1631_3064,1663_3094	0	0
1631_3064	1634_3038,1647_3084	0	0
1634_3038	1631_3064,1636_3032	0	0
1636_3032	1634_3038,1649_3015	0	0
1649_3015	1636_3032,1646_2994	0	0
1646_2994	1631_2972,1649_3015	0	0
1631_2972	1616_2952,1646_2994	0	0
1616_2952	1593_2936,1631_2972	0	0
1593_2936	1584_2914,1616_2952	0	0
1584_2914	1593_2936,1594_2892	0	0
1594_2892	1584_2914,1605_2890	0	0
1605_2890	1420_3001,1594_2892	0	0
1420_3001	1414_3022,1605_2890	0	0
1414_3022	1414_3036,1420_3001	0	0
1414_3036	1414_3022,1427_3057	0	0
1427_3057	1414_3036,1454_3067	0	0
1454_3067	1427_3057,1471_3081	0	0
1471_3081	1454_3067,1487_3102	0	0
1487_3102	1471_3081,1505_3119	0	0
1505_3119	1487_3102,1509_3117,1528_3138	0	0
1543_3140	1528_3138,1546_3135,1558_3133	0	0
1558_3133	1543_3140,1566_3133,1574_3130	0	0
1574_3130	1558_3133,1584_3143	0	0
1584_3143	1574_3130,1591_3156	0	0
1591_3156	1584_3143,1595_3177	0	0
1595_3177	1585_3199,1591_3156	0	0
1585_3199	1570_3212,1595_3177	0	0
1570_3212	1556_3226,1585_3199	0	0
1556_3226	1552_3249,1570_3212	0	0
1552_3249	1556_3226,1566_3267	0	0
1566_3267	1552_3249,1589_3288	0	0
1589_3288	1566_3267,1602_3266	0	0
1602_3266	1589_3288,1618_3251	0	0
1618_3251	1602_3266,1633_3241	0	0
1633_3241	1618_3251,1650_3232	0	0
1650_3232	1633_3241,1674_3250	0	0
1674_3250	1650_3232,1689_3269	0	0
1689_3269	1674_3250,1712_3284	0	0
1712_3284	1689_3269,1734_3284	0	0
1734_3284	1712_3284,1756_3270	0	0
1756_3270	1734_3284,1767_3250	0	0
1767_3250	1756_3270,1795_3243	0	0
1795_3243	1767_3250,1791_3243,1817_3232	0	0
1817_3232	1795_3243,1828_3216	0	0
1828_3216	1817_3232,1833_3214,1850_3201	0	0
1850_3201	1828_3216,1833_3214,1850_3201,1857_3177	0	0
1857_3177	1842_3158,1846_3158,1850_3201,1857_3177	0	0
1846_3158	1834_3147,1842_3158,1857_3177	0	0
1834_3147	1842_3158,1846_3158	0	0
1842_3158	1834_3147,1846_3158,1857_3177	0	0
1833_3214	1807_3225,1828_3216,1850_3201	0	0
1807_3225	1791_3243,1833_3214	0	0
1791_3243	1782_3222,1795_3243,1807_3225	0	0
1782_3222	1770_3205,1791_3243	0	0
1770_3205	1773_3183,1782_3222	0	0
1773_3183	1767_3170,1770_3205	0	0
1767_3170	1754_3154,1773_3183	0	0
1754_3154	1763_3138,1767_3170	0	0
1763_3138	1754_3154,1772_3128	0	0
1772_3128	1763_3138	0	0
