node_name	linked_nodes	is_exact	type
1698_3408	1684_3390	0	0
1684_3390	1667_3391,1698_3408	0	0
1667_3391	1643_3389,1684_3390	0	0
1643_3389	1633_3382,1667_3391	0	0
1633_3382	1614_3371,1643_3389	0	0
1614_3371	1598_3364,1633_3382	0	0
1598_3364	1583_3363,1614_3371	0	0
1583_3363	1566_3365,1598_3364	0	0
1566_3365	1551_3377,1583_3363	0	0
1551_3377	1541_3370,1566_3365	0	0
1541_3370	1524_3349,1551_3377	0	0
1524_3349	1507_3321,1541_3370	0	0
1507_3321	1486_3298,1524_3349	0	0
1486_3298	1482_3275,1507_3321	0	0
1482_3275	1469_3246,1486_3298	0	0
1469_3246	1462_3232,1482_3275	0	0
1462_3232	1443_3247,1469_3246	0	0
1443_3247	1433_3244,1462_3232	0	0
1433_3244	1417_3227,1443_3247	0	0
1417_3227	1406_3208,1433_3244	0	0
1406_3208	1417_3227,1420_3194	0	0
1420_3194	1406_3208,1420_3177	0	0
1420_3177	1398_3150,1420_3194	0	0
1398_3150	1392_3142,1420_3177	0	0
1392_3142	1384_3126,1398_3150	0	0
1384_3126	1368_3120,1392_3142	0	0
1368_3120	1352_3113,1384_3126	0	0
1352_3113	1332_3097,1368_3120	0	0
1332_3097	1315_3109,1352_3113	0	0
1315_3109	1298_3096,1332_3097	0	0
1298_3096	1284_3078,1315_3109	0	0
1284_3078	1270_3063,1298_3096	0	0
1270_3063	1281_3040,1284_3078	0	0
1281_3040	1270_3063,1303_3039	0	0
1303_3039	1281_3040,1323_3035	0	0
1323_3035	1303_3039,1336_3033	0	0
1336_3033	1323_3035,1350_3020	0	0
1350_3020	1336_3033,1355_3001	0	0
1355_3001	1350_3020,1379_2997	0	0
1379_2997	1355_3001,1401_2988	0	0
1401_2988	1379_2997,1426_2987	0	0
1426_2987	1401_2988,1439_2995	0	0
1439_2995	1426_2987,1456_3002	0	0
1456_3002	1439_2995,1469_3025	0	0
1469_3025	1456_3002,1481_3054	0	0
1481_3054	1469_3025,1490_3067	0	0
1490_3067	1481_3054,1494_3092	0	0
1494_3092	1490_3067,1498_3116	0	0
1498_3116	1494_3092,1513_3121	0	0
1513_3121	1498_3116,1523_3144	0	0
1523_3144	1513_3121,1527_3148	0	0
1527_3148	1523_3144,1537_3142	0	0
1537_3142	1527_3148,1548_3127	0	0
1548_3127	1537_3142,1558_3117	0	0
1558_3117	1548_3127,1575_3107	0	0
1575_3107	1558_3117,1594_3105	0	0
1594_3105	1575_3107,1614_3105	0	0
1614_3105	1594_3105,1632_3119	0	0
1632_3119	1614_3105,1641_3130	0	0
1641_3130	1632_3119,1650_3141	0	0
1650_3141	1641_3130,1658_3170	0	0
1658_3170	1650_3141,1672_3187	0	0
1672_3187	1657_3201,1658_3170	0	0
1657_3201	1672_3187	0	0
