node_name	linked_nodes	is_exact	type
3549_6220	3531_6216,3549_6220,3559_6230,3636_6266	0	0
3531_6216	3545_6202,3549_6220	0	0
3545_6202	3504_6160,3531_6216,3536_6195,3545_6202,3553_6193	0	0
3536_6195	3499_6156,3545_6202	0	0
3499_6156	3476_6129,3504_6160,3536_6195	0	0
3476_6129	3458_6112,3499_6156	0	0
3458_6112	3429_6085,3476_6129	0	0
3429_6085	3409_6052,3458_6112	0	0
3409_6052	3429_6085,3432_6060	0	0
3432_6060	3409_6052,3445_6043	0	0
3445_6043	3432_6060,3460_6032	0	0
3460_6032	3445_6043,3485_6011	0	0
3485_6011	3460_6032,3520_6008	0	0
3520_6008	3485_6011,3545_5983	0	0
3545_5983	3520_6008,3569_5974	0	0
3569_5974	3545_5983,3594_5981	0	0
3594_5981	3569_5974,3608_5967	0	0
3608_5967	3594_5981,3619_5963	0	0
3619_5963	3608_5967,3632_5922	0	0
3632_5922	3597_5898,3619_5963	0	0
3597_5898	3567_5868,3632_5922	0	0
3567_5868	3540_5869,3597_5898	0	0
3540_5869	3515_5873,3567_5868	0	0
3515_5873	3499_5821,3540_5869	0	0
3499_5821	3476_5788,3515_5873	0	0
3476_5788	3459_5760,3499_5821	0	0
3459_5760	3469_5719,3476_5788	0	0
3469_5719	3459_5760,3496_5698	0	0
3496_5698	3469_5719,3519_5677	0	0
3519_5677	3496_5698,3549_5643	0	0
3549_5643	3519_5677,3579_5663	0	0
3579_5663	3549_5643,3594_5706	0	0
3594_5706	3579_5663,3615_5738	0	0
3615_5738	3594_5706,3617_5788	0	0
3617_5788	3615_5738,3640_5824	0	0
3640_5824	3617_5788,3664_5843	0	0
3664_5843	3640_5824,3681_5850	0	0
3681_5850	3664_5843,3707_5841	0	0
3707_5841	3681_5850,3723_5872	0	0
3723_5872	3707_5841,3726_5913	0	0
3726_5913	3723_5872,3751_5939	0	0
3751_5939	3726_5913,3755_5945	0	0
3755_5945	3751_5939,3765_5985	0	0
3765_5985	3755_5945,3787_6013	0	0
3787_6013	3765_5985,3775_6030	0	0
3775_6030	3782_6063,3787_6013	0	0
3782_6063	3775_6030,3782_6096	0	0
3782_6096	3765_6138,3782_6063	0	0
3765_6138	3766_6184,3782_6096	0	0
3766_6184	3765_6138,3774_6230	0	0
3774_6230	3766_6184,3783_6271	0	0
3783_6271	3772_6317,3774_6230	0	0
3772_6317	3758_6340,3783_6271	0	0
3758_6340	3727_6333,3772_6317	0	0
3727_6333	3717_6300,3758_6340	0	0
3717_6300	3706_6278,3727_6333	0	0
3706_6278	3693_6251,3717_6300	0	0
