node_name	linked_nodes	is_exact	type
2287_3805	2307_3794	0	0
2307_3794	2287_3805,2323_3781	0	0
2323_3781	2307_3794,2352_3770	0	0
2352_3770	2323_3781,2363_3758	0	0
2363_3758	2352_3770,2379_3764	0	0
2379_3764	2363_3758,2403_3784	0	0
2403_3784	2379_3764,2424_3796	0	0
2424_3796	2403_3784,2442_3803	0	0
2442_3803	2424_3796,2455_3816	0	0
2455_3816	2442_3803,2461_3849	0	0
2461_3849	2455_3816,2466_3885	0	0
2466_3885	2448_3909,2461_3849	0	0
2448_3909	2430_3932,2466_3885	0	0
2430_3932	2411_3956,2448_3909	0	0
2411_3956	2388_3962,2430_3932	0	0
2388_3962	2383_3992,2411_3956	0	0
2383_3992	2367_4020,2388_3962	0	0
2367_4020	2383_3992,2387_4045	0	0
2387_4045	2367_4020,2407_4065	0	0
2407_4065	2387_4045,2424_4068	0	0
2424_4068	2407_4065,2433_4091	0	0
2433_4091	2424_4068,2434_4116	0	0
2434_4116	2433_4091,2446_4146	0	0
2446_4146	2434_4116,2464_4159	0	0
2464_4159	2446_4146,2479_4159	0	0
2479_4159	2464_4159,2487_4181	0	0
2487_4181	2479_4159,2502_4206	0	0
2502_4206	2487_4181,2519_4232	0	0
2519_4232	2502_4206,2528_4263	0	0
2528_4263	2519_4232,2538_4290	0	0
2538_4290	2528_4263,2538_4320	0	0
2538_4320	2538_4290,2562_4338	0	0
2562_4338	2538_4320,2581_4368	0	0
2581_4368	2562_4338,2593_4388	0	0
2593_4388	2581_4368,2605_4376	0	0
2605_4376	2593_4388,2623_4361	0	0
2623_4361	2605_4376,2639_4343	0	0
2639_4343	2623_4361,2658_4318	0	0
2658_4318	2639_4343,2671_4295	0	0
2671_4295	2658_4318,2684_4291	0	0
2684_4291	2671_4295,2689_4268	0	0
2689_4268	2684_4291,2700_4243	0	0
2700_4243	2689_4268,2714_4221	0	0
2714_4221	2700_4243,2727_4200	0	0
2727_4200	2714_4221,2743_4169	0	0
2743_4169	2727_4200,2757_4138	0	0
2757_4138	2743_4169,2766_4121	0	0
2766_4121	2757_4138,2773_4104	0	0
2773_4104	2766_4121,2774_4077	0	0
2774_4077	2773_4104,2781_4054	0	0
2781_4054	2774_4077,2775_4024	0	0
2775_4024	2758_3989,2781_4054	0	0
2758_3989	2744_3966,2775_4024	0	0
2744_3966	2730_3964,2758_3989	0	0
2730_3964	2713_3965,2744_3966	0	0
2713_3965	2715_3944,2730_3964	0	0
2715_3944	2710_3975,2713_3965	0	0
2710_3975	2688_3993,2715_3944	0	0
2688_3993	2664_3997,2710_3975	0	0
2664_3997	2651_4002,2688_3993	0	0
2651_4002	2639_4013,2664_3997	0	0
2639_4013	2622_4014,2651_4002	0	0
2622_4014	2595_4010,2639_4013	0	0
2595_4010	2254_3920,2622_4014	0	0
2254_3920	2270_3905,2595_4010	0	0
2270_3905	2254_3920,2279_3883	0	0
2279_3883	2270_3905,2277_3855	0	0
2277_3855	2277_3819,2279_3883	0	0
2277_3819	2268_3804,2277_3855	0	0
2268_3804	2253_3788,2277_3819	0	0
2253_3788	2238_3780,2268_3804	0	0
2238_3780	2219_3766,2253_3788	0	0
2219_3766	2212_3760,2238_3780	0	0
2212_3760	2191_3751,2219_3766	0	0
2191_3751	2175_3738,2212_3760	0	0
2175_3738	2157_3733,2191_3751	0	0
2157_3733	2147_3725,2175_3738	0	0
2147_3725	2133_3743,2157_3733	0	0
2133_3743	2118_3757,2147_3725	0	0
2118_3757	2105_3776,2133_3743	0	0
2105_3776	2089_3782,2118_3757	0	0
2089_3782	2071_3800,2105_3776	0	0
2071_3800	2050_3783,2089_3782	0	0
2050_3783	2031_3775,2071_3800	0	0
2031_3775	2017_3761,2050_3783	0	0
2017_3761	1996_3743,2031_3775	0	0
1996_3743	1981_3767,2017_3761	0	0
1981_3767	1962_3786,1996_3743	0	0
1962_3786	1945_3798,1981_3767	0	0
1945_3798	1937_3805,1962_3786	0	0
1937_3805	1913_3819,1945_3798	0	0
1913_3819	1898_3818,1937_3805	0	0
1898_3818	1884_3820,1913_3819	0	0
1884_3820	1886_3844,1898_3818	0	0
1886_3844	1884_3820,1896_3869	0	0
1896_3869	1883_3895,1886_3844	0	0
1883_3895	1889_3890,1894_3913,1896_3869	0	0
1894_3913	1883_3895,1900_3923	0	0
1900_3923	1886_3947,1894_3913	0	0
1886_3947	1881_3975,1900_3923	0	0
1881_3975	1886_3947,1889_4008	0	0
1889_4008	1881_3975,1888_4037	0	0
1888_4037	1889_4008,1896_4064	0	0
1896_4064	1888_4037,1905_4097	0	0
1905_4097	1896_4064,1923_4130	0	0
1923_4130	1905_4097,1946_4148	0	0
1946_4148	1923_4130,1960_4137	0	0
1960_4137	1946_4148,1979_4123	0	0
1979_4123	1960_4137,1996_4110	0	0
1996_4110	1979_4123,2007_4098	0	0
2007_4098	1996_4110,2024_4112	0	0
2024_4112	2007_4098,2054_4109	0	0
2054_4109	2024_4112,2067_4116	0	0
2067_4116	2054_4109,2064_4139	0	0
2064_4139	2048_4160,2067_4116	0	0
2048_4160	2026_4182,2064_4139	0	0
2026_4182	2008_4201,2048_4160	0	0
2008_4201	2006_4213,2026_4182	0	0
2006_4213	1995_4251,2008_4201	0	0
1995_4251	1971_4263,2006_4213	0	0
1971_4263	1952_4273,1995_4251	0	0
1952_4273	1930_4270,1971_4263	0	0
1930_4270	1911_4290,1952_4273	0	0
1911_4290	1899_4322,1930_4270	0	0
1899_4322	1906_4349,1911_4290	0	0
1906_4349	1899_4322,1907_4380	0	0
1907_4380	1906_4349,1911_4411	0	0
1911_4411	1788_3893,1907_4380	0	0
1788_3893	1787_3909,1911_4411	0	0
1787_3909	1788_3893,1795_3922	0	0
1795_3922	1787_3909,1801_3943	0	0
1801_3943	1795_3922,1811_3952	0	0
1811_3952	1801_3943,1817_3949	0	0
1817_3949	1811_3952,1824_3913	0	0
1824_3913	1817_3949,1835_3891	0	0
1835_3891	1824_3913,1858_3887	0	0
1858_3887	1835_3891,1874_3895	0	0
1874_3895	1858_3887,1889_3890	0	0
1889_3890	1874_3895,1883_3895,1893_3857	0	0
1893_3857	1885_3834,1889_3890	0	0
1885_3834	1882_3798,1893_3857	0	0
1882_3798	1881_3756,1885_3834	0	0
1881_3756	1879_3729,1882_3798	0	0
1879_3729	1875_3688,1881_3756	0	0
1875_3688	1867_3690,1879_3729	0	0
1867_3690	1851_3687,1875_3688	0	0
1851_3687	1840_3682,1867_3690	0	0
1840_3682	1822_3673,1851_3687	0	0
1822_3673	1805_3682,1840_3682	0	0
1805_3682	1784_3699,1822_3673	0	0
1784_3699	1769_3722,1805_3682	0	0
1769_3722	1756_3733,1784_3699	0	0
1756_3733	1740_3724,1769_3722	0	0
1740_3724	1717_3704,1756_3733	0	0
1717_3704	1698_3698,1740_3724	0	0
1698_3698	1683_3719,1717_3704	0	0
1683_3719	1669_3743,1698_3698	0	0
1669_3743	1667_3756,1683_3719	0	0
1667_3756	1669_3743,1673_3781	0	0
1673_3781	1667_3756,1674_3807	0	0
1674_3807	1673_3781,1682_3830	0	0
1682_3830	1674_3807,1696_3852	0	0
1696_3852	1682_3830,1707_3882	0	0
1707_3882	1696_3852,1714_3899	0	0
1714_3899	1707_3882	0	0
