node_name	linked_nodes	is_exact	type
1790_3144	1774_3161,1790_3144,1800_3156,1810_3120	0	0
1774_3161	1768_3168,1790_3144	0	0
1768_3168	1772_3190,1774_3161	0	0
1772_3190	1752_3206,1768_3168	0	0
1752_3206	1743_3219,1772_3190	0	0
1743_3219	1734_3212,1752_3206	0	0
1734_3212	1725_3203,1743_3219	0	0
1725_3203	1721_3179,1734_3212	0	0
1721_3179	1721_3163,1725_3203	0	0
1721_3163	1721_3179,1727_3159	0	0
1727_3159	1721_3163,1740_3145	0	0
1740_3145	1727_3159,1752_3136	0	0
1752_3136	1740_3145,1757_3116	0	0
1757_3116	1743_3096,1752_3136	0	0
1743_3096	1724_3081,1757_3116	0	0
1724_3081	1714_3079,1743_3096	0	0
1714_3079	1696_3089,1724_3081	0	0
1696_3089	1680_3107,1714_3079	0	0
1680_3107	1672_3116,1696_3089	0	0
1672_3116	1658_3131,1680_3107	0	0
1658_3131	1640_3144,1672_3116	0	0
1640_3144	1627_3160,1658_3131	0	0
1627_3160	1609_3178,1640_3144	0	0
1609_3178	1589_3200,1627_3160	0	0
1589_3200	1594_3213,1609_3178	0	0
1594_3213	1589_3200,1599_3225	0	0
1599_3225	1594_3213,1618_3232	0	0
1618_3232	1599_3225,1632_3250	0	0
1632_3250	1618_3232,1649_3270	0	0
1649_3270	1632_3250,1661_3283	0	0
1661_3283	1649_3270,1674_3299	0	0
1674_3299	1661_3283,1752_3372	0	0
1752_3372	1674_3299,1763_3361	0	0
1763_3361	1752_3372,1788_3336	0	0
1788_3336	1763_3361,1798_3318	0	0
1798_3318	1788_3336,1809_3314	0	0
1809_3314	1798_3318,1824_3328	0	0
1824_3328	1809_3314,1831_3318	0	0
1831_3318	1824_3328,1835_3307	0	0
1835_3307	1831_3318,1844_3301	0	0
1844_3301	1835_3307,1855_3294	0	0
1855_3294	1844_3301,1863_3280	0	0
1863_3280	1855_3294,1883_3268	0	0
1883_3268	1863_3280,1893_3259	0	0
1893_3259	1883_3268,1906_3247	0	0
1906_3247	1893_3259,1921_3230	0	0
1921_3230	1906_3247,1930_3218	0	0
1930_3218	1921_3230,1941_3205	0	0
1941_3205	1930_3192,1930_3218	0	0
1930_3192	1922_3181,1941_3205	0	0
1922_3181	1907_3169,1930_3192	0	0
1907_3169	1889_3152,1922_3181	0	0
1889_3152	1875_3136,1907_3169	0	0
1875_3136	1860_3124,1889_3152	0	0
1860_3124	1839_3105,1875_3136	0	0
1839_3105	1822_3116,1860_3124	0	0
1822_3116	1810_3120,1839_3105	0	0
1810_3120	1790_3144,1822_3116	0	0
1800_3156	1790_3144,1812_3161	0	0
1812_3161	1800_3156,1834_3151	0	0
1834_3151	1812_3161,1845_3152	0	0
1845_3152	1834_3151,1863_3168	0	0
1863_3168	1845_3152,1875_3180	0	0
1875_3180	1863_3168,1886_3194	0	0
1886_3194	1875_3180,1887_3212	0	0
1887_3212	1868_3231,1886_3194	0	0
1868_3231	1850_3247,1887_3212	0	0
1850_3247	1834_3263,1868_3231	0	0
1834_3263	1821_3271,1850_3247	0	0
1821_3271	1802_3259,1834_3263	0	0
1802_3259	1793_3247,1821_3271	0	0
1793_3247	1798_3231,1802_3259	0	0
1798_3231	1793_3247,1815_3215	0	0
1815_3215	1798_3231,1833_3197	0	0
1833_3197	1815_3215	0	0
