node_name	linked_nodes	is_exact	type
1757_3080	1770_3080	0	0
1770_3080	1757_3080,1784_3098	0	0
1784_3098	1770_3080,1801_3111	0	0
1801_3111	1784_3098,1804_3125	0	0
1804_3125	1788_3145,1801_3111	0	0
1788_3145	1779_3153,1804_3125	0	0
1779_3153	1767_3144,1788_3145	0	0
1767_3144	1759_3139,1779_3153	0	0
1759_3139	1743_3129,1767_3144	0	0
1743_3129	1731_3112,1759_3139	0	0
1731_3112	1718_3098,1743_3129	0	0
1718_3098	1704_3085,1731_3112	0	0
1704_3085	1718_3068,1718_3098	0	0
1718_3068	1704_3085,1731_3052	0	0
1731_3052	1718_3068,1758_3028	0	0
1758_3028	1731_3052,1772_3032	0	0
1772_3032	1758_3028,1789_3053	0	0
1789_3053	1772_3032,1813_3070	0	0
1813_3070	1789_3053,1829_3094	0	0
1829_3094	1813_3070,1846_3109	0	0
1846_3109	1829_3094,1861_3125	0	0
1861_3125	1846_3109,1879_3134	0	0
1879_3134	1861_3125,1895_3161	0	0
1895_3161	1879_3134,1908_3170	0	0
1908_3170	1895_3161,1926_3191	0	0
1926_3191	1908_3170,1936_3210	0	0
1936_3210	1921_3227,1926_3191	0	0
1921_3227	1891_3253,1936_3210	0	0
1891_3253	1884_3268,1921_3227	0	0
1884_3268	1867_3251,1879_3265,1891_3253	0	0
1867_3251	1864_3244,1871_3227,1884_3268	0	0
1871_3227	1867_3251,1889_3212	0	0
1889_3212	1871_3227,1876_3186	0	0
1876_3186	1855_3172,1889_3212	0	0
1855_3172	1841_3190,1876_3186	0	0
1841_3190	1818_3211,1855_3172	0	0
1818_3211	1806_3231,1841_3190	0	0
1806_3231	1816_3246,1818_3211	0	0
1816_3246	1806_3231,1829_3261	0	0
1829_3261	1816_3246,1846_3259	0	0
1846_3259	1829_3261,1864_3244	0	0
1864_3244	1846_3259,1867_3251,1879_3265	0	0
1879_3265	1864_3244,1874_3282,1884_3268	0	0
1874_3282	1864_3284,1879_3265	0	0
1864_3284	1849_3305,1874_3282	0	0
1849_3305	1830_3322,1864_3284	0	0
1830_3322	1823_3325,1849_3305	0	0
1823_3325	1830_3322,1853_3120	0	0
1853_3120	1823_3325,1840_3138	0	0
1840_3138	1818_3157,1853_3120	0	0
1818_3157	1807_3170,1840_3138	0	0
1807_3170	1790_3196,1818_3157	0	0
1790_3196	1771_3201,1807_3170	0	0
1771_3201	1753_3181,1790_3196	0	0
1753_3181	1736_3164,1771_3201	0	0
1736_3164	1718_3149,1753_3181	0	0
1718_3149	1705_3135,1736_3164	0	0
1705_3135	1690_3117,1718_3149	0	0
1690_3117	1679_3115,1705_3135	0	0
1679_3115	1660_3131,1690_3117	0	0
1660_3131	1642_3143,1679_3115	0	0
1642_3143	1632_3160,1660_3131	0	0
1632_3160	1621_3177,1642_3143	0	0
1621_3177	1632_3160,1637_3189	0	0
1637_3189	1621_3177,1648_3202	0	0
1648_3202	1637_3189,1660_3217	0	0
1660_3217	1648_3202,1650_3231	0	0
1650_3231	1634_3251,1660_3217	0	0
1634_3251	1650_3231,1650_3270	0	0
1650_3270	1634_3251,1664_3289	0	0
1664_3289	1650_3270,1674_3302	0	0
1674_3302	1664_3289,1683_3310	0	0
1683_3310	1674_3302,1696_3315	0	0
1696_3315	1683_3310,1707_3326	0	0
1707_3326	1696_3315,1722_3339	0	0
1722_3339	1707_3326,1735_3355	0	0
1735_3355	1722_3339,1754_3371	0	0
1754_3371	1735_3355,1765_3376	0	0
1765_3376	1754_3371,1782_3367	0	0
1782_3367	1765_3376	0	0
