node_name	linked_nodes	is_exact	type
1698_3184	1713_3170	0	0
1713_3170	1698_3184,1729_3160	0	0
1729_3160	1713_3170,1745_3137	0	0
1745_3137	1729_3160,1756_3129	0	0
1756_3129	1745_3137,1775_3108	0	0
1775_3108	1756_3129,1792_3120	0	0
1792_3120	1775_3108,1804_3137	0	0
1804_3137	1792_3120,1822_3156	0	0
1822_3156	1804_3137,1806_3175	0	0
1806_3175	1787_3195,1822_3156	0	0
1787_3195	1768_3210,1806_3175	0	0
1768_3210	1752_3226,1787_3195	0	0
1752_3226	1742_3241,1768_3210	0	0
1742_3241	1752_3226,1756_3258	0	0
1756_3258	1742_3241,1772_3269	0	0
1772_3269	1756_3258,1779_3281	0	0
1779_3281	1772_3269,1791_3282	0	0
1791_3282	1779_3281,1808_3269	0	0
1808_3269	1791_3282,1826_3247	0	0
1826_3247	1808_3269,1837_3240	0	0
1837_3240	1826_3247,1839_3224	0	0
1839_3224	1829_3206,1837_3240	0	0
1829_3206	1837_3188,1839_3224	0	0
1837_3188	1829_3206,1852_3178	0	0
1852_3178	1837_3188,1870_3163	0	0
1870_3163	1852_3178,1884_3162	0	0
1884_3162	1870_3163,1893_3177	0	0
1893_3177	1884_3162,1911_3191	0	0
1911_3191	1893_3177,1929_3213	0	0
1929_3213	1911_3191,1954_3238	0	0
1954_3238	1929_3213,1967_3249	0	0
1967_3249	1954_3238,1971_3263	0	0
1971_3263	1963_3283,1967_3249	0	0
1963_3283	1945_3298,1971_3263	0	0
1945_3298	1928_3320,1963_3283	0	0
1928_3320	1911_3329,1945_3298	0	0
1911_3329	1889_3355,1928_3320	0	0
1889_3355	1867_3371,1911_3329	0	0
1867_3371	1855_3394,1889_3355	0	0
1855_3394	1832_3409,1867_3371	0	0
1832_3409	1825_3416,1855_3394	0	0
1825_3416	1804_3405,1825_3416,1832_3409,1844_3443,1902_3281	0	0
1804_3405	1804_3397,1825_3416	0	0
1804_3397	1786_3378,1804_3405	0	0
1786_3378	1773_3370,1804_3397	0	0
1773_3370	1754_3356,1786_3378	0	0
1754_3356	1739_3335,1773_3370	0	0
1739_3335	1720_3315,1754_3356	0	0
1720_3315	1729_3297,1739_3335	0	0
1729_3297	1720_3315,1748_3294	0	0
1748_3294	1729_3297,1762_3309	0	0
1762_3309	1748_3294,1784_3324	0	0
1784_3324	1762_3309,1801_3345	0	0
1801_3345	1784_3324,1816_3356	0	0
1816_3356	1801_3345,1831_3341	0	0
1831_3341	1816_3356,1848_3326	0	0
1848_3326	1831_3341,1857_3312	0	0
1857_3312	1846_3297,1848_3326	0	0
1846_3297	1839_3285,1857_3312	0	0
1839_3285	1846_3297,1852_3267	0	0
1852_3267	1839_3285,1871_3250	0	0
1871_3250	1852_3267,1883_3261	0	0
1883_3261	1871_3250,1902_3281	0	0
1902_3281	1825_3416,1883_3261	0	0
1844_3443	1825_3416,1861_3453	0	0
1861_3453	1844_3443,1876_3473	0	0
1876_3473	1861_3453,1900_3495	0	0
1900_3495	1876_3473,1911_3477	0	0
1911_3477	1900_3495,1930_3453	0	0
1930_3453	1911_3477,1917_3440	0	0
1917_3440	1910_3432,1930_3453	0	0
1910_3432	1891_3443,1901_3442,1910_3432,1917_3440,1923_3446	0	0
1891_3443	1881_3428,1910_3432	0	0
1881_3428	1878_3414,1879_3407,1881_3428,1891_3443,1901_3442	0	0
1879_3407	1878_3414,1881_3428,1885_3404,1896_3394	0	0
1896_3394	1879_3407,1913_3378	0	0
1913_3378	1896_3394,1932_3360	0	0
1932_3360	1913_3378,1932_3366,1954_3380	0	0
1954_3380	1932_3360,1964_3381	0	0
1964_3381	1932_3366,1954_3380	0	0
1932_3366	1924_3365,1932_3360,1964_3381	0	0
1924_3365	1904_3386,1932_3366	0	0
1904_3386	1885_3404,1924_3365	0	0
1885_3404	1878_3414,1879_3407,1904_3386	0	0
1878_3414	1879_3407,1881_3428,1885_3404	0	0
1901_3442	1881_3428,1910_3432	0	0
1923_3446	1910_3432,1945_3466	0	0
1945_3466	1923_3446,1954_3481	0	0
1954_3481	1945_3466,1950_3495	0	0
1950_3495	1954_3481,1965_3513	0	0
1965_3513	1950_3495,1976_3510	0	0
1976_3510	1965_3513,1987_3500	0	0
1987_3500	1976_3510,2001_3477	0	0
2001_3477	1987_3500,2032_3453	0	0
2032_3453	2001_3477,2057_3428	0	0
2057_3428	2032_3453,2076_3409	0	0
2076_3409	2057_3428,2094_3390	0	0
2094_3390	2076_3409,2113_3375	0	0
2113_3375	2094_3390,2130_3353	0	0
2130_3353	2113_3375,2144_3343	0	0
2144_3343	2130_3353,2155_3329	0	0
2155_3329	2144_3343,2171_3315	0	0
2171_3315	2153_3300,2155_3329	0	0
2153_3300	2135_3277,2171_3315	0	0
2135_3277	2121_3257,2153_3300	0	0
2121_3257	2099_3237,2135_3277	0	0
2099_3237	2078_3220,2121_3257	0	0
2078_3220	2056_3203,2099_3237	0	0
2056_3203	2045_3201,2078_3220	0	0
2045_3201	2019_3218,2056_3203	0	0
2019_3218	2005_3239,2045_3201	0	0
2005_3239	1991_3228,2019_3218	0	0
1991_3228	1974_3205,2005_3239	0	0
1974_3205	1946_3186,1991_3228	0	0
1946_3186	1932_3168,1974_3205	0	0
1932_3168	1946_3186,1947_3153	0	0
1947_3153	1932_3168,1959_3152	0	0
1959_3152	1947_3153,1975_3163	0	0
1975_3163	1959_3152,1991_3186	0	0
1991_3186	1975_3163,2001_3186	0	0
2001_3186	1991_3186,2012_3183	0	0
2012_3183	2001_3186,2017_3160	0	0
2017_3160	2003_3143,2012_3183	0	0
2003_3143	1993_3136,2017_3160	0	0
1993_3136	1972_3115,2003_3143	0	0
1972_3115	1960_3099,1993_3136	0	0
1960_3099	1949_3100,1972_3115	0	0
1949_3100	1939_3095,1960_3099	0	0
1939_3095	1926_3071,1949_3100	0	0
1926_3071	1917_3057,1939_3095	0	0
1917_3057	1909_3053,1926_3071	0	0
1909_3053	1897_3032,1917_3057	0	0
1897_3032	1882_3020,1909_3053	0	0
1882_3020	1862_3004,1897_3032	0	0
1862_3004	1849_2986,1882_3020	0	0
1849_2986	1834_2978,1862_3004	0	0
1834_2978	1830_2962,1849_2986	0	0
1830_2962	1834_2978,1846_2943	0	0
1846_2943	1830_2962,1862_2926	0	0
1862_2926	1846_2943,1879_2905	0	0
1879_2905	1862_2926,1894_2889	0	0
1894_2889	1879_2905,1911_2875	0	0
1911_2875	1894_2889,1927_2859	0	0
1927_2859	1911_2875,1942_2849	0	0
1942_2849	1927_2859,1958_2861	0	0
1958_2861	1942_2849,1963_2871	0	0
1963_2871	1947_2891,1958_2861	0	0
1947_2891	1934_2901,1963_2871	0	0
1934_2901	1917_2921,1947_2891	0	0
1917_2921	1893_2939,1934_2901	0	0
1893_2939	1879_2964,1917_2921	0	0
1879_2964	1893_2939,1897_2991	0	0
1897_2991	1879_2964,1913_3003	0	0
1913_3003	1897_2991,1930_3024	0	0
1930_3024	1913_3003,1948_3042	0	0
1948_3042	1930_3024,1966_3062	0	0
1966_3062	1948_3042,1979_3069	0	0
1979_3069	1966_3062,1996_3085	0	0
1996_3085	1979_3069,2011_3104	0	0
2011_3104	1996_3085,2025_3116	0	0
2025_3116	2011_3104,2040_3111	0	0
2040_3111	2025_3116,2046_3085	0	0
2046_3085	2037_3078,2040_3111	0	0
2037_3078	2028_3069,2046_3085	0	0
2028_3069	2020_3056,2037_3078	0	0
2020_3056	2007_3051,2028_3069	0	0
2007_3051	1991_3035,2020_3056	0	0
1991_3035	2000_3028,2007_3051	0	0
2000_3028	1991_3035,2018_3018	0	0
2018_3018	2000_3028,2031_3027	0	0
2031_3027	2018_3018,2049_3046	0	0
2049_3046	2031_3027,2066_3060	0	0
2066_3060	2049_3046,2080_3079	0	0
2080_3079	2066_3060,2097_3093	0	0
2097_3093	2080_3079,2113_3084	0	0
2113_3084	2097_3093,2130_3063	0	0
2130_3063	2113_3084,2145_3048	0	0
2145_3048	2130_3063,2161_3061	0	0
2161_3061	2145_3048,2168_3071	0	0
2168_3071	2161_3061,2162_3080	0	0
2162_3080	2152_3097,2168_3071	0	0
2152_3097	2162_3080,2167_3112	0	0
2167_3112	2152_3097,2193_3138	0	0
2193_3138	2167_3112,2179_3161	0	0
2179_3161	2180_3175,2193_3138	0	0
2180_3175	2179_3161,2193_3199	0	0
2193_3199	2173_3214,2180_3175	0	0
2173_3214	2153_3240,2193_3199	0	0
2153_3240	2173_3214	0	0
