node_name	linked_nodes	is_exact	type
2291_4091	2313_4090	0	0
2313_4090	2291_4091,2321_4080	0	0
2321_4080	2313_4090,2328_4065	0	0
2328_4065	2321_4080,2324_4028	0	0
2324_4028	2328_4065,2336_4005	0	0
2336_4005	2324_4028,2350_3980	0	0
2350_3980	2336_4005,2365_3960	0	0
2365_3960	2350_3980,2378_3938	0	0
2378_3938	2365_3960,2391_3931	0	0
2391_3931	2378_3938,2405_3933	0	0
2405_3933	2391_3931,2422_3939	0	0
2422_3939	2405_3933,2445_3956	0	0
2445_3956	2422_3939,2459_3935	0	0
2459_3935	2445_3956,2473_3925	0	0
2473_3925	2459_3935,2488_3904	0	0
2488_3904	2473_3925,2503_3899	0	0
2503_3899	2488_3904,2506_3871	0	0
2506_3871	2500_3838,2503_3899	0	0
2500_3838	2492_3809,2506_3871	0	0
2492_3809	2486_3794,2500_3838	0	0
2486_3794	2471_3804,2492_3809	0	0
2471_3804	2449_3807,2486_3794	0	0
2449_3807	2436_3817,2471_3804	0	0
2436_3817	2416_3818,2449_3807	0	0
2416_3818	2407_3813,2436_3817	0	0
2407_3813	2405_3793,2416_3818	0	0
2405_3793	2404_3761,2407_3813	0	0
2404_3761	2396_3735,2405_3793	0	0
2396_3735	2404_3761,2409_3713	0	0
2409_3713	2396_3735,2408_3686	0	0
2408_3686	2403_3653,2409_3713	0	0
2403_3653	2404_3617,2408_3686	0	0
2404_3617	2403_3653,2427_3605	0	0
2427_3605	2404_3617,2452_3591	0	0
2452_3591	2427_3605,2475_3581	0	0
2475_3581	2452_3591,2493_3607	0	0
2493_3607	2475_3581,2512_3605	0	0
2512_3605	2493_3607,2531_3608	0	0
2531_3608	2512_3605,2550_3623	0	0
2550_3623	2531_3608,2566_3638	0	0
2566_3638	2550_3623,2585_3645	0	0
2585_3645	2566_3638,2593_3618	0	0
2593_3618	2585_3645	0	0
