node_name	linked_nodes	is_exact	type
1188_2808	1191_2773	0	0
1191_2773	1188_2808,1202_2751	0	0
1202_2751	1191_2773,1202_2713	0	0
1202_2713	1202_2751,1210_2701	0	0
1210_2701	1202_2713,1206_2677	0	0
1206_2677	1210_2701,1220_2668	0	0
1220_2668	1206_2677,1239_2656	0	0
1239_2656	1220_2668,1242_2639	0	0
1242_2639	1239_2656,1261_2631	0	0
1261_2631	1242_2639,1272_2636	0	0
1272_2636	1261_2631,1280_2648	0	0
1280_2648	1272_2636,1290_2633	0	0
1290_2633	1280_2648,1312_2633	0	0
1312_2633	1290_2633,1328_2631	0	0
1328_2631	1312_2633,1350_2636	0	0
1350_2636	1328_2631,1363_2625	0	0
1363_2625	1350_2636,1375_2627	0	0
1375_2627	1363_2625,1389_2636	0	0
1389_2636	1375_2627,1399_2635	0	0
1399_2635	1389_2636,1411_2666	0	0
1411_2666	1395_2693,1399_2635	0	0
1395_2693	1397_2715,1411_2666	0	0
1397_2715	1395_2693,1405_2727	0	0
1405_2727	1397_2715,1404_2751	0	0
1404_2751	1405_2727,1414_2771	0	0
1414_2771	1403_2780,1404_2751	0	0
1403_2780	1402_2798,1414_2771	0	0
1402_2798	1403_2780,1412_2813	0	0
1412_2813	1397_2818,1402_2798	0	0
1397_2818	1384_2843,1412_2813	0	0
1384_2843	1377_2834,1397_2818	0	0
1377_2834	1367_2804,1384_2843	0	0
1367_2804	1347_2795,1377_2834	0	0
1347_2795	1330_2778,1367_2804	0	0
1330_2778	1314_2774,1347_2795	0	0
1314_2774	1294_2790,1330_2778	0	0
1294_2790	1293_2819,1314_2774	0	0
1293_2819	1289_2851,1294_2790	0	0
1289_2851	1287_2867,1293_2819	0	0
1287_2867	1289_2851,1304_2868	0	0
1304_2868	1287_2867,1310_2882	0	0
1310_2882	1304_2868,1315_2914	0	0
1315_2914	1310_2882,1313_2929	0	0
1313_2929	1293_2943,1315_2914	0	0
1293_2943	1279_2961,1313_2929	0	0
1279_2961	1255_2976,1293_2943	0	0
1255_2976	1250_2991,1279_2961	0	0
1250_2991	1234_2998,1255_2976	0	0
1234_2998	1209_2997,1250_2991	0	0
1209_2997	1205_3019,1234_2998	0	0
1205_3019	1199_3040,1209_2997	0	0
1199_3040	1170_3023,1205_3019	0	0
1170_3023	1199_3040,1201_3142	0	0
1201_3142	1170_3023,1217_3143	0	0
1217_3143	1201_3142,1228_3115	0	0
1228_3115	1217_3143,1238_3126	0	0
1238_3126	1228_3115,1251_3123	0	0
1251_3123	1238_3126,1262_3150	0	0
1262_3150	1251_3123,1286_3141	0	0
1286_3141	1262_3150,1302_3134	0	0
1302_3134	1286_3141,1328_3129	0	0
1328_3129	1302_3134,1350_3135	0	0
1350_3135	1328_3129,1365_3147	0	0
1365_3147	1350_3135,1377_3149	0	0
1377_3149	1365_3147,1395_3150	0	0
