node_name	linked_nodes	is_exact	type
1924_3195	1921_3222	0	0
1921_3222	1908_3255,1924_3195	0	0
1908_3255	1904_3290,1921_3222	0	0
1904_3290	1897_3326,1908_3255	0	0
1897_3326	1894_3352,1904_3290	0	0
1894_3352	1883_3393,1897_3326	0	0
1883_3393	1885_3419,1894_3352	0	0
1885_3419	1878_3457,1883_3393	0	0
1878_3457	1873_3457,1874_3514,1885_3419	0	0
1874_3514	1877_3507,1878_3457,1902_3503	0	0
1902_3503	1874_3514,1926_3496	0	0
1926_3496	1902_3503,1925_3466	0	0
1925_3466	1926_3496,1931_3437	0	0
1931_3437	1925_3466,1930_3422	0	0
1930_3422	1931_3437,1940_3391	0	0
1940_3391	1930_3422,1936_3356	0	0
1936_3356	1927_3333,1940_3391	0	0
1927_3333	1931_3315,1936_3356	0	0
1931_3315	1927_3333,1937_3289	0	0
1937_3289	1931_3315,1939_3258	0	0
1939_3258	1930_3237,1937_3289	0	0
1930_3237	1939_3258,1948_3225	0	0
1948_3225	1930_3237,1970_3218	0	0
1970_3218	1948_3225,1980_3251	0	0
1980_3251	1970_3218,1978_3285	0	0
1978_3285	1980_3251,1982_3317	0	0
1982_3317	1978_3285,1986_3343	0	0
1986_3343	1979_3381,1982_3317	0	0
1979_3381	1979_3406,1986_3343	0	0
1979_3406	1970_3423,1979_3381	0	0
1970_3423	1979_3406,1990_3443	0	0
1990_3443	1970_3423,1985_3466	0	0
1985_3466	1976_3505,1990_3443	0	0
1976_3505	1967_3506,1985_3466	0	0
1967_3506	1966_3552,1976_3505	0	0
1966_3552	1963_3576,1967_3506	0	0
1963_3576	1955_3611,1966_3552	0	0
1955_3611	1948_3644,1963_3576	0	0
1948_3644	1942_3655,1955_3611	0	0
1942_3655	1945_3686,1948_3644	0	0
1945_3686	1942_3655,1942_3713	0	0
1942_3713	1945_3686,1973_3748	0	0
1973_3748	1942_3713,1981_3764	0	0
1981_3764	1973_3748,2007_3779	0	0
2007_3779	1981_3764,2024_3768	0	0
2024_3768	2007_3779,2018_3735	0	0
2018_3735	2024_3717,2024_3768	0	0
2024_3717	2018_3735,2029_3681	0	0
2029_3681	2022_3645,2024_3717	0	0
2022_3645	2020_3614,2029_3681	0	0
2020_3614	2013_3598,2022_3645	0	0
2013_3598	2013_3589,2020_3614	0	0
2013_3589	2013_3598,2033_3577	0	0
2033_3577	2013_3589,2033_3547	0	0
2033_3547	2027_3517,2033_3577	0	0
2027_3517	2026_3500,2033_3547	0	0
2026_3500	2027_3465,2027_3517	0	0
2027_3465	2023_3430,2026_3500	0	0
2023_3430	2014_3402,2027_3465	0	0
2014_3402	2017_3396,2023_3430	0	0
2017_3396	2009_3368,2014_3402	0	0
2009_3368	1986_3333,2017_3396	0	0
1986_3333	1988_3309,2009_3368	0	0
1988_3309	1986_3333,2017_4011	0	0
2017_4011	1988_3309,2009_3989	0	0
2009_3989	2003_3957,2017_4011	0	0
2003_3957	2009_3989,2014_3931	0	0
2014_3931	2003_3957,2016_3910	0	0
2016_3910	1998_3891,2014_3931	0	0
1998_3891	1985_3887,2016_3910	0	0
1985_3887	1964_3872,1998_3891	0	0
1964_3872	1950_3862,1985_3887	0	0
1950_3862	1934_3843,1964_3872	0	0
1934_3843	1922_3811,1950_3862	0	0
1922_3811	1912_3792,1934_3843	0	0
1912_3792	1896_3779,1922_3811	0	0
1896_3779	1881_3762,1912_3792	0	0
1881_3762	1874_3714,1896_3779	0	0
1874_3714	1860_3703,1881_3762	0	0
1860_3703	1843_3677,1874_3714	0	0
1843_3677	1840_3648,1860_3703	0	0
1840_3648	1843_3677,1852_3611	0	0
1852_3611	1840_3648,1863_3591	0	0
1863_3591	1852_3611,1858_3558	0	0
1858_3558	1863_3591,1874_3537	0	0
1874_3537	1858_3558,1877_3507	0	0
1877_3507	1874_3514,1874_3537,1876_3476	0	0
1876_3476	1873_3457,1877_3507	0	0
1873_3457	1858_3443,1876_3476,1878_3457	0	0
1858_3443	1849_3430,1873_3457	0	0
1849_3430	1836_3397,1858_3443	0	0
1836_3397	1821_3374,1849_3430	0	0
1821_3374	1810_3340,1836_3397	0	0
1810_3340	1813_3311,1821_3374	0	0
1813_3311	1804_3291,1810_3340	0	0
1804_3291	1813_3311,1815_3282	0	0
1815_3282	1804_3291,1805_3251	0	0
1805_3251	1790_3237,1815_3282	0	0
1790_3237	1779_3210,1805_3251	0	0
1779_3210	1769_3194,1790_3237	0	0
1769_3194	1748_3175,1779_3210	0	0
1748_3175	1728_3160,1769_3194	0	0
1728_3160	1712_3149,1748_3175	0	0
1712_3149	1699_3148,1728_3160	0	0
1699_3148	1689_3141,1712_3149	0	0
1689_3141	1674_3128,1699_3148	0	0
1674_3128	1657_3146,1689_3141	0	0
1657_3146	1646_3124,1674_3128	0	0
1646_3124	1654_3136,1657_3146	0	0
1654_3136	1646_3124,1670_3135	0	0
1670_3135	1654_3136,1691_3128	0	0
1691_3128	1670_3135,1714_3121	0	0
1714_3121	1691_3128,1732_3127	0	0
1732_3127	1714_3121,1744_3137	0	0
1744_3137	1732_3127,1752_3142	0	0
1752_3142	1744_3137,1754_3157	0	0
1754_3157	1752_3142,1765_3166	0	0
1765_3166	1754_3157,1785_3167	0	0
1785_3167	1765_3166,1801_3165	0	0
1801_3165	1785_3167,1818_3179	0	0
1818_3179	1801_3165,1830_3176	0	0
1830_3176	1818_3179,1849_3197	0	0
1849_3197	1830_3176,1859_3171	0	0
1859_3171	1849_3197,1882_3158	0	0
1882_3158	1859_3171,1907_3150	0	0
1907_3150	1882_3158,1924_3144	0	0
1924_3144	1907_3150,1937_3166	0	0
1937_3166	1729_3413,1924_3144	0	0
1729_3413	1752_3415,1937_3166	0	0
1752_3415	1729_3413,1772_3412	0	0
1772_3412	1752_3415,1787_3432	0	0
1787_3432	1772_3412,1798_3453	0	0
1798_3453	1777_3470,1787_3432	0	0
1777_3470	1766_3473,1798_3453	0	0
1766_3473	1760_3507,1777_3470	0	0
1760_3507	1766_3473,1766_3533	0	0
1766_3533	1747_3561,1760_3507	0	0
1747_3561	1735_3547,1766_3533	0	0
1735_3547	1724_3551,1747_3561	0	0
1724_3551	1707_3532,1735_3547	0	0
1707_3532	1706_3514,1724_3551	0	0
1706_3514	1694_3513,1707_3532	0	0
1694_3513	1679_3520,1706_3514	0	0
1679_3520	1663_3524,1694_3513	0	0
1663_3524	1651_3500,1679_3520	0	0
1651_3500	1632_3474,1663_3524	0	0
1632_3474	1628_3496,1651_3500	0	0
1628_3496	1626_3514,1632_3474	0	0
1626_3514	1616_3525,1628_3496	0	0
1616_3525	1601_3545,1626_3514	0	0
1601_3545	1614_3558,1616_3525	0	0
1614_3558	1601_3545,1613_3572	0	0
1613_3572	1614_3558,1632_3592	0	0
1632_3592	1613_3572,1616_3626	0	0
1616_3626	1621_3655,1632_3592	0	0
1621_3655	1616_3626,1635_3677	0	0
1635_3677	1621_3655,1640_3705	0	0
1640_3705	1630_3732,1635_3677	0	0
1630_3732	1623_3767,1640_3705	0	0
1623_3767	1624_3792,1630_3732	0	0
1624_3792	1623_3767,1646_3818	0	0
1646_3818	1624_3792,1653_3842	0	0
1653_3842	1635_3855,1646_3818	0	0
1635_3855	1622_3878,1653_3842	0	0
1622_3878	1605_3888,1635_3855	0	0
1605_3888	1604_3916,1622_3878	0	0
1604_3916	1600_3950,1605_3888	0	0
1600_3950	1599_3983,1604_3916	0	0
1599_3983	1598_4004,1600_3950	0	0
1598_4004	1593_4020,1599_3983	0	0
1593_4020	1598_4004,1607_4036	0	0
1607_4036	1593_4020,1620_4057	0	0
1620_4057	1607_4036,1630_4062	0	0
1630_4062	1620_4057,1653_4061	0	0
1653_4061	1630_4062,1689_4057	0	0
1689_4057	1653_4061,1710_4061	0	0
1710_4061	1689_4057,1725_4038	0	0
1725_4038	1710_4061,1746_4017	0	0
1746_4017	1725_4038,1746_3988	0	0
1746_3988	1746_4017,1769_3974	0	0
1769_3974	1746_3988,1787_3996	0	0
1787_3996	1769_3974,1814_3995	0	0
1814_3995	1787_3996,1834_3998	0	0
1834_3998	1814_3995,1845_3974	0	0
1845_3974	1834_3998,1866_3978	0	0
1866_3978	1845_3974,1880_4001	0	0
1880_4001	1866_3978,1877_4017	0	0
1877_4017	1871_4053,1880_4001	0	0
1871_4053	1873_4078,1877_4017	0	0
1873_4078	1865_4093,1871_4053	0	0
1865_4093	1848_4085,1873_4078	0	0
1848_4085	1865_4093,2035_4106	0	0
2035_4106	1848_4085,2014_4092	0	0
2014_4092	1999_4065,2035_4106	0	0
1999_4065	1979_4048,2014_4092	0	0
1979_4048	1966_4018,1999_4065	0	0
1966_4018	1956_3992,1979_4048	0	0
1956_3992	1947_3960,1966_4018	0	0
1947_3960	1929_3939,1956_3992	0	0
1929_3939	1906_3919,1947_3960	0	0
1906_3919	1882_3901,1929_3939	0	0
1882_3901	1862_3877,1906_3919	0	0
1862_3877	1844_3856,1882_3901	0	0
1844_3856	1825_3833,1862_3877	0	0
1825_3833	1802_3801,1844_3856	0	0
1802_3801	1777_3791,1825_3833	0	0
1777_3791	1758_3763,1802_3801	0	0
1758_3763	1734_3736,1777_3791	0	0
1734_3736	1714_3708,1758_3763	0	0
1714_3708	1713_3664,1734_3736	0	0
1713_3664	1714_3708,1728_3641	0	0
1728_3641	1713_3664,1750_3630	0	0
1750_3630	1728_3641,1773_3608	0	0
1773_3608	1750_3630,1795_3581	0	0
1795_3581	1773_3608,1816_3563	0	0
1816_3563	1795_3581,1819_3529	0	0
1819_3529	1816_3563,1819_3499	0	0
1819_3499	1819_3529,1820_3455	0	0
1820_3455	1809_3450,1819_3499	0	0
1809_3450	1810_3412,1820_3455	0	0
1810_3412	1808_3380,1809_3450	0	0
1808_3380	1808_3354,1810_3412	0	0
1808_3354	1786_3334,1808_3380	0	0
1786_3334	1763_3331,1808_3354	0	0
1763_3331	1739_3325,1786_3334	0	0
1739_3325	1710_3332,1763_3331	0	0
1710_3332	1696_3296,1739_3325	0	0
1696_3296	1677_3268,1710_3332	0	0
1677_3268	1658_3253,1696_3296	0	0
1658_3253	1635_3230,1677_3268	0	0
1635_3230	1619_3205,1658_3253	0	0
1619_3205	1600_3185,1635_3230	0	0
1600_3185	1580_3162,1619_3205	0	0
1580_3162	1571_3183,1600_3185	0	0
1571_3183	1565_3197,1580_3162	0	0
1565_3197	1571_3183,1575_3225	0	0
1575_3225	1565_3197,1583_3239	0	0
1583_3239	1572_3263,1575_3225	0	0
1572_3263	1583_3239,1587_3290	0	0
1587_3290	1572_3263,1602_3309	0	0
1602_3309	1587_3290,1604_3321	0	0
1604_3321	1601_3347,1602_3309	0	0
1601_3347	1597_3374,1604_3321	0	0
1597_3374	1588_3375,1601_3347	0	0
1588_3375	1584_3391,1597_3374	0	0
1584_3391	1588_3375,1597_3419	0	0
1597_3419	1584_3391,1608_3428	0	0
1608_3428	1597_3419,1627_3410	0	0
1627_3410	1608_3428,1651_3400	0	0
1651_3400	1627_3410,1662_3370	0	0
1662_3370	1651_3400,1669_3353	0	0
1669_3353	1662_3370,1693_3373	0	0
1693_3373	1669_3353,1703_3378	0	0
1703_3378	1693_3373,1697_3399	0	0
1697_3399	1703_3378,1709_3426	0	0
1709_3426	1697_3399	0	0
1590_3171	2013_3212,1631_3520,1786_3346	0	1
2013_3212	1590_3171,1991_4063,1786_3346,1959_3605	0	1
1991_4063	2013_3212,1637_3995,1959_3605,1825_3834	0	1
1637_3995	1991_4063,1631_3520,1825_3834	0	1
1631_3520	1590_3171,1637_3995,1786_3346	0	1
1786_3346	1590_3171,2013_3212,1631_3520,1959_3605	0	1
1959_3605	2013_3212,1991_4063,1786_3346,1825_3834	0	1
1825_3834	1991_4063,1637_3995,1959_3605	0	1
