PathName	X	Y
kim	1556	3091
kim	1561	3089
kim	1569	3083
kim	1575	3080
kim	1585	3083
kim	1592	3075
kim	1593	3079
kim	1591	3086
kim	1590	3095
kim	1590	3104
kim	1592	3114
kim	1591	3117
kim	1584	3112
kim	1578	3107
kim	1577	3099
kim	1580	3090
kim	1576	3088
kim	1566	3089
tong	1546	3189
tong	1546	3186
tong	1546	3178
tong	1546	3171
tong	1542	3165
tong	1537	3168
tong	1536	3174
tong	1534	3178
tong	1529	3185
tong	1533	3192
tong	1536	3196
tong	1540	3202
tong	1545	3202
tong	1551	3204
tong	1557	3202
tong	1559	3195
tong	1554	3194
tong	1551	3188
tong	1547	3187
tong	1543	3181
tong	1545	3173
tong	1548	3167
tong	1545	3165
