node_name	linked_nodes	is_exact	type
1853_3446	1843_3432	0	0
1843_3432	1843_3403,1853_3446	0	0
1843_3403	1843_3432,1851_3373	0	0
1851_3373	1843_3403,1861_3364	0	0
1861_3364	1851_3373,1873_3341	0	0
1873_3341	1861_3364,1882_3325	0	0
1882_3325	1873_3341,1897_3330	0	0
1897_3330	1882_3325,1900_3292	0	0
1900_3292	1897_3330,1900_3278	0	0
1900_3278	1900_3292,1906_3247	0	0
1906_3247	1900_3278,1907_3213	0	0
1907_3213	1906_3247,1913_3188	0	0
1913_3188	1901_3169,1907_3213	0	0
1901_3169	1889_3143,1913_3188	0	0
1889_3143	1898_3118,1901_3169	0	0
1898_3118	1889_3143,1904_3081	0	0
1904_3081	1895_3072,1898_3118	0	0
1895_3072	1895_3040,1904_3081	0	0
1895_3040	1895_3072,1898_3010	0	0
1898_3010	1892_2995,1895_3040	0	0
1892_2995	1893_2969,1898_3010	0	0
1893_2969	1874_2969,1892_2995	0	0
1874_2969	1856_2960,1893_2969	0	0
1856_2960	1840_2970,1874_2969	0	0
1840_2970	1831_2963,1856_2960	0	0
1831_2963	1818_2977,1840_2970	0	0
1818_2977	1800_2973,1831_2963	0	0
1800_2973	1789_2973,1818_2977	0	0
1789_2973	1771_2967,1800_2973	0	0
1771_2967	1753_2952,1789_2973	0	0
1753_2952	1747_2919,1771_2967	0	0
1747_2919	1739_2906,1753_2952	0	0
1739_2906	1728_2908,1747_2919	0	0
1728_2908	1710_2912,1739_2906	0	0
1710_2912	1708_2887,1728_2908	0	0
1708_2887	1685_2889,1710_2912	0	0
1685_2889	1664_2895,1708_2887	0	0
1664_2895	1653_2890,1685_2889	0	0
1653_2890	1648_2877,1664_2895	0	0
1648_2877	1635_2883,1653_2890	0	0
1635_2883	1618_2901,1648_2877	0	0
1618_2901	1601_2922,1635_2883	0	0
1601_2922	1594_2907,1618_2901	0	0
1594_2907	1584_2904,1601_2922	0	0
1584_2904	1571_2908,1594_2907	0	0
1571_2908	1555_2904,1584_2904	0	0
1555_2904	1537_2890,1571_2908	0	0
1537_2890	1514_2890,1555_2904	0	0
1514_2890	1504_2880,1537_2890	0	0
1504_2880	1496_2869,1514_2890	0	0
1496_2869	1485_2872,1504_2880	0	0
1485_2872	1471_2889,1496_2869	0	0
1471_2889	1455_2886,1485_2872	0	0
1455_2886	1436_2884,1471_2889	0	0
1436_2884	1410_2878,1455_2886	0	0
1410_2878	1388_2880,1436_2884	0	0
1388_2880	1373_2884,1410_2878	0	0
1373_2884	1359_2859,1388_2880	0	0
1359_2859	1361_2833,1373_2884	0	0
1361_2833	1355_2800,1359_2859	0	0
1355_2800	1333_2794,1361_2833	0	0
1333_2794	1319_2802,1355_2800	0	0
1319_2802	1299_2815,1333_2794	0	0
1299_2815	1319_2802,1723_3122	0	0
1723_3122	1299_2815,1731_3139	0	0
1731_3139	1723_3122,1742_3143	0	0
1742_3143	1731_3139,1739_3165	0	0
1739_3165	1730_3175,1742_3143	0	0
1730_3175	1711_3177,1739_3165	0	0
1711_3177	1699_3193,1730_3175	0	0
1699_3193	1694_3215,1711_3177	0	0
1694_3215	1682_3235,1699_3193	0	0
1682_3235	1669_3251,1694_3215	0	0
1669_3251	1682_3235,1689_3281	0	0
1689_3281	1669_3251,1682_3306	0	0
1682_3306	1656_3329,1689_3281	0	0
1656_3329	1639_3350,1682_3306	0	0
1639_3350	1620_3354,1656_3329	0	0
1620_3354	1609_3326,1639_3350	0	0
1609_3326	1612_3298,1620_3354	0	0
1612_3298	1609_3326,1626_3278	0	0
1626_3278	1612_3298,1632_3257	0	0
1632_3257	1626_3278,1633_3242	0	0
1633_3242	1617_3224,1632_3257	0	0
1617_3224	1618_3191,1633_3242	0	0
1618_3191	1610_3170,1617_3224	0	0
1610_3170	1606_3159,1618_3191	0	0
1606_3159	1596_3134,1610_3170	0	0
1596_3134	1606_3159,1616_3120	0	0
1616_3120	1596_3134,1624_3101	0	0
1624_3101	1616_3120,1639_3097	0	0
1639_3097	1624_3101,1643_3079	0	0
1643_3079	1639_3097,1647_3067	0	0
1647_3067	1643_3079,1650_3039	0	0
1650_3039	1647_3067,1655_3015	0	0
1655_3015	1650_3039,1656_2992	0	0
1656_2992	1655_2952,1655_3015	0	0
1655_2952	1653_2936,1656_2992	0	0
1653_2936	1635_2914,1655_2952	0	0
1635_2914	1616_2934,1653_2936	0	0
1616_2934	1616_2953,1635_2914	0	0
1616_2953	1612_2968,1616_2934	0	0
1612_2968	1603_2979,1616_2953	0	0
1603_2979	1597_2986,1612_2968	0	0
1597_2986	1593_3000,1603_2979	0	0
1593_3000	1586_3029,1597_2986	0	0
1586_3029	1575_3053,1593_3000	0	0
1575_3053	1561_3075,1586_3029	0	0
1561_3075	1545_3098,1575_3053	0	0
1545_3098	1534_3122,1561_3075	0	0
1534_3122	1523_3150,1545_3098	0	0
1523_3150	1515_3163,1534_3122	0	0
1515_3163	1515_3185,1523_3150	0	0
1515_3185	1515_3163,1522_3208	0	0
1522_3208	1515_3185,1517_3225	0	0
1517_3225	1522_3208,1523_3261	0	0
1523_3261	1489_3262,1517_3225	0	0
1489_3262	1470_3262,1523_3261	0	0
1470_3262	1456_3246,1489_3262	0	0
1456_3246	1451_3232,1470_3262	0	0
1451_3232	1429_3225,1456_3246	0	0
1429_3225	1418_3193,1451_3232	0	0
1418_3193	1424_3166,1429_3225	0	0
1424_3166	1418_3193,1425_3127	0	0
1425_3127	1418_3110,1424_3166	0	0
1418_3110	1396_3099,1425_3127	0	0
1396_3099	1378_3067,1418_3110	0	0
1378_3067	1286_2820,1396_3099	0	0
1286_2820	1278_2849,1378_3067	0	0
1278_2849	1264_2875,1286_2820	0	0
1264_2875	1266_2907,1278_2849	0	0
1266_2907	1264_2875,1283_2932	0	0
1283_2932	1266_2907,1292_2956	0	0
1292_2956	1283_2932,1293_2969	0	0
1293_2969	1292_2956,1309_2983	0	0
1309_2983	1293_2969,1295_3000	0	0
1295_3000	1287_3034,1309_2983	0	0
1287_3034	1294_3061,1295_3000	0	0
1294_3061	1287_3034,1305_3096	0	0
1305_3096	1294_3061,1305_3122	0	0
1305_3122	1301_3145,1305_3096	0	0
1301_3145	1302_3176,1305_3122	0	0
1302_3176	1300_3211,1301_3145	0	0
1300_3211	1280_3231,1302_3176	0	0
1280_3231	1281_3259,1300_3211	0	0
1281_3259	1280_3231,1292_3294	0	0
1292_3294	1281_3259,1306_3320	0	0
1306_3320	1292_3294,1337_3294	0	0
1337_3294	1306_3320,1365_3312	0	0
1365_3312	1337_3294,1377_3319	0	0
1377_3319	1365_3312,1392_3302	0	0
1392_3302	1377_3319,1415_3298	0	0
1415_3298	1392_3302,1435_3275	0	0
1435_3275	1415_3298,1465_3276	0	0
1465_3276	1435_3275,1494_3277	0	0
1494_3277	1465_3276,1518_3306	0	0
1518_3306	1494_3277,1534_3332	0	0
1534_3332	1518_3306,1552_3367	0	0
1552_3367	1534_3332,1564_3373	0	0
1564_3373	1552_3367,1593_3384	0	0
1593_3384	1564_3373,1624_3380	0	0
1624_3380	1593_3384,1655_3383	0	0
1655_3383	1624_3380,1667_3406	0	0
1667_3406	1655_3383,1696_3376	0	0
1696_3376	1667_3406,1707_3385	0	0
1707_3385	1696_3376,1735_3388	0	0
1735_3388	1707_3385,1761_3415	0	0
1761_3415	1735_3388,1771_3424	0	0
1771_3424	1761_3415,1794_3425	0	0
1794_3425	1771_3424,1787_3391	0	0
1787_3391	1768_3363,1794_3425	0	0
1768_3363	1774_3335,1787_3391	0	0
1774_3335	1768_3363,1771_3296	0	0
1771_3296	1768_3258,1774_3335	0	0
1768_3258	1771_3296,1792_3232	0	0
1792_3232	1768_3258,1788_3207	0	0
1788_3207	1792_3232,1794_3183	0	0
1794_3183	1788_3207,1802_3167	0	0
1802_3167	1794_3183,1808_3156	0	0
1808_3156	1802_3167,1817_3154	0	0
1817_3154	1808_3156,1809_3140	0	0
1809_3140	1805_3126,1817_3154	0	0
1805_3126	1797_3102,1809_3140	0	0
1797_3102	1798_3077,1805_3126	0	0
1798_3077	1797_3102,1798_3056	0	0
1798_3056	1791_3037,1798_3077	0	0
1791_3037	1773_3034,1798_3056	0	0
1773_3034	1755_3051,1791_3037	0	0
1755_3051	1737_3067,1773_3034	0	0
1737_3067	1721_3078,1755_3051	0	0
1721_3078	1725_3103,1737_3067	0	0
1725_3103	1224_2742,1721_3078	0	0
1224_2742	1245_2749,1725_3103	0	0
1245_2749	1224_2742,1266_2752	0	0
1266_2752	1245_2749,1273_2734	0	0
1273_2734	1266_2752,1294_2733	0	0
1294_2733	1273_2734,1316_2736	0	0
1316_2736	1294_2733,1343_2732	0	0
1343_2732	1316_2736,1367_2744	0	0
1367_2744	1343_2732,1387_2757	0	0
1387_2757	1367_2744,1398_2781	0	0
1398_2781	1387_2757,1408_2780	0	0
1408_2780	1398_2781,1416_2759	0	0
1416_2759	1408_2780,1427_2768	0	0
1427_2768	1416_2759,1440_2792	0	0
1440_2792	1427_2768,1459_2812	0	0
1459_2812	1440_2792,1480_2824	0	0
1480_2824	1459_2812,1486_2796	0	0
1486_2796	1480_2824,1489_2777	0	0
