node_name	linked_nodes	is_exact	type
1582_3137	1571_3132	0	1
1571_3132	1582_3137,1559_3113	0	1
1559_3113	1571_3132,1549_3101	0	1
1549_3101	1559_3113,1551_3088	0	1
1551_3088	1549_3101,1553_3073	0	1
1553_3073	1551_3088,1553_3059	0	1
1553_3059	1553_3073,1554_3046	0	1
1554_3046	1553_3059,1546_3035	0	1
1546_3035	1554_3046,1537_3024	0	1
1537_3024	1546_3035,1532_3011	0	1
1532_3011	1537_3024,1530_3000	0	1
1530_3000	1532_3011,1526_2988	0	1
1526_2988	1530_3000,1521_2975	0	1
1521_2975	1526_2988,1515_2962	0	1
1515_2962	1521_2975,1508_2952	0	1
1508_2952	1515_2962,1499_2944	0	1
1499_2944	1508_2952,1491_2933	0	1
1491_2933	1499_2944,1482_2922	0	1
1482_2922	1491_2933,1473_2913	0	1
1473_2913	1482_2922,1465_2903	0	1
1465_2903	1473_2913,1456_2895	0	1
1456_2895	1465_2903,1451_2886	0	1
1451_2886	1456_2895,1444_2876	0	1
1444_2876	1451_2886,1437_2865	0	1
1437_2865	1444_2876,1430_2857	0	1
1430_2857	1437_2865,1423_2847	0	1
1423_2847	1430_2857,1415_2837	0	1
1415_2837	1423_2847,1407_2825	0	1
1407_2825	1415_2837,1398_2813	0	1
1398_2813	1407_2825,1389_2802	0	1
1389_2802	1398_2813,1381_2790	0	1
1381_2790	1389_2802,1372_2779	0	1
1372_2779	1381_2790,1364_2773	0	1
1364_2773	1372_2779,1357_2762	0	1
1357_2762	1364_2773,1360_2748	0	1
1360_2748	1357_2762,1361_2734	0	1
1361_2734	1360_2748,1360_2720	0	1
1360_2720	1361_2734,1360_2705	0	1
1360_2705	1360_2720,1359_2691	0	1
1359_2691	1360_2705,1353_2679	0	1
1353_2679	1359_2691,1347_2666	0	1
1347_2666	1353_2679,1342_2652	0	1
1342_2652	1347_2666,1338_2638	0	1
1338_2638	1342_2652,1330_2626	0	1
1330_2626	1338_2638,1323_2615	0	1
1323_2615	1330_2626,1317_2602	0	1
1317_2602	1323_2615,1315_2588	0	1
1315_2588	1317_2602,1311_2576	0	1
1311_2576	1315_2588,1306_2566	0	1
1306_2566	1311_2576	0	1
