node_name	linked_nodes	is_exact	type
928_4075	915_4090	0	0
915_4090	901_4089,928_4075	0	0
901_4089	876_4084,915_4090	0	0
876_4084	864_4081,901_4089	0	0
864_4081	837_4077,876_4084	0	0
837_4077	820_4073,864_4081	0	0
820_4073	797_4061,837_4077	0	0
797_4061	795_4026,820_4073	0	0
795_4026	795_3988,797_4061	0	0
795_3988	795_4026,813_3980	0	0
813_3980	795_3988,831_3985	0	0
831_3985	813_3980,857_3983	0	0
857_3983	831_3985,884_3988	0	0
884_3988	857_3983,896_3948	0	0
896_3948	884_3988,892_3908	0	0
892_3908	896_3863,896_3948	0	0
896_3863	883_3835,892_3908	0	0
883_3835	855_3824,896_3863	0	0
855_3824	821_3831,883_3835	0	0
821_3831	794_3835,855_3824	0	0
794_3835	794_3794,821_3831	0	0
794_3794	794_3835,797_3758	0	0
797_3758	794_3794,797_3715	0	0
797_3715	797_3758,820_3705	0	0
820_3705	797_3715,844_3700	0	0
844_3700	820_3705,874_3711	0	0
874_3711	844_3700,895_3702	0	0
895_3702	874_3711,924_3692	0	0
924_3692	895_3702,937_3700	0	0
937_3700	924_3692,962_3697	0	0
962_3697	937_3700,981_3707	0	0
981_3707	1004_3713,962_3697	0	0
1004_3713	1026_3705,981_3707	0	0
1026_3705	1004_3713,1052_3698	0	0
1052_3698	1026_3705,1080_3709	0	0
1080_3709	1052_3698,1103_3704	0	0
1103_3704	1080_3709,1124_3717	0	0
1124_3717	1000_3730,1103_3704	0	0
1000_3730	1000_3763,1124_3717	0	0
1000_3763	1000_3730,1006_3794	0	0
1006_3794	1000_3763,1010_3827	0	0
1010_3827	1006_3794,1014_3863	0	0
1014_3863	1010_3827,1014_3891	0	0
1014_3891	1014_3863,1014_3931	0	0
1014_3931	1011_3963,1014_3891	0	0
1011_3963	1011_4008,1014_3931	0	0
1011_4008	1011_3963,1036_3993	0	0
1036_3993	1011_4008,1058_3974	0	0
1058_3974	1036_3993,1078_3963	0	0
1078_3963	1058_3974,1104_3994	0	0
1104_3994	1078_3963,1116_3987	0	0
1116_3987	1104_3994,1122_3954	0	0
1122_3954	1116_3987,1127_3916	0	0
1127_3916	1122_3954,1126_3881	0	0
1126_3881	1127_3857,1127_3916	0	0
1127_3857	1115_3833,1126_3881	0	0
1115_3833	1114_3801,1127_3857	0	0
1114_3801	1106_3781,1115_3833	0	0
1106_3781	1082_3775,1114_3801	0	0
1082_3775	1063_3787,1106_3781	0	0
1063_3787	1051_3801,1082_3775	0	0
1051_3801	1054_3835,1063_3787	0	0
1054_3835	1051_3801,1058_3860	0	0
1058_3860	1054_3835,1054_3892	0	0
1054_3892	1058_3860,1072_3896	0	0
1072_3896	1054_3892,1084_3908	0	0
1084_3908	1072_3896,1087_3884	0	0
1087_3884	1084_3908,1091_3862	0	0
1091_3862	1087_3884	0	0
