node_name	linked_nodes	is_exact	type
2070_2807	2061_2816	0	0
2061_2816	2043_2823,2070_2807	0	0
2043_2823	2026_2840,2061_2816	0	0
2026_2840	2025_2854,2043_2823	0	0
2025_2854	2026_2840,2031_2885	0	0
2031_2885	2025_2854,2041_2909	0	0
2041_2909	2031_2885,2056_2910	0	0
2056_2910	2041_2909,2069_2903	0	0
2069_2903	2056_2910,2091_2892	0	0
2091_2892	2069_2903,2100_2878	0	0
2100_2878	2091_2892,2117_2867	0	0
2117_2867	2100_2878,2137_2861	0	0
2137_2861	2117_2867,2153_2867	0	0
2153_2867	2137_2861,2170_2851	0	0
2170_2851	2153_2867,2188_2842	0	0
2188_2842	2170_2851,2210_2844	0	0
2210_2844	2188_2842,2214_2871	0	0
2214_2871	2210_2844,2224_2896	0	0
2224_2896	2214_2871,2233_2927	0	0
2233_2927	2224_2896,2236_2960	0	0
2236_2960	2233_2927,2236_2984	0	0
2236_2984	2229_2989,2236_2960	0	0
2229_2989	2212_3007,2236_2984	0	0
2212_3007	2192_3029,2229_2989	0	0
2192_3029	2172_3038,2212_3007	0	0
2172_3038	2148_3053,2192_3029	0	0
2148_3053	2127_3063,2172_3038	0	0
2127_3063	2109_3074,2148_3053	0	0
2109_3074	2095_3091,2127_3063	0	0
2095_3091	2076_3101,2109_3074	0	0
2076_3101	2048_3091,2095_3091	0	0
2048_3091	2021_3096,2076_3101	0	0
2021_3096	1996_3105,2048_3091	0	0
1996_3105	1969_3123,2021_3096	0	0
1969_3123	1949_3135,1996_3105	0	0
1949_3135	1928_3146,1969_3123	0	0
1928_3146	1917_3131,1949_3135	0	0
1917_3131	1903_3092,1928_3146	0	0
1903_3092	1884_3084,1917_3131	0	0
1884_3084	1868_3094,1903_3092	0	0
1868_3094	1858_3064,1884_3084	0	0
1858_3064	1844_3031,1868_3094	0	0
1844_3031	1828_3001,1858_3064	0	0
1828_3001	1802_2992,1844_3031	0	0
1802_2992	1784_2982,1828_3001	0	0
1784_2982	1761_2998,1802_2992	0	0
1761_2998	1746_3020,1784_2982	0	0
1746_3020	1735_3050,1761_2998	0	0
1735_3050	1741_3075,1746_3020	0	0
1741_3075	1735_3050,1757_3100	0	0
1757_3100	1741_3075,1778_3108	0	0
1778_3108	1757_3100,1779_3102,1790_3089	0	0
1790_3089	1778_3108,1788_3085	0	0
1788_3085	1779_3102,1790_3089	0	0
1779_3102	1778_3108,1788_3085	0	0
