node_name	linked_nodes	is_exact	type
1648_3119	1668_3114	0	0
1668_3114	1648_3119,1686_3107	0	0
1686_3107	1668_3114,1677_3088	0	0
1677_3088	1676_3054,1686_3107	0	0
1676_3054	1662_3059,1677_3088	0	0
1662_3059	1645_3044,1676_3054	0	0
1645_3044	1642_3031,1662_3059	0	0
1642_3031	1635_3008,1645_3044	0	0
1635_3008	1636_2991,1642_3031	0	0
1636_2991	1632_2966,1635_3008	0	0
1632_2966	1622_2940,1636_2991	0	0
1622_2940	1605_2940,1632_2966	0	0
1605_2940	1594_2956,1622_2940	0	0
1594_2956	1574_2986,1605_2940	0	0
1574_2986	1586_3012,1594_2956	0	0
1586_3012	1574_2986,1580_3033	0	0
1580_3033	1571_3054,1586_3012	0	0
1571_3054	1573_3068,1580_3033	0	0
1573_3068	1571_3054,1580_3088	0	0
1580_3088	1573_3068,1589_3112	0	0
1589_3112	1573_3110,1580_3088	0	0
1573_3110	1558_3121,1589_3112	0	0
1558_3121	1533_3154,1573_3110	0	0
1533_3154	1537_3182,1558_3121	0	0
1537_3182	1533_3154,1560_3182	0	0
1560_3182	1537_3182,1575_3181	0	0
1575_3181	1560_3182,1580_3155	0	0
1580_3155	1575_3181,1603_3160	0	0
1603_3160	1580_3155,1625_3170	0	0
1625_3170	1603_3160,1637_3178	0	0
1637_3178	1625_3170,1637_3193	0	0
1637_3193	1635_3218,1637_3178	0	0
1635_3218	1618_3229,1637_3193	0	0
1618_3229	1601_3214,1635_3218	0	0
1601_3214	1618_3229	0	0
