node_name	linked_nodes	is_exact	type
1673_2713	1677_2738	0	0
1677_2738	1673_2713,1673_2762	0	0
1673_2762	1661_2776,1677_2738	0	0
1661_2776	1642_2778,1673_2762	0	0
1642_2778	1642_2810,1661_2776	0	0
1642_2810	1642_2778,1649_2836	0	0
1649_2836	1642_2810,1670_2829	0	0
1670_2829	1649_2836,1683_2819	0	0
1683_2819	1670_2829,1701_2804	0	0
1701_2804	1683_2819,1719_2793	0	0
1719_2793	1701_2804,1737_2805	0	0
1737_2805	1719_2793,1753_2804	0	0
1753_2804	1737_2805,1769_2804	0	0
1769_2804	1753_2804,1780_2823	0	0
1780_2823	1769_2804,1788_2852	0	0
1788_2852	1780_2823,1803_2856	0	0
1803_2856	1788_2852,1805_2884	0	0
1805_2884	1803_2856,1803_2914	0	0
1803_2914	1805_2884,1807_2947	0	0
1807_2947	1803_2914,1803_2972	0	0
1803_2972	1790_2986,1807_2947	0	0
1790_2986	1776_2988,1803_2972	0	0
1776_2988	1764_2986,1790_2986	0	0
1764_2986	1745_2992,1776_2988	0	0
1745_2992	1751_3022,1764_2986	0	0
1751_3022	1745_2992,1750_3048	0	0
1750_3048	1747_3077,1751_3022	0	0
1747_3077	1746_3103,1750_3048	0	0
1746_3103	1747_3077,1747_3123	0	0
1747_3123	1746_3103,1747_3157	0	0
1747_3157	1747_3123,1747_3187	0	0
1747_3187	1743_3206,1747_3157	0	0
1743_3206	1720_3214,1747_3187	0	0
1720_3214	1703_3202,1743_3206	0	0
1703_3202	1692_3205,1720_3214	0	0
1692_3205	1673_3207,1703_3202	0	0
1673_3207	1669_3181,1692_3205	0	0
1669_3181	1669_3145,1673_3207	0	0
1669_3145	1669_3181,1670_3118	0	0
1670_3118	1653_3108,1669_3145	0	0
1653_3108	1636_3114,1670_3118	0	0
1636_3114	1620_3128,1653_3108	0	0
1620_3128	1619_3144,1636_3114	0	0
1619_3144	1620_3128,1620_3173	0	0
1620_3173	1618_3185,1619_3144	0	0
1618_3185	1609_3191,1620_3173	0	0
1609_3191	1591_3195,1618_3185	0	0
1591_3195	1581_3194,1609_3191	0	0
1581_3194	1574_3169,1591_3195	0	0
1574_3169	1568_3148,1581_3194	0	0
1568_3148	1564_3125,1574_3169	0	0
1564_3125	1565_3089,1568_3148	0	0
1565_3089	1564_3125,1567_3067	0	0
1567_3067	1565_3089,1584_3059	0	0
1584_3059	1567_3067,1597_3043	0	0
1597_3043	1584_3059,1619_3040	0	0
1619_3040	1597_3043,1633_3047	0	0
1633_3047	1619_3040,1652_3037	0	0
1652_3037	1633_3047,1663_3036	0	0
1663_3036	1652_3037,1672_3036	0	0
1672_3036	1663_3036,1672_3015	0	0
1672_3015	1672_3036,1673_2986	0	0
1673_2986	1657_2980,1672_3015	0	0
1657_2980	1673_2986	0	0
