node_name	linked_nodes	is_exact	type
1802_3064	1809_3083	0	0
1809_3083	1802_3064,1814_3102	0	0
1814_3102	1802_3122,1809_3083	0	0
1802_3122	1787_3137,1814_3102	0	0
1787_3137	1770_3145,1802_3122	0	0
1770_3145	1756_3139,1787_3137	0	0
1756_3139	1748_3120,1770_3145	0	0
1748_3120	1735_3092,1756_3139	0	0
1735_3092	1722_3073,1748_3120	0	0
1722_3073	1712_3056,1735_3092	0	0
1712_3056	1698_3042,1722_3073	0	0
1698_3042	1701_3016,1712_3056	0	0
1701_3016	1698_3042,1719_2994	0	0
1719_2994	1701_3016,1728_2986	0	0
1728_2986	1719_2994,1749_2970	0	0
1749_2970	1728_2986,1753_2954	0	0
1753_2954	1749_2970,1751_2933	0	0
1751_2933	1732_2910,1753_2954	0	0
1732_2910	1716_2909,1751_2933	0	0
1716_2909	1701_2878,1732_2910	0	0
1701_2878	1681_2855,1716_2909	0	0
1681_2855	1668_2838,1701_2878	0	0
1668_2838	1654_2841,1681_2855	0	0
1654_2841	1637_2827,1668_2838	0	0
1637_2827	1626_2831,1654_2841	0	0
1626_2831	1610_2844,1637_2827	0	0
1610_2844	1594_2840,1626_2831	0	0
1594_2840	1576_2861,1610_2844	0	0
1576_2861	1564_2862,1594_2840	0	0
1564_2862	1550_2878,1576_2861	0	0
1550_2878	1532_2901,1564_2862	0	0
1532_2901	1517_2895,1550_2878	0	0
1517_2895	1499_2892,1532_2901	0	0
1499_2892	1480_2904,1517_2895	0	0
1480_2904	1466_2910,1499_2892	0	0
1466_2910	1460_2923,1480_2904	0	0
1460_2923	1444_2947,1466_2910	0	0
1444_2947	1427_2972,1460_2923	0	0
1427_2972	1419_2974,1444_2947	0	0
1419_2974	1407_2990,1427_2972	0	0
1407_2990	1398_3006,1419_2974	0	0
1398_3006	1376_2996,1407_2990	0	0
1376_2996	1366_3015,1398_3006	0	0
1366_3015	1365_3038,1376_2996	0	0
1365_3038	1366_3015,1374_3065	0	0
1374_3065	1365_3038,1397_3078	0	0
1397_3078	1374_3065,1418_3076	0	0
1418_3076	1397_3078,1433_3060	0	0
1433_3060	1418_3076,1447_3057	0	0
1447_3057	1433_3060,1460_3061	0	0
1460_3061	1447_3057,1480_3068	0	0
1480_3068	1460_3061,1495_3095	0	0
1495_3095	1480_3068,1510_3110	0	0
1510_3110	1495_3095,1523_3130	0	0
1523_3130	1510_3110,1537_3157	0	0
1537_3157	1523_3130,1556_3176	0	0
1556_3176	1537_3157,1578_3194	0	0
1578_3194	1556_3176,1584_3204	0	0
1584_3204	1578_3194,1597_3213	0	0
1597_3213	1584_3204,1603_3227	0	0
1603_3227	1597_3213,1613_3223	0	0
1613_3223	1603_3227,1628_3218	0	0
1628_3218	1613_3223	0	0
