node_name	linked_nodes	is_exact	type
1425_3219	1442_3204	0	0
1442_3204	1425_3219,1457_3189	0	0
1457_3189	1442_3204,1468_3178	0	0
1468_3178	1457_3189,1486_3161	0	0
1486_3161	1468_3178,1503_3141	0	0
1503_3141	1486_3161,1520_3121	0	0
1520_3121	1503_3141,1535_3113	0	0
1535_3113	1520_3121,1546_3134	0	0
1546_3134	1530_3150,1535_3113,1546_3134,1568_3151	0	0
1530_3150	1546_3134	0	0
1568_3151	1546_3134,1550_3168	0	0
1550_3168	1538_3178,1568_3151	0	0
1538_3178	1516_3199,1550_3168	0	0
1516_3199	1507_3190,1509_3199,1538_3178	0	0
1507_3190	1499_3181,1516_3199	0	0
1499_3181	1507_3190,1509_3199	0	0
1509_3199	1499_3181,1513_3207,1516_3199	0	0
1513_3207	1507_3219,1509_3199	0	0
1507_3219	1485_3240,1513_3207	0	0
1485_3240	1473_3256,1507_3219	0	0
1473_3256	1468_3265,1485_3240	0	0
1468_3265	1473_3256,1481_3280	0	0
1481_3280	1468_3265,1494_3264	0	0
1494_3264	1481_3280,1506_3258	0	0
1506_3258	1480_3288,1494_3264	0	0
1480_3288	1501_3300,1506_3258	0	0
1501_3300	1480_3288,1511_3281	0	0
1511_3281	1501_3300,1524_3269	0	0
1524_3269	1511_3281,1537_3258	0	0
1537_3258	1524_3269,1542_3256	0	0
1542_3256	1537_3258,1553_3241	0	0
1553_3241	1542_3256,1553_3241,1560_3241,1564_3234,1575_3260	0	0
1560_3241	1553_3241,1575_3260	0	0
1575_3260	1553_3241,1560_3241	0	0
1564_3234	1553_3241,1571_3223	0	0
1571_3223	1564_3234,1585_3237	0	0
1585_3237	1571_3223,1591_3237,1596_3212	0	0
1596_3212	1585_3237,1591_3237	0	0
1591_3237	1585_3237,1596_3212,1601_3261	0	0
1601_3261	1582_3280,1591_3237	0	0
1582_3280	1569_3295,1601_3261	0	0
1569_3295	1552_3311,1582_3280	0	0
1552_3311	1546_3316,1569_3295	0	0
1546_3316	1534_3331,1552_3311	0	0
1534_3331	1546_3316	0	0
