node_name	linked_nodes	is_exact	type
1666_3291	1674_3294	0	0
1674_3294	1666_3291,1697_3315	0	0
1697_3315	1674_3294,1710_3327	0	0
1710_3327	1697_3315,1727_3306	0	0
1727_3306	1710_3327,1738_3311	0	0
1738_3311	1727_3306,1751_3324	0	0
1751_3324	1738_3311,1755_3326	0	0
1755_3326	1751_3324,1762_3318	0	0
1762_3318	1755_3326,1776_3304	0	0
1776_3304	1762_3318,1789_3290	0	0
1789_3290	1776_3304,1805_3276	0	0
1805_3276	1789_3290,1813_3263	0	0
1813_3263	1805_3251,1805_3276	0	0
1805_3251	1794_3239,1813_3263	0	0
1794_3239	1779_3223,1805_3251	0	0
1779_3223	1760_3205,1794_3239	0	0
1760_3205	1749_3194,1779_3223	0	0
1749_3194	1735_3181,1760_3205	0	0
1735_3181	1719_3160,1749_3194	0	0
1719_3160	1709_3151,1735_3181	0	0
1709_3151	1719_3160,1720_3136	0	0
1720_3136	1709_3151,1736_3121	0	0
1736_3121	1720_3136,1744_3123	0	0
1744_3123	1736_3121,1757_3138	0	0
1757_3138	1744_3123,1775_3154	0	0
1775_3154	1757_3138,1794_3171	0	0
1794_3171	1775_3154,1807_3187	0	0
1807_3187	1794_3171,1826_3205	0	0
1826_3205	1807_3187,1839_3218	0	0
1839_3218	1826_3205,1846_3229	0	0
1846_3229	1834_3245,1839_3218	0	0
1834_3245	1826_3254,1846_3229	0	0
1826_3254	1823_3266,1834_3245	0	0
1823_3266	1826_3254,1834_3280	0	0
1834_3280	1823_3266,1843_3283	0	0
1843_3283	1834_3280,1859_3275	0	0
1859_3275	1843_3283,1871_3260	0	0
1871_3260	1859_3275,1888_3244	0	0
1888_3244	1871_3260,1900_3231	0	0
1900_3231	1888_3244,1890_3215	0	0
1890_3215	1881_3207,1900_3231	0	0
1881_3207	1890_3215	0	0
