node_name	linked_nodes	is_exact	type
1589_3215	1595_3216	0	0
1595_3216	1589_3215,1605_3230	0	0
1605_3230	1595_3216,1607_3240	0	0
1607_3240	1605_3230,1605_3248	0	0
1605_3248	1599_3247,1607_3240	0	0
1599_3247	1591_3242,1605_3248	0	0
1591_3242	1581_3230,1599_3247	0	0
1581_3230	1575_3228,1591_3242	0	0
1575_3228	1564_3239,1581_3230	0	0
1564_3239	1556_3251,1575_3228	0	0
1556_3251	1553_3255,1564_3239	0	0
1553_3255	1545_3268,1556_3251	0	0
1545_3268	1533_3285,1553_3255	0	0
1533_3285	1514_3310,1545_3268	0	0
1514_3310	1498_3329,1533_3285	0	0
1498_3329	1489_3326,1504_3330,1514_3310	0	0
1489_3326	1481_3314,1498_3329	0	0
1481_3314	1486_3298,1489_3326	0	0
1486_3298	1481_3314,1489_3272	0	0
1489_3272	1486_3298,1496_3246	0	0
1496_3246	1489_3272,1504_3231	0	0
1504_3231	1496_3246,1518_3207	0	0
1518_3207	1504_3231,1531_3196	0	0
1531_3196	1518_3207,1542_3178	0	0
1542_3178	1531_3196,1555_3168	0	0
1555_3168	1542_3178,1562_3155	0	0
1562_3155	1555_3168,1574_3158	0	0
1574_3158	1562_3155,1585_3147	0	0
1585_3147	1574_3158,1597_3145	0	0
1597_3145	1585_3147,1619_3141	0	0
1619_3141	1597_3145,1628_3160	0	0
1628_3160	1619_3141,1635_3178	0	0
1635_3178	1628_3160,1658_3200	0	0
1658_3200	1635_3178,1661_3222	0	0
1661_3222	1658_3200,1664_3243	0	0
1664_3243	1649_3258,1661_3222	0	0
1649_3258	1647_3280,1664_3243	0	0
1647_3280	1626_3294,1649_3258	0	0
1626_3294	1609_3310,1647_3280	0	0
1609_3310	1595_3311,1626_3294	0	0
1595_3311	1576_3310,1609_3310	0	0
1576_3310	1569_3314,1595_3311	0	0
1569_3314	1557_3300,1576_3310	0	0
1557_3300	1541_3296,1569_3314	0	0
1541_3296	1522_3303,1557_3300	0	0
1522_3303	1504_3330,1541_3296	0	0
1504_3330	1498_3329,1500_3344,1522_3303	0	0
1500_3344	1497_3374,1504_3330	0	0
1497_3374	1500_3344,1513_3393	0	0
1513_3393	1497_3374,1524_3416	0	0
1524_3416	1513_3393,1515_3441	0	0
1515_3441	1506_3471,1524_3416	0	0
1506_3471	1491_3465,1515_3441	0	0
1491_3465	1473_3458,1506_3471	0	0
1473_3458	1467_3478,1491_3465	0	0
1467_3478	1473_3458,1480_3500	0	0
1480_3500	1467_3478,1500_3506	0	0
1500_3506	1480_3500,1506_3485	0	0
1506_3485	1500_3506,1515_3455	0	0
1515_3455	1506_3485,1533_3452	0	0
1533_3452	1515_3455,1543_3460	0	0
1543_3460	1533_3452,1554_3439	0	0
1554_3439	1543_3460,1548_3425	0	0
1548_3425	1554_3439	0	0
