node_name	linked_nodes	is_exact	type
1811_3467	1792_3485	0	0
1792_3485	1784_3496,1811_3467	0	0
1784_3496	1781_3514,1792_3485	0	0
1781_3514	1784_3496,1790_3538	0	0
1790_3538	1781_3514,1811_3560	0	0
1811_3560	1790_3538,1803_3575	0	0
1803_3575	1784_3603,1811_3560	0	0
1784_3603	1764_3613,1803_3575	0	0
1764_3613	1755_3588,1784_3603	0	0
1755_3588	1741_3563,1764_3613	0	0
1741_3563	1726_3543,1755_3588	0	0
1726_3543	1708_3521,1741_3563	0	0
1708_3521	1690_3503,1726_3543	0	0
1690_3503	1668_3489,1708_3521	0	0
1668_3489	1651_3458,1690_3503	0	0
1651_3458	1635_3457,1668_3489	0	0
1635_3457	1619_3481,1651_3458	0	0
1619_3481	1616_3495,1635_3457	0	0
1616_3495	1619_3481,1626_3512	0	0
1626_3512	1616_3495,1635_3530	0	0
1635_3530	1626_3512,1638_3540	0	0
1638_3540	1618_3560,1635_3530	0	0
1618_3560	1600_3576,1638_3540	0	0
1600_3576	1603_3595,1618_3560	0	0
1603_3595	1600_3576,1620_3613	0	0
1620_3613	1603_3595,1638_3624	0	0
1638_3624	1620_3613,1657_3642	0	0
1657_3642	1638_3624,1673_3639	0	0
1673_3639	1657_3642,1682_3624	0	0
1682_3624	1673_3639,1696_3612	0	0
1696_3612	1682_3624,1706_3600	0	0
1706_3600	1637_3432,1696_3612	0	0
1637_3432	1623_3420,1706_3600	0	0
1623_3420	1610_3401,1637_3432	0	0
1610_3401	1602_3392,1623_3420	0	0
1602_3392	1588_3388,1610_3401	0	0
1588_3388	1573_3405,1602_3392	0	0
1573_3405	1558_3418,1588_3388	0	0
1558_3418	1545_3431,1573_3405	0	0
1545_3431	1530_3444,1558_3418	0	0
1530_3444	1511_3435,1545_3431	0	0
1511_3435	1497_3417,1530_3444	0	0
1497_3417	1497_3403,1511_3435	0	0
1497_3403	1497_3417,1513_3383	0	0
1513_3383	1497_3403,1532_3369	0	0
1532_3369	1513_3383,1547_3343	0	0
1547_3343	1532_3369,1563_3324	0	0
1563_3324	1547_3343,1580_3307	0	0
1580_3307	1563_3324,1583_3303,1602_3286	0	0
1602_3286	1580_3307,1615_3273	0	0
1615_3273	1602_3286,1626_3261	0	0
1626_3261	1605_3277,1615_3273	0	0
1605_3277	1583_3303,1626_3261	0	0
1583_3303	1580_3307,1596_3314,1605_3277	0	0
1596_3314	1583_3303,1611_3340	0	0
1611_3340	1596_3314,1630_3354	0	0
1630_3354	1611_3340,1652_3370	0	0
1652_3370	1630_3354,1672_3389	0	0
1672_3389	1652_3370,1689_3403	0	0
1689_3403	1672_3389,1705_3393	0	0
1705_3393	1689_3403,1724_3371	0	0
1724_3371	1705_3393,1738_3350	0	0
1738_3350	1724_3371,1734_3313	0	0
1734_3313	1715_3288,1738_3350	0	0
1715_3288	1701_3275,1734_3313	0	0
1701_3275	1693_3266,1715_3288	0	0
1693_3266	1682_3285,1701_3275	0	0
1682_3285	1667_3300,1693_3266	0	0
1667_3300	1669_3317,1682_3285	0	0
1669_3317	1667_3300,1685_3334	0	0
1685_3334	1669_3317,1691_3340	0	0
1691_3340	1685_3334	0	0
